DateTime,Entries,UniqueIPs
1574726491,59,59
1574766085,58,58
1574820324,59,59
1574881288,59,59
1574884886,60,60
1574888487,61,61
1574892326,60,60
1574902890,61,61
1574917289,60,60
1574942490,64,64
1574946093,63,63
1574953290,62,62
1574982091,63,63
1574985691,62,62
1575032493,61,61
1575039688,62,62
1575043294,61,61
1575050699,62,62
1575054099,63,63
1575068488,62,62
1575075688,61,61
1575082888,60,60
1575111686,61,61
1575118887,60,60
1575126085,61,61
1575129692,62,62
1575144088,62,62
1575147686,61,61
1575154886,62,62
1575158486,61,61
1575162085,60,60
1575172885,58,58
1575219690,60,60
1575230490,61,61
1575234086,60,60
1575277288,59,59
1575284487,58,58
1575291689,57,57
1575298888,56,56
1575313288,55,55
1575320491,54,54
1575334884,53,53
1575338702,52,52
1575353096,51,51
1575356482,50,50
1575370881,49,49
1575385280,48,48
1575396284,49,49
1575399683,50,50
1575414081,49,49
1575417682,50,50
1575428499,58,58
1575460891,60,60
1575482724,59,59
1575486090,58,58
1575489691,57,57
1575497112,56,56
1575500489,55,55
1575504087,56,56
1575514886,57,57
1575522086,58,58
1575536486,57,57
1575540299,58,58
1575547286,57,57
1575558088,57,57
1575561700,60,60
1575569124,61,61
1575579697,60,60
1575594096,59,59
1575615699,58,58
1575630091,58,58
1575644495,58,58
1575648090,60,60
1575651690,59,59
1575658890,58,58
1575720091,59,59
1575730888,59,59
1575748888,58,58
1575766889,57,57
1575774231,58,58
1575781290,59,59
1575785077,58,58
1575788492,57,57
1575792233,58,58
1575813874,59,59
1575831693,57,57
1575896497,58,58
1575939696,59,59
1575943297,58,58
1576018892,59,59
1576033289,57,57
1576036889,51,51
1576080214,50,50
1576083682,51,51
1576105475,52,52
1576108880,51,51
1576112479,50,50
1576116204,51,51
1576126881,50,50
1576144883,49,49
1576152183,48,48
1576166486,50,50
1576180877,49,49
1576188197,50,50
1576191851,51,51
1576238479,48,48
1576252880,47,47
1576256485,48,48
1576270884,47,47
1576303283,48,48
1576321454,49,49
1576332216,48,48
1576422207,49,49
1576447295,50,50
1576450894,49,49
1576501462,51,51
1576519287,50,50
1576526490,51,51
1576551688,50,50
1576558887,49,49
1576594888,47,47
1576623683,46,46
1576630885,47,47
1576663453,46,46
1576688485,44,44
1576695680,45,45
1576717282,46,46
1576724489,45,45
1576749855,44,44
1576778650,45,45
1576789288,46,46
1576800185,47,47
1576857691,48,48
1576861283,48,48
1576886484,49,49
1576926200,50,50
1576947684,49,49
1576951376,48,48
1576962096,50,50
1576969389,51,51
1576980262,52,52
1576990893,51,51
1577041407,52,52
1577048498,53,53
1577055812,52,52
1577081058,51,51
1577084606,50,50
1577109851,49,49
1577127808,50,50
1577138647,49,49
1577149287,48,48
1577156603,47,47
1577163690,45,45
1577174609,44,44
1577221282,45,45
1577257283,46,46
1577293294,47,47
1577343686,46,46
1577372580,45,45
1577437289,45,45
1577444612,44,44
1577451691,45,45
1577469810,45,45
1577476882,44,44
1577480613,43,43
1577494885,43,43
1577498723,44,44
1577502087,46,46
1577513052,47,47
1577527442,46,46
1577559692,47,47
1577566891,47,47
1577584962,46,46
1577592090,47,47
1577606593,46,46
1577620895,45,45
1577653287,46,46
1577657062,50,50
1577671441,50,50
1577674895,51,51
1577685844,52,52
1577696619,50,50
1577732616,49,49
1577736104,50,50
1577743448,51,51
1577747010,50,50
1577822490,51,51
1577829863,51,51
1577847817,50,50
1577851286,52,52
1577854893,53,53
1577865689,54,54
1577883691,55,55
1577898087,54,54
1577905415,55,55
1577945056,56,56
1577948617,55,55
1577955686,54,54
1577959452,53,53
1577984486,54,54
1578013292,53,53
1578017020,52,52
1578031439,53,53
1578056485,52,52
1578078216,53,53
1578103390,52,52
1578107021,53,53
1578114090,54,54
1578117833,52,52
1578146635,53,53
1578171678,52,52
1578179027,51,51
1578200482,50,50
1578207818,49,49
1578211285,48,48
1578218635,47,47
1578243680,46,46
1578247412,45,45
1578258077,44,44
1578261829,45,45
1578276230,43,43
1578297669,42,42
1578340885,43,43
1578430872,42,42
1578445276,41,41
1578449030,40,40
1578463425,41,41
1578477792,42,42
1578495672,41,41
1578524481,40,40
1578531668,39,39
1578535436,38,38
1578682872,37,37
1578700869,38,38
1578736868,39,39
1578744322,38,38
1578754869,39,39
1578765672,37,37
1578801668,36,36
1578808877,37,37
1578866481,38,38
1578873679,39,39
1578877281,38,38
1578880886,39,39
1578884477,38,38
1578891672,37,37
1578906292,38,38
1578909675,40,40
1578927681,39,39
1578934878,40,40
1578938474,39,39
1578945672,38,38
1578956482,40,40
1578981823,41,41
1578985281,45,45
1578992482,46,46
1578999815,48,48
1579003288,49,49
1579006890,50,50
1579028493,51,51
