DateTime,AddedIPs,RemovedIPs
1574870466,1,0
1574874069,1,0
1574942466,1,0
1574949904,1,0
1574967675,0,2
1575036308,1,0
1575043273,0,1
1575050678,1,0
1575061266,1,1
1575068468,2,0
1575072068,1,0
1575082868,0,1
1575093900,0,1
1575115266,1,0
1575122723,1,0
1575133271,1,0
1575140468,0,1
1575172871,1,0
1575176472,1,0
1575180278,0,1
1575187269,0,1
1575216070,1,0
1575266697,1,0
1575270072,1,0
1575273675,1,0
1575277273,1,0
1575298877,0,1
1575306075,1,0
1575327677,1,0
1575331276,0,1
1575334873,0,1
1575353086,0,1
1575363672,1,0
1575370873,0,1
1575385270,0,1
1575410662,0,1
1575417668,1,2
1575435669,1,0
1575471671,0,1
1575478869,0,1
1575500472,1,1
1575525895,0,1
1575536468,1,0
1575543671,1,0
1575558070,0,1
1575576068,1,0
1575583501,0,1
1575590471,2,0
1575594078,1,0
1575601275,2,0
1575619276,1,0
1575622879,0,1
1575644477,0,1
1575658873,1,0
1575673273,0,2
1575676878,0,2
1575723679,1,0
1575734477,1,0
1575763276,0,1
1575795676,1,0
1575802876,3,1
1575806477,1,0
1575820884,1,0
1575831682,2,0
1575835283,1,0
1575874884,2,0
1575878487,1,0
1575882226,0,1
1575885864,0,1
1575889281,1,1
1575892879,0,1
1575907287,1,0
1575928880,0,1
1575943284,0,1
1575961278,1,0
1575968479,0,2
1576008220,1,0
1576033281,1,0
1576040483,0,1
1576044275,1,0
1576062210,1,1
1576065684,1,0
1576080215,0,2
1576090878,0,1
1576101855,0,1
1576105382,0,1
1576108876,0,1
1576116201,1,0
1576126879,0,1
1576144880,0,1
1576170189,1,1
1576177447,1,0
1576180874,1,1
1576195273,0,1
1576198873,0,1
1576202473,0,1
1576227671,0,1
1576242196,0,1
1576249433,0,1
1576263841,0,1
1576303267,1,0
1576339295,0,1
1576378868,1,0
1576407670,1,0
1576411267,1,1
1576432867,0,1
1576436467,1,0
1576443845,1,0
1576447277,1,0
1576450878,1,1
1576454473,1,0
1576458287,0,1
1576468876,1,0
1576476206,0,1
1576515839,0,1
1576537271,3,0
1576540872,1,1
1576548272,0,1
1576555276,0,1
1576566210,0,1
1576580470,0,1
1576594877,1,1
1576598480,1,0
1576602206,0,2
1576616473,0,1
1576627275,1,0
1576652475,1,0
1576656210,1,0
1576666879,3,0
1576670481,1,1
1576688485,0,1
1576695682,1,0
1576721050,0,1
1576724482,0,1
1576749851,1,0
1576760481,1,0
1576785678,0,2
1576789282,2,0
1576807445,0,1
1576810878,1,1
1576865050,1,0
1576868480,1,0
1576879453,1,0
1576908302,1,1
1576958481,1,0
1576980255,0,1
1576983793,0,1
1576994650,0,1
1577009045,0,1
1577016076,0,1
1577048482,0,1
1577052247,0,1
1577055794,1,2
1577059269,0,1
1577066642,1,0
1577073672,0,2
1577120472,1,1
1577142202,0,2
1577145672,1,0
1577163675,0,2
1577196233,0,2
1577232063,0,1
1577250066,1,0
1577253825,1,0
1577257261,0,1
1577260865,0,1
1577271664,0,2
1577275257,0,1
1577318537,1,0
1577340221,0,1
1577343661,2,0
1577350864,0,1
1577365265,1,1
1577372554,0,1
1577394059,0,2
1577415660,0,1
1577437262,1,0
1577476857,2,0
1577480589,2,0
1577484227,1,0
1577487660,2,1
1577494865,1,0
1577509272,1,0
1577513028,0,1
1577548863,1,0
1577566868,1,0
1577581265,0,1
1577584939,1,0
1577635276,0,1
1577653268,2,0
1577660589,0,2
1577664066,1,0
1577671419,1,0
1577678599,1,0
1577682072,0,1
1577725271,0,1
1577732596,1,0
1577786624,0,1
1577815431,1,0
1577844227,1,0
1577905397,1,0
1577908874,1,0
1577912472,0,1
1577919797,0,1
1577948599,1,0
1577952075,0,1
1577970072,0,1
1578006204,1,0
1578009671,0,1
1578067276,1,0
1578078202,1,0
1578081672,1,0
1578085276,0,1
1578088964,1,1
1578092612,0,2
1578096075,0,1
1578099671,0,1
1578132222,1,0
1578153670,0,1
1578171668,0,1
1578189827,0,1
1578207809,1,0
1578222206,0,1
1578236573,1,0
1578243670,0,1
1578247403,1,0
1578261822,1,0
1578268869,1,0
1578283274,1,0
1578294191,1,0
1578308595,1,0
1578337402,1,0
1578344477,0,1
1578351794,1,0
1578373275,0,1
1578387670,0,1
1578391415,1,0
1578420305,0,1
1578427281,1,0
1578441673,1,0
1578449030,0,2
1578477792,1,0
1578492291,0,1
1578499273,1,0
1578502878,0,1
1578510199,0,1
1578524480,1,1
1578528202,3,0
1578535449,1,0
1578538880,0,1
1578542481,1,0
1578546199,1,0
1578560473,0,1
1578574876,1,0
1578578480,1,0
1578582306,1,0
1578585673,0,2
1578610872,0,1
1578614478,0,1
1578661268,0,1
1578675670,1,0
1578682875,0,1
1578686469,0,1
1578704471,1,0
1578722477,1,0
1578736873,0,1
1578740472,0,1
1578812475,0,1
1578819681,1,0
1578830477,1,0
1578837676,1,0
1578841277,0,1
1578844882,1,0
1578855683,0,1
1578873681,0,1
1578888305,0,3
1578913275,2,0
1578916880,0,1
1578924296,0,1
1578956478,0,1
1578960301,1,0
1578985271,0,1
1578988877,2,0
1578999805,1,0
1579039272,0,1
1579107809,0,1
1579111271,1,0
1579140238,0,1
1579147271,0,1
1579150872,0,1
1579219269,0,1
1579226468,0,1
1579233803,0,1
1579251798,1,0
1579255268,1,0
1579266238,1,0
1579276865,1,1
1579280466,0,1
1579291266,1,0
1579294872,1,0
1579298468,1,0
1579312870,1,0
1579316469,1,0
1579323799,0,1
1579327268,3,0
1579338235,1,0
1579352469,0,1
1579363269,1,0
1579370470,1,0
1579377804,1,0
1579388470,0,1
1579399270,1,0
1579413804,3,0
1579460472,1,1
1579467810,2,0
1579471276,0,1
1579478473,0,1
1579489278,0,1
1579510872,0,1
1579521806,2,0
1579539778,1,0
1579543280,1,0
1579546880,2,1
1579550483,1,0
1579561275,1,0
1579575841,0,1
1579590249,0,1
1579600879,1,0
1579618880,1,0
1579636880,0,1
1579672873,0,1
1579683807,0,1
1579705277,1,0
1579719809,0,1
1579744877,1,0
1579834870,0,1
1579849277,0,1
1579860244,0,1
1579867274,0,1
1579892472,0,2
1579903271,1,0
1579917803,1,0
1579932241,0,2
1579960872,1,0
1579971804,0,1
1579975273,0,1
1579978868,1,0
1579982467,0,3
1580004245,0,1
1580014868,1,0
1580018469,0,1
1580036466,0,1
1580040233,1,0
1580065271,0,1
1580072462,0,1
1580079802,0,1
1580086865,1,1
1580090467,1,0
1580126465,0,1
1580140865,0,1
1580148233,0,1
1580151797,1,2
1580194865,1,1
1580216463,1,1
1580248866,1,0
1580252468,1,0
1580274226,1,0
1580281267,1,0
1580299266,0,1
1580313798,0,3
1580324468,1,0
1580331801,1,0
1580367797,0,1
1580378625,1,0
1580393035,1,0
1580407439,0,1
1580428870,1,0
1580475784,1,0
1580490072,1,0
1580518869,1,0
1580529689,1,0
1580536891,1,0
1580572880,0,1
1580580091,0,2
1580601692,1,0
1580619813,0,1
1580626876,1,0
1580648477,0,1
1580655806,0,1
1580659262,0,1
1580709922,1,0
1580720468,0,1
1580727805,0,1
1580760064,1,0
1580774473,1,0
1580796203,0,1
1580806865,0,1
1580857269,1,0
1580875267,0,1
1580889816,0,1
1580918472,0,1
1580922069,1,0
1580936470,1,0
1580947272,1,0
1580954637,0,1
1580969036,1,0
1580986864,1,0
1581008474,1,0
1581080664,1,0
1581098462,0,3
1581105662,1,0
1581109261,0,1
1581116458,0,1
1581123662,0,1
1581141666,0,1
1581163257,1,0
1581181258,0,1
1581206465,1,0
1581242463,1,0
1581249659,2,0
1581257119,1,0
1581260468,1,0
1581267661,0,1
1581271282,0,2
1581278465,1,0
1581325263,0,1
1581354061,0,1
1581368458,0,1
1581401132,1,0
1581444063,0,1
1581447660,1,1
1581451279,1,0
1581462061,1,0
1581465676,0,1
1581487255,0,1
1581555820,1,0
1581573679,0,1
1581613250,0,1
1581681670,1,0
1581710472,0,1
1581717818,2,0
1581721250,0,1
1581732050,1,0
1581768061,1,1
1581771824,1,0
1581786061,1,0
1581796856,0,1
1581818470,1,0
1581861673,1,0
1581865260,0,1
1581868854,1,1
1581876057,0,1
1581883246,0,2
1581908469,0,1
1581912049,0,1
1581922850,1,0
1581933814,1,0
1581966049,0,1
1581984049,1,0
1581987820,0,1
1582012852,1,0
1582027248,1,0
1582056047,2,1
1582077671,0,1
1582081251,1,0
1582092051,1,0
1582106602,1,0
1582110054,2,0
1582138866,1,0
1582182060,1,0
1582203824,0,1
1582207259,1,0
1582210857,1,0
1582218061,1,0
1582239684,1,0
1582272060,1,0
1582286485,0,1
1582304720,1,0
1582322606,0,1
1582340484,1,0
1582369281,1,0
1582372863,1,0
1582390869,0,1
1582405284,1,0
1582412482,1,0
1582441272,0,1
1582484480,0,1
1582506077,0,1
1582513264,1,0
1582516866,0,1
1582520709,1,0
1582524066,1,0
1582531267,1,0
1582538483,0,1
1582545666,2,0
1582570870,1,1
1582581667,1,0
1582585272,2,0
1582592725,0,1
1582596068,2,0
