DateTime,Entries,UniqueIPs
1574773327,13971,13971
1574787715,13941,13941
1574802086,13921,13921
1574816502,13917,13917
1574830889,13883,13883
1574845263,13872,13872
1574859652,13866,13866
1574874061,13889,13889
1574888458,13864,13864
1574902828,13810,13810
1574917157,13754,13754
1574931514,13700,13700
1574946121,13969,13969
1574960559,14024,14024
1574975039,14138,14138
1574989522,14254,14254
1575003971,14340,14340
1575018438,14452,14452
1575032862,14499,14499
1575047250,14498,14498
1575061738,14516,14516
1575076127,14530,14530
1575090534,14527,14527
1575104901,14535,14535
1575119319,14537,14537
1575133684,14478,14478
1575148023,14423,14423
1575162351,14307,14307
1575176800,14343,14343
1575191183,14363,14363
1575205697,14546,14546
1575220166,14614,14614
1575234584,14660,14660
1575249142,14826,14826
1575263591,14874,14874
1575278063,14977,14977
1575292515,15045,15045
1575306962,15132,15132
1575321437,15242,15242
1575335973,15385,15385
1575350455,15507,15507
1575364880,15573,15573
1575379338,15633,15633
1575393917,15863,15863
1575408410,15969,15969
1575422961,16018,16018
1575437380,16119,16119
1575451792,16141,16141
1575466255,16225,16225
1575480654,16254,16254
1575495232,16431,16431
1575509634,16436,16436
1575524069,16464,16464
1575538500,16493,16493
1575552734,16289,16289
1575567040,16197,16197
1575581502,16236,16236
1575595890,16211,16211
1575610297,16186,16186
1575624613,16111,16111
1575638920,15976,15976
1575653197,15822,15822
1575667619,15842,15842
1575682153,15972,15972
1575696594,16026,16026
1575710989,16025,16025
1575725449,16042,16042
1575739818,16091,16091
1575754259,16142,16142
1575769456,17011,17011
1575783981,17324,17324
1575798656,17669,17669
1575813130,17778,17778
1575827615,17881,17881
1575842199,17943,17943
1575856573,18068,18068
1575871056,18160,18160
1575885443,18157,18157
1575899851,18161,18161
1575914334,18117,18117
1575932357,18101,18101
1575950352,18123,18123
1575968275,18065,18065
1575986221,18017,18017
1576000360,17876,17876
1576014727,17837,17837
1576029134,17837,17837
1576043497,17793,17793
1576058022,17793,17793
1576072257,17760,17760
1576086716,17866,17866
1576101125,17900,17900
1576116877,17876,17876
1576133538,17879,17879
1576148002,17844,17844
1576162320,17904,17904
1576176730,17924,17924
1576191139,17942,17942
1576205591,17992,17992
1576220127,17983,17983
1576234394,17963,17963
1576248774,17941,17941
1576263238,18063,18063
1576277580,17977,17977
1576292175,17990,17990
1576306640,18249,18249
1576321069,18351,18351
1576335500,18394,18394
1576353484,18372,18372
1576371439,18279,18279
1576385762,18188,18188
1576400140,18110,18110
1576414325,18006,18006
1576428650,17906,17906
1576442999,17801,17801
1576457310,17655,17655
1576471962,17566,17566
1576485949,17423,17423
1576500281,17365,17365
1576514545,17218,17218
1576530157,17119,17119
1576546901,17089,17089
1576561464,17157,17157
1576575748,17190,17190
1576590142,17143,17143
1576604554,17115,17115
1576618941,17094,17094
1576633469,17055,17055
1576647722,17024,17024
1576662002,16933,16933
1576676337,16843,16843
1576690731,16815,16815
1576705110,16608,16608
1576719509,16712,16712
1576733850,16658,16658
1576748326,16777,16777
1576762666,16739,16739
1576777169,16719,16719
1576791389,16618,16618
1576805816,16600,16600
1576821358,16531,16531
1576834550,16506,16506
1576849071,16480,16480
1576863499,16677,16677
1576877801,16549,16549
1576892146,16476,16476
1576906547,16487,16487
1576920891,16219,16219
1576935091,16113,16113
1576949439,16086,16086
1576963809,16058,16058
1576978223,16062,16062
1576992666,16094,16094
1577007150,16216,16216
1577021541,16189,16189
1577035907,16164,16164
1577050339,16162,16162
1577064735,16163,16163
1577079113,16125,16125
1577093478,16087,16087
1577107836,16032,16032
1577122195,15963,15963
1577136520,15898,15898
1577151074,16138,16138
1577165795,16566,16566
1577180407,16822,16822
1577194881,16961,16961
1577209340,17062,17062
1577224054,17270,17270
1577238389,17328,17328
1577252810,17411,17411
1577267228,17446,17446
1577281610,17440,17440
1577296017,17298,17298
1577310434,17398,17398
1577324798,17336,17336
1577339238,17339,17339
1577353516,17213,17213
1577368021,17168,17168
1577382344,17209,17209
1577396773,17238,17238
1577411155,17233,17233
1577425601,17306,17306
1577440118,17307,17307
1577454366,17265,17265
1577468601,17073,17073
1577483026,17086,17086
1577497459,17116,17116
1577511941,17065,17065
1577526282,17121,17121
1577540729,17124,17124
1577555091,17088,17088
1577569514,17106,17106
1577584072,17125,17125
1577598415,17073,17073
1577612607,16906,16906
1577626985,16915,16915
1577641360,16904,16904
1577655892,16882,16882
1577670124,16842,16842
1577684446,16771,16771
1577698701,16621,16621
1577713006,16509,16509
1577727416,16351,16351
1577741585,16163,16163
1577755961,16131,16131
1577770271,15999,15999
1577784595,15888,15888
1577798873,15769,15769
1577813278,15749,15749
1577827592,15647,15647
1577841977,15604,15604
1577856271,15468,15468
1577870637,15436,15436
1577885053,15445,15445
1577899401,15396,15396
1577913782,15369,15369
1577928112,15290,15290
1577942804,15676,15676
1577957282,15788,15788
1577971661,15751,15751
1577986032,15723,15723
1578000422,15685,15685
1578014845,15693,15693
1578029189,15649,15649
1578043573,15630,15630
1578057938,15590,15590
1578072330,15606,15606
1578086777,15681,15681
1578101176,15707,15707
1578115590,15727,15727
1578129998,15745,15745
1578144403,15757,15757
1578158848,15808,15808
1578173308,15857,15857
1578187781,15907,15907
1578202230,15956,15956
1578216638,15978,15978
1578231069,16038,16038
1578245507,16064,16064
1578259905,16059,16059
1578274326,16058,16058
1578288733,16079,16079
1578303172,16126,16126
1578317586,16126,16126
1578331993,16134,16134
1578346410,16151,16151
1578360956,16318,16318
1578375556,16574,16574
1578390095,16703,16703
1578404603,16785,16785
1578419064,16880,16880
1578433641,16926,16926
1578448043,17054,17054
1578462512,17160,17160
1578476919,17204,17204
1578491344,17285,17285
1578505988,17446,17446
1578520352,17560,17560
1578534887,17685,17685
1578549284,17687,17687
1578563698,17734,17734
1578578308,17797,17797
1578596367,17887,17887
1578614451,18013,18013
1578632546,18147,18147
1578650617,18249,18249
1578668696,18344,18344
1578686789,18422,18422
1578704816,18460,18460
1578722927,18540,18540
1578740922,18591,18591
1578758980,18643,18643
1578776958,18643,18643
1578794972,18687,18687
1578812963,18691,18691
1578831014,18806,18806
1578849087,18925,18925
1578867252,19112,19112
1578885625,19429,19429
1578903755,19684,19684
1578921866,19868,19868
1578939989,20044,20044
1578958092,20190,20190
1578976203,20305,20305
1578994024,20272,20272
1579012029,20329,20329
1579030029,20363,20363
1579048075,20440,20440
1579066100,20444,20444
1579084079,20456,20456
1579102074,20448,20448
1579120034,20404,20404
1579137933,20282,20282
1579155873,20211,20211
1579173854,20249,20249
1579191842,20230,20230
1579209732,20139,20139
1579227722,20153,20153
1579245768,20186,20186
1579263615,20080,20080
1579281542,20006,20006
1579299571,20064,20064
1579317599,20073,20073
1579335564,20063,20063
1579353570,20071,20071
1579371488,20015,20015
1579389432,19973,19973
1579407476,19982,19982
1579425527,20049,20049
1579443456,19961,19961
1579461325,19849,19849
1579479391,19878,19878
1579497349,19848,19848
1579515223,19747,19747
1579533132,19686,19686
1579551050,19604,19604
1579569042,19543,19543
1579587036,19528,19528
