DateTime,Entries,UniqueIPs
1579418098,711,711
1579421696,712,712
1579425297,713,713
1579428929,715,715
1579432517,714,714
1579436104,716,716
1579439703,718,718
1579443302,722,722
1579446930,723,723
1579450515,719,719
1579454105,718,718
1579457702,717,717
1579461326,719,719
1579464944,719,719
1579468535,721,721
1579472066,626,626
1579475678,626,626
1579479278,626,626
1579482898,630,630
1579486486,629,629
1579490078,628,628
1579493673,630,630
1579497272,630,630
1579500894,629,629
1579504479,627,627
1579508049,600,600
1579511647,593,593
1579515244,594,594
1579518865,591,591
1579522463,595,595
1579526050,613,613
1579529654,614,614
1579533252,613,613
1579536875,614,614
1579540469,615,615
1579544057,614,614
1579547658,612,612
1579551248,608,608
1579554877,611,611
1579558457,611,611
1579562046,609,609
1579565646,604,604
1579569251,604,604
1579572875,606,606
1579580047,608,608
1579583660,617,617
1579587264,619,619
1579590901,641,641
1579594494,638,638
1579598077,638,638
1579601668,639,639
1579605273,636,636
1579608894,634,634
1579612479,635,635
1579616069,634,634
1579619667,634,634
1579623256,632,632
1579626892,631,631
1579630507,636,636
1579634084,632,632
1579637669,618,618
1579641268,615,615
1579644898,613,613
1579648469,608,608
1579652067,611,611
1579655666,617,617
1579662903,618,618
1579666500,620,620
1579670081,622,622
1579673683,623,623
1579677274,621,621
1579680907,623,623
1579684489,624,624
1579688090,625,625
1579691687,625,625
1579695282,620,620
1579698897,616,616
1579702485,615,615
1579706070,615,615
1579709671,618,618
1579713278,622,622
1579716914,623,623
1579720491,624,624
1579724081,623,623
1579727682,624,624
1579731282,623,623
1579734911,621,621
1579738493,620,620
1579742076,622,622
1579745679,622,622
1579749278,620,620
1579752913,621,621
1579756490,621,621
1579760080,623,623
1579763665,605,605
1579767277,606,606
1579770899,606,606
1579774483,607,607
1579778075,609,609
1579781676,610,610
1579785270,617,617
1579788895,615,615
1579792478,604,604
1579796060,603,603
1579799660,600,600
1579803258,602,602
1579806883,596,596
1579810466,592,592
1579814051,593,593
1579817655,591,591
1579821259,589,589
1579824881,588,588
1579828456,587,587
1579832047,586,586
1579839241,587,587
1579842871,585,585
1579846451,582,582
1579850060,601,601
1579853664,602,602
1579857269,605,605
1579860892,603,603
1579868062,604,604
1579871656,604,604
1579875263,603,603
1579878884,602,602
1579882465,600,600
1579886050,605,605
1579889660,601,601
1579893272,604,604
1579896882,610,610
1579900478,609,609
1579904062,610,610
1579907660,615,615
1579911270,615,615
1579914916,616,616
1579918505,617,617
1579922097,618,618
1579925697,619,619
1579929288,616,616
1579932932,618,618
1579936482,591,591
1579940071,592,592
1579943670,590,590
1579947262,587,587
1579950891,589,589
1579954471,589,589
1579958066,588,588
1579961662,587,587
1579965263,586,586
1579968892,589,589
1579972478,588,588
1579976064,586,586
1579979670,586,586
1579983262,586,586
1579986891,584,584
1579990480,583,583
1579994070,581,581
1579997660,580,580
1580001260,579,579
1580004883,578,578
1580008473,579,579
1580012056,582,582
1580015659,583,583
1580019189,551,551
1580022821,553,553
1580026406,553,553
1580029994,552,552
1580033584,552,552
1580040833,553,553
1580044400,550,550
1580047987,548,548
1580051586,548,548
1580055186,548,548
1580058815,549,549
1580062413,552,552
1580065995,551,551
1580069591,550,550
1580073198,554,554
1580076828,557,557
1580080414,559,559
1580084007,557,557
1580087599,555,555
1580091195,554,554
1580098414,553,553
1580101998,554,554
1580105601,552,552
1580109217,576,576
1580116439,577,577
1580120024,576,576
1580123619,577,577
1580127239,580,580
1580130858,582,582
1580134443,583,583
1580138029,580,580
1580141626,581,581
1580145232,580,580
1580148862,581,581
1580152450,580,580
1580156031,582,582
1580159630,582,582
1580170459,582,582
1580174032,580,580
1580177641,576,576
1580181227,576,576
1580184842,575,575
1580188419,547,547
1580191995,544,544
1580195584,524,524
1580199178,523,523
1580202810,523,523
1580206402,525,525
1580209982,523,523
1580213581,523,523
1580217186,522,522
1580220805,521,521
1580224396,524,524
1580227979,524,524
1580231586,524,524
1580235180,521,521
1580238812,519,519
1580242398,520,520
1580245986,520,520
1580249595,521,521
1580256814,519,519
1580260400,518,518
1580267575,516,516
1580271189,518,518
1580274802,516,516
1580278380,517,517
