DateTime,Entries,UniqueIPs
1580855475,6243,6243
1580860868,6185,6185
1580866286,6188,6188
1580868074,6186,6186
1580873465,6173,6173
1580877070,6174,6174
1580880672,6158,6158
1580884277,6184,6184
1580888022,6180,6180
1580893285,6190,6190
1580895069,6222,6222
1580898665,6235,6235
1580900468,6222,6222
1580902314,6246,6246
1580905901,6267,6267
1580909474,6213,6213
1580913080,6210,6210
1580916673,6201,6201
1580922067,6230,6230
1580923886,6235,6235
1580927494,6244,6244
1580932888,6258,6258
1580934666,6281,6281
1580938270,6254,6254
1580941901,6281,6281
1580943764,6231,6231
1580945475,6203,6203
1580949080,6186,6186
1580954469,6155,6155
1580956265,6140,6140
1580959870,6142,6142
1580961700,6119,6119
1580967103,6181,6181
1580968876,6156,6156
1580970667,6181,6181
1580972554,6156,6156
1580974278,6162,6162
1580977896,6162,6162
1580981478,6189,6189
1580985095,6185,6185
1580988718,6195,6195
1580990467,6217,6217
1580997715,6212,6212
1580999479,6211,6211
1581004887,6205,6205
1581006669,6196,6196
1581010290,6231,6231
1581015678,6239,6239
1581019407,6257,6257
1581021188,6255,6255
1581024675,6248,6248
1581028274,6155,6155
1581031870,6120,6120
1581037343,6114,6114
1581039150,6092,6092
1581042668,6072,6072
1581046267,6062,6062
1581049886,6047,6047
1581053468,6027,6027
1581057071,6077,6077
1581060693,6201,6201
1581062463,6047,6047
1581064271,6163,6163
1581067862,6159,6159
1581071464,6131,6131
1581076877,6109,6109
1581080501,6129,6129
1581082265,6147,6147
1581085894,6137,6137
1581089479,6135,6135
1581094874,6157,6157
1581096666,6164,6164
1581100293,6172,6172
1581103895,6175,6175
1581107467,6183,6183
1581111079,6175,6175
1581116496,6167,6167
1581118276,6134,6134
1581123708,6118,6118
1581129189,6101,6101
1581132671,6088,6088
1581136303,6068,6068
1581139865,6058,6058
1581141710,6054,6054
1581147087,6065,6065
1581150707,6078,6078
1581154265,6108,6108
1581157866,6139,6139
1581161477,6150,6150
1581165073,6164,6164
1581168707,6181,6181
1581174099,6173,6173
1581175887,6174,6174
1581179483,6194,6194
1581183084,6200,6200
1581186676,6204,6204
1581190264,6208,6208
1581195791,6228,6228
1581197511,6218,6218
1581199275,6195,6195
1581204696,6159,6159
1581206483,6154,6154
1581211882,6147,6147
1581217438,6131,6131
1581219083,6113,6113
1581222676,6106,6106
1581226279,6092,6092
1581229873,6093,6093
1581235271,6096,6096
1581237070,6113,6113
1581240665,6142,6142
1581244284,6188,6188
1581247880,6204,6204
1581251475,6208,6208
1581255074,6209,6209
1581256881,6220,6220
1581262274,6223,6223
1581265899,6239,6239
1581269488,6258,6258
1581273063,6266,6266
1581276700,6270,6270
1581282088,6264,6264
1581283875,6251,6251
1581287474,6220,6220
1581291081,6173,6173
1581292874,6172,6172
1581298269,6167,6167
1581301903,6156,6156
1581305488,6131,6131
1581309084,6125,6125
1581312665,6121,6121
1581316284,6125,6125
1581318092,6121,6121
1581319893,6141,6141
1581325270,6136,6136
1581328912,6171,6171
1581330678,6187,6187
1581334265,6183,6183
1581337870,6183,6183
1581341545,6198,6198
1581345104,6193,6193
1581348689,6193,6193
1581352273,6207,6207
1581357680,6228,6228
1581363089,6245,6245
1581368474,6263,6263
1581370264,6243,6243
1581372074,6225,6225
1581377474,6195,6195
1581381067,6162,6162
1581384670,6164,6164
1581390073,6146,6146
1581391876,6190,6190
1581395467,6177,6177
1581400865,6180,6180
1581404475,6196,6196
1581409903,6209,6209
1581413494,6213,6213
1581417067,6235,6235
1581420670,6242,6242
1581424280,6259,6259
1581431502,6284,6284
1581433279,6280,6280
1581438676,6289,6289
1581444091,6285,6285
1581447750,6322,6322
1581449503,6285,6285
1581451289,6345,6345
1581453080,6357,6357
1581454878,6331,6331
1581462066,6290,6290
1581463868,6259,6259
1581469306,6242,6242
1581474664,6219,6219
1581478276,6204,6204
1581481864,6183,6183
1581485464,6178,6178
1581489068,6201,6201
1581490868,6210,6210
1581496271,6230,6230
1581499906,6261,6261
1581505265,6260,6260
1581507071,6272,6272
1581510695,6286,6286
1581514290,6295,6295
1581517897,6294,6294
1581523279,6316,6316
1581525065,6311,6311
1581528671,6337,6337
1581534101,6336,6336
1581535890,6361,6361
1581539483,6365,6365
1581543082,6371,6371
1581548485,6349,6349
1581550265,6297,6297
1581552078,6266,6266
1581557470,6240,6240
1581561110,6229,6229
1581564675,6210,6210
1581568305,6205,6205
1581571902,6211,6211
1581573702,6205,6205
1581575465,6214,6214
1581579080,6226,6226
1581580884,6236,6236
1581586272,6252,6252
1581589883,6253,6253
1581595297,6265,6265
1581597109,6285,6285
1581600707,6294,6294
1581606074,6301,6301
1581607911,6303,6303
1581611466,6295,6295
1581615086,6307,6307
