DateTime,AddedIPs,RemovedIPs
1579354824,22,0
1579361128,52,0
1579361427,8,0
1579362024,1,0
1579377926,0,1
1579378828,14,0
1579381525,0,2
1579385125,0,1
1579392323,0,1
1579399521,0,1
1579406721,0,1
1579417822,0,1
1579418725,36,0
1579428324,0,1
1579437025,42,0
1579437624,0,2
1579439127,0,2
1579452923,0,1
1579457123,0,1
1579462225,1,0
1579464322,0,1
1579471522,0,1
1579489522,0,1
1579497623,96,0
1579503924,0,1
1579511124,0,1
1579521928,0,1
1579525525,0,1
1579530326,9,0
1579532725,0,1
1579533327,20,1
1579536326,0,2
1579542024,0,2
1579543523,0,1
1579565122,0,1
1579568427,49,0
1579572323,0,1
1579575922,0,1
1579583122,0,1
1579598124,0,3
1579598727,11,0
1579601124,0,1
1579611927,0,1
1579615228,32,0
1579615527,0,1
1579619127,0,1
1579626030,37,0
1579626329,0,3
1579629926,0,1
1579635627,0,6
1579635930,0,8
1579636225,0,6
1579636522,0,7
1579636828,0,11
1579637126,0,6
1579637422,0,6
1579638026,0,10
1579638324,0,3
1579638625,0,7
1579638926,0,5
1579639228,0,2
1579639526,0,5
1579639823,0,6
1579640124,0,5
1579643132,248,0
1579643424,74,0
1579651526,0,2
1579658723,0,1
1579671022,31,0
1579677023,49,0
1579680323,0,1
1579687525,0,1
1579691124,0,2
1579694725,0,1
1579707323,0,1
1579714225,61,0
1579715127,217,0
1579720826,3,0
1579722027,92,0
1579723523,0,2
1579756822,121,0
1579766723,0,2
1579773925,0,2
1579781122,0,1
1579784726,0,1
1579788926,12,0
1579793127,0,1
1579799124,0,1
1579799425,0,1
1579799729,43,1
1579802727,0,2
1579804828,182,0
1579806324,0,1
1579813528,0,1
1579817122,0,2
1579824323,0,1
1579825823,111,0
1579831523,0,1
1579838723,0,2
1579842923,58,0
1579856725,0,1
1579863925,0,1
1579867523,0,1
1579871125,49,1
1579873827,19,0
1579874124,2,0
1579874724,0,3
1579878027,0,1
1579878326,0,1
1579881926,0,1
1579882825,0,2
1579886425,1,0
1579889128,0,2
1579889427,0,2
1579892725,0,1
1579896326,273,3
1579896931,41,0
1579899926,0,1
1579902922,0,5
1579903224,0,8
1579903524,0,4
1579903823,0,4
1579904125,0,9
1579904723,0,11
1579935925,0,1
