DateTime,Entries,UniqueIPs
1579354824,1047512,1147523
1579361128,1047556,1147575
1579361427,1047560,1147583
1579362024,1047561,1147584
1579377926,1047560,1147583
1579378828,1047570,1147597
1579381525,1047570,1147595
1579385125,1047569,1147594
1579392323,1047568,1147593
1579399521,1047567,1147592
1579406721,1047566,1147591
1579417822,1047565,1147590
1579418725,1047596,1147626
1579428324,1047595,1147625
1579437025,1047629,1147667
1579437624,1047627,1147665
1579439127,1047625,1147663
1579452923,1047624,1147662
1579457123,1047623,1147661
1579462225,1047624,1147662
1579464322,1047624,1147661
1579471522,1047623,1147660
1579489522,1047622,1147659
1579497623,1047702,1147755
1579503924,1047701,1147754
1579511124,1047700,1147753
1579521928,1047699,1147752
1579525525,1047698,1147751
1579530326,1047705,1147760
1579532725,1047704,1147759
1579533327,1047720,1147778
1579536326,1047718,1147776
1579542024,1047717,1147774
1579543523,1047716,1147773
1579565122,1047715,1147772
1579568427,1047756,1147821
1579572323,1047755,1147820
1579575922,1047755,1147819
1579583122,1047754,1147818
1579598124,1047752,1147815
1579598727,1047761,1147826
1579601124,1047760,1147825
1579611927,1047759,1147824
1579615228,1047785,1147856
1579615527,1047784,1147855
1579619127,1047783,1147854
1579626329,1047811,1147888
1579626329,1047813,1147891
1579629926,1047810,1147887
1579635627,1047804,1147881
1579635930,1047798,1147873
1579636225,1047793,1147867
1579636522,1047786,1147860
1579636828,1047775,1147849
1579637126,1047769,1147843
1579637422,1047763,1147837
1579638026,1047757,1147827
1579638324,1047754,1147824
1579638625,1047749,1147817
1579638926,1047744,1147812
1579639228,1047742,1147810
1579639526,1047737,1147805
1579639823,1047732,1147799
1579640124,1047728,1147794
1579643132,1047927,1148042
1579643424,1047984,1148116
1579651526,1047982,1148114
1579658723,1047981,1148113
1579671022,1048007,1148144
1579677023,1048053,1148193
1579680323,1048052,1148192
1579687525,1048051,1148191
1579691124,1048049,1148189
1579694725,1048048,1148188
1579707323,1048047,1148187
1579714225,1048095,1148248
1579715127,1048250,1148465
1579720826,1048252,1148468
1579722027,1048331,1148560
1579723523,1048329,1148558
1579756822,1048432,1148679
1579766723,1048430,1148677
1579773925,1048428,1148675
1579781122,1048427,1148674
1579784726,1048426,1148673
1579788926,1048435,1148685
1579793127,1048434,1148684
1579799124,1048433,1148683
1579799425,1048432,1148682
1579800026,1048470,1148724
1579802727,1048468,1148722
1579804828,1048598,1148904
1579806324,1048597,1148903
1579813528,1048596,1148902
1579817122,1048596,1148900
1579824323,1048595,1148899
1579825823,1048697,1149010
1579831523,1048696,1149009
1579838723,1048695,1149007
1579842923,1048743,1149065
1579856725,1048742,1149064
1579863925,1048741,1149063
1579867523,1048740,1149062
1579871125,1048783,1149110
1579873827,1048799,1149129
1579874124,1048799,1149131
1579874724,1048796,1149128
1579878027,1048795,1149127
1579878326,1048794,1149126
1579881926,1048793,1149125
1579882825,1048792,1149123
1579886425,1048793,1149124
1579889128,1048792,1149122
1579889427,1048790,1149120
1579892725,1048789,1149119
1579896326,1048999,1149389
1579896931,1049025,1149430
1579899926,1049024,1149429
1579902922,1049020,1149424
1579903224,1049013,1149416
1579903524,1049010,1149412
1579903823,1049007,1149408
1579904125,1048999,1149399
1579904723,1048990,1149388
1579935925,1048989,1149387
1579939225,1049079,1149482
1579946426,1049105,1149509
1579966828,1049195,1149608
1579969526,1049220,1149642
