DateTime,AddedIPs,RemovedIPs
1574207103,256,256
1574213619,256,256
1574261113,768,768
1574272829,512,512
1574283615,256,256
1574343913,1024,1024
1574359223,256,256
1574361013,256,256
1574366424,256,256
1574401512,256,256
1574433011,1024,1024
1574458204,512,512
1574483403,1024,1024
1574490863,256,256
1574509512,256,256
1574541013,1792,1792
1574548766,256,256
1574556312,512,512
1574559903,256,256
1574595570,256,256
1574605805,1536,1536
1574607672,256,256
1574609462,256,256
1574625621,512,512
1574631913,512,512
1574660190,768,768
1574703912,1280,1280
1574728355,256,256
1574779513,1536,1536
1574784017,512,512
1574794816,256,256
1574798421,256,256
1574804208,256,256
1574821813,256,256
1574885712,768,768
1574892022,256,256
1574947867,1792,1792
1574955012,256,256
1574969541,256,256
1574978418,256,256
1574984703,256,256
1575041460,768,768
1575059413,256,256
1575064820,256,256
1575067104,256,256
1575070832,256,256
1575117063,2560,2560
1575120603,256,256
1575131411,256,256
1575138611,256,256
1575144023,256,256
1575151221,256,256
1575162012,1024,1024
1575218711,1024,1024
1575221411,512,512
1575225911,256,256
1575233111,256,256
1575286263,1280,1280
1575291670,256,256
1575297911,512,512
1575300610,256,256
1575307894,256,256
1575333012,256,256
1575336611,256,256
1575343812,256,256
1575366311,1024,1024
1575379811,512,512
1575387911,256,256
1575477911,768,768
1575487811,256,256
1575506553,256,256
1575560711,1024,1024
1575570611,256,256
1575577810,256,256
1575590429,256,256
1575639911,1792,1792
1575649910,512,512
1575662427,256,256
1575714840,1536,1536
1575718213,256,256
1575737113,512,512
1575748827,256,256
1575765201,512,512
1575819012,1024,1024
1575836113,256,256
1575847812,512,512
1575855912,256,256
1575901810,1280,1280
1575913512,256,256
1575924310,256,256
1575931511,256,256
1575937810,256,256
1575984995,1536,1536
1576011615,512,512
1576017010,256,256
1576031410,256,256
1576038610,256,256
1576045810,256,256
1576056610,256,256
1576093511,1024,1024
1576108829,256,256
1576152969,1536,1536
1576158311,256,256
1576169111,512,512
1576171813,256,256
1576179012,256,256
1576191613,256,256
1576266313,768,768
1576277112,256,256
1576333815,1280,1280
1576341100,256,256
1576345514,256,256
1576359012,256,256
1576363514,512,512
1576369812,256,256
1576373412,256,256
1576419369,1280,1280
1576434823,256,256
1576454425,256,256
1576473483,256,256
1576499411,1024,1024
1576503232,256,256
1576521912,256,256
1576524612,256,256
1576586199,1280,1280
1576589413,512,512
1576600210,256,256
1576611011,256,256
1576629011,512,512
1576675810,1792,1792
1576683911,256,256
1576697411,768,768
1576701012,512,512
1576710012,512,512
1576715412,256,256
1576719011,256,256
1576777511,1024,1024
1576783811,256,256
1576791911,256,256
1576799111,256,256
1576837813,2048,2048
1576848905,256,256
1576856048,256,256
1576863911,512,512
1576888498,256,256
1576949412,1280,1280
1576961112,256,256
1576984665,256,256
1577017623,1024,1024
1577035812,256,256
1577043012,256,256
1577050212,256,256
1577053812,256,256
1577061013,256,256
1577075412,256,256
1577079012,256,256
1577107870,1024,1024
1577115374,256,256
1577130312,256,256
1577133011,256,256
1577147412,256,256
1577194271,1024,1024
1577205913,512,512
1577208612,512,512
1577215812,256,256
1577219412,256,256
1577232915,256,256
1577298612,256,256
1577314812,256,256
1577322011,256,256
1577360832,768,768
1577363412,256,256
1577367911,256,256
1577381649,256,256
1577410212,256,256
1577454312,1024,1024
1577471412,256,256
1577476820,256,256
1577479502,256,256
1577484016,256,256
1577495712,768,768
1577537114,1792,1792
1577544315,768,768
1577547914,256,256
1577557813,512,512
1577563223,512,512
1577573103,512,512
1577582112,512,512
1577645113,1280,1280
1577647953,256,256
1577655012,256,256
1577666077,256,256
1577698272,1536,1536
1577702713,256,256
1577707220,256,256
1577714420,256,256
1577721621,512,512
1577741662,256,256
1577778303,1024,1024
1577782814,256,256
1577789113,256,256
1577800821,256,256
1577804413,256,256
1577823313,512,512
1577828713,256,256
1577853012,512,512
1577860212,256,256
1577925003,2304,2304
1577926815,256,256
1577935406,256,256
1577936714,256,256
1577937615,256,256
1577939088,2560,2560
1577941217,512,512
1577942769,1024,1024
1577946369,768,768
1577950203,256,256
1577952030,256,256
1577953835,512,512
1577957403,256,256
1577961049,512,512
1577962847,256,256
1577964649,256,256
1577968393,256,256
1577971860,256,256
1577973662,256,256
1577975787,256,256
1577979068,256,256
1577989812,256,256
1578004655,256,256
1578054667,1536,1536
1578062712,256,256
1578065412,256,256
1578084302,256,256
1578087012,256,256
1578090946,256,256
1578148408,1280,1280
1578155412,512,512
1578162612,256,256
1578169812,768,768
1578180863,256,256
1578187812,256,256
1578239113,1792,1792
1578241812,256,256
1578252612,256,256
1578256211,256,256
1578261618,512,512
1578263412,256,256
1578267304,512,512
1578270612,256,256
1578276012,512,512
1578313802,2048,2048
1578317766,256,256
1578324613,512,512
1578339013,512,512
1578353565,256,256
1578358812,768,768
1578389764,1536,1536
1578393256,256,256
1578396611,256,256
1578401111,256,256
1578403811,512,512
1578408312,256,256
1578411012,256,256
1578415512,256,256
1578429013,256,256
1578444311,256,256
1578501277,1536,1536
1578506414,256,256
1578513619,256,256
1578522611,256,256
1578528016,256,256
1578573971,1536,1536
1578577511,256,256
1578591911,256,256
1578610811,256,256
1578670204,1792,1792
1578681011,512,512
1578699146,256,256
1578705598,768,768
1578728712,256,256
1578735912,768,768
1578743111,512,512
1578756610,512,512
1578760211,256,256
1578765616,256,256
1578770111,256,256
1578778210,256,256
1578786310,256,256
1578789184,512,512
1578792611,256,256
1578865510,1536,1536
1578876310,256,256
1578879910,256,256
1578880811,256,256
1578922269,1536,1536
1578929721,256,256
1578936858,256,256
1578940211,512,512
1578948310,256,256
1578976551,512,512
1579012202,1536,1536
1579018512,256,256
1579027511,512,512
1579034000,256,256
1579065469,256,256
1579095912,1536,1536
1579106712,512,512
1579113912,768,768
1579121112,256,256
1579129212,256,256
1579134612,256,256
1579149011,256,256
1579194910,1280,1280
1579203911,768,768
1579211110,256,256
1579221010,256,256
1579283111,1792,1792
1579292349,256,256
1579302058,256,256
1579355123,1792,1792
1579368623,512,512
1579377690,256,256
1579383023,256,256
1579396504,256,256
1579447994,1024,1024
1579455924,256,256
1579474867,512,512
1579482943,256,256
1579527020,1024,1024
1579534218,768,768
1579543280,256,256
1579550463,256,256
1579555810,256,256
1579559413,256,256
1579564818,256,256
1579567511,512,512
1579569310,256,256
1579572911,256,256
1579620611,1280,1280
1579635910,1024,1024
1579653011,512,512
1579661111,256,256
1579690811,1536,1536
1579692612,256,256
1579707199,512,512
1579711512,256,256
1579723223,768,768
1579763988,512,512
1579788911,1792,1792
1579800715,1024,1024
1579842014,256,256
1579878911,768,768
1579885211,256,256
1579915360,768,768
1579929104,512,512
1579967111,1024,1024
1579969811,256,256
1580039110,512,512
1580067010,1280,1280
1580075110,256,256
1580101210,512,512
