DateTime,AddedIPs,RemovedIPs
1582142171,37,1
1582142909,9,14
1582143243,67,1
1582144082,67,0
1582144811,12,16
1582145111,768,0
1582146980,190,19
1582149138,86,19
1582150505,135,0
1582151046,5,9
1582152125,129,0
1582152978,2,18
1582154044,155,0
1582154884,9,13
1582155725,119,2
1582156833,306,0
1582157645,127,0
1582158730,1,7
1582159342,96,1
1582160898,9,6
1582161003,113,0
1582162810,10,2
1582164140,680,0
1582164744,2,5
1582164906,49,2
1582166646,7,5
1582168204,184,1
1582168583,4,13
1582169283,46,0
1582170490,0,13
1582170903,65,1
1582172419,12,11
1582173621,147,2
1582174326,8,19
1582175704,92,0
1582176247,5,29
1582176483,38,0
1582177327,29,1
1582178178,4,29
1582179244,91,0
1582180085,5,20
1582180758,63,0
1582182007,11,14
1582182903,83,1
1582183942,3,16
1582184610,59,3
1582185364,30,2
1582186108,3,13
1582186506,52,0
1582188010,7,14
1582188964,101,0
1582189932,3,15
1582190105,41,0
1582191861,6,16
1582192828,104,25
1582193777,8,9
1582194003,37,2
1582195690,7,13
1582197625,176,527
1582199532,76,124
1582200843,87,66
1582201451,143,0
1582202525,66,121
1582203379,5,4
1582204445,89,72
1582205287,5,7
1582206125,75,119
1582207215,35,4
1582208111,1333,63
1582209142,6,7
1582209624,69,131
1582211057,5,8
1582211310,84,67
1582212970,8,3
1582214103,112,102
1582214903,11,5
1582215303,0,1280
1582216809,64,72
1582217862,101,139
1582218728,15,5
1582219206,66,62
1582220659,11,10
1582222581,151,189
1582223204,57,2
1582224488,10,3
1582226409,122,216
1582228057,123,129
1582228325,6,2
1582230261,76,74
1582230810,35,92
1582232164,19,3
1582233243,250,103
1582234084,9,5
1582234339,140,66
1582236020,4,6
1582236903,181,83
1582237931,53,9
1582238955,54,112
1582240095,9,11
1582240202,66,44
1582242011,3,11
1582243942,165,83
1582244043,118,81
1582245846,10,4
1582247769,70,98
1582249707,173,202
1582250644,767,511
1582250753,58,67
1582251605,6,5
1582252204,59,106
1582252925,41,24
1582253527,5,11
1582253764,39,0
1582255459,5,1
1582256525,165,206
1582257367,12,5
1582258442,105,58
1582259296,6,3
1582260021,74,137
1582261207,16,4
1582262044,91,67
1582263133,64,6
1582264224,54,131
1582265064,18,8
1582265403,50,60
1582267215,14,5
1582267323,76,126
1582269145,21,7
1582269311,48,1079
1582271051,50,103
1582271767,58,26
1582272969,18,6
1582274904,106,171
1582276204,57,76
1582276805,5,7
1582277926,76,93
1582278727,17,8
1582278966,54,28
1582280043,58,64
1582280661,7,5
1582280883,47,0
1582282577,11,13
1582283705,145,208
1582284485,4,339
1582284904,42,117
1582286407,19,8
1582287243,130,111
1582288331,191,1
1582288928,31,118
1582290497,13,8
1582290843,77,55
1582292409,7,7
1582292531,90,134
1582293368,35,0
1582294344,9,9
1582294504,56,79
1582296257,20,5
1582296453,95,192
1582298166,13,5
1582298938,107,73
1582300104,10,6
1582300105,50,154
1582301403,55,76
1582302006,10,16
1582303325,82,147
1582303926,12,5
1582305244,86,71
1582305859,6,5
1582306643,76,106
1582307766,5,7
1582307801,64,29
1582308844,58,60
1582309684,8,6
1582311625,133,115
1582312443,78,53
1582313529,1024,1025
1582314021,73,98
1582315694,2,3
1582316043,81,60
1582317608,7,9
1582317616,77,148
1582319545,92,66
1582319644,12,0
1582321449,8,6
1582322164,93,157
1582323368,2,9
1582325304,139,238
1582326603,87,67
1582327205,4,4
1582327684,44,0
1582329124,7,8
1582330207,130,192
1582331071,141,0
1582331285,59,0
1582332967,4,9
1582333397,104,198
1582334111,254,0
1582334884,4,6
1582335007,63,95
1582336820,3,12
1582337644,114,97
1582338728,6,7
1582339326,70,89
1582340898,6,7
1582342205,158,146
1582342813,6,5
1582342924,31,33
1582344742,4,19
1582346654,156,155
1582347133,20,0
1582348570,3,5
1582350508,162,162
1582351223,36,42
1582352409,11,8
1582352884,71,0
1582353724,46,88
1582354330,7,6
1582355403,69,56
1582356258,5,4
1582356606,40,76
1582358170,9,1
1582359242,113,82
1582360084,2,6
1582361102,62,91
1582362026,11,6
1582362904,68,54
1582363928,4,6
1582364103,47,76
1582366114,58,48
1582366504,54,64
1582367283,36,0
1582368008,5,9
1582368903,73,102
1582369937,5,491
1582370044,43,57
1582371858,17,12
1582372503,117,114
1582374037,301,0
1582374903,94,109
1582375926,23,8
1582376593,81,91
1582377850,10,10
1582378210,0,1265
1582378923,88,104
1582379776,14,10
1582380843,64,71
1582381690,13,7
1582382523,54,103
1582383619,8,7
1582384443,63,62
1582384512,1267,0
1582385545,11,8
1582386019,45,111
1582387450,8,15
1582388105,64,49
1582389370,6,10
1582389905,79,102
1582391309,36,30
1582391702,50,61
1582393211,12,16
1582393324,67,105
1582395130,4,23
1582397067,141,168
1582397703,72,53
1582398967,15,17
1582399803,551,87
1582400894,74,96
1582402821,97,114
1582404123,61,197
1582404728,11,11
1582405803,83,66
1582406645,10,10
1582407007,54,94
1582408580,12,15
1582409403,101,92
1582410485,14,8
1582412417,123,104
1582413304,42,68
1582414327,9,11
1582416258,391,105
1582416844,66,63
1582418179,11,8
1582418418,81,80
1582420101,9,9
1582420203,85,49
1582422008,5,10
1582422125,88,106
1582422964,25,0
1582423950,23,9
1582424103,44,77
1582425846,14,5
1582426526,84,106
1582427776,6,6
1582428612,548,82
1582429703,46,118
1582431008,73,54
1582431614,9,15
1582432925,77,114
1582433524,3,15
1582433775,20,0
1582434843,41,41
1582435464,10,24
1582436418,58,96
1582437366,5,24
1582437597,50,38
1582438443,35,4
1582439289,5,17
1582439676,42,70
1582441220,5,16
1582441405,52,60
1582443131,1,8
1582445050,71,77
1582445645,82,78
1582446483,35,0
1582446984,10,14
1582448895,9,12
1582450203,146,227
1582450813,3,12
1582450923,28,29
1582452739,7,11
1582454648,96,65
1582456566,124,404
1582458507,175,196
1582458903,55,23
1582460420,140,0
1582461012,67,45
1582461724,32,97
1582462328,10,7
1582463643,90,57
1582464257,10,3
1582465323,75,114
1582466171,9,0
1582466528,51,64
1582468083,14,6
1582468924,113,102
1582470025,11,5
1582470086,57,63
1582471931,8,5
1582472319,84,69
1582473857,771,1537
1582474218,71,69
1582474443,17,0
1582475779,6,4
1582476049,127,109
1582477701,8,4
1582478044,73,43
1582479607,10,4
1582481545,70,103
1582481643,127,80
1582482483,37,1
1582483448,6,9
1582484166,110,105
1582484423,25,55
1582485370,10,6
1582486083,72,1
1582486212,511,0
1582486924,40,99
1582487297,6,6
1582488605,174,59
1582489209,11,1
1582490524,209,77
1582491124,11,6
1582491719,141,40
1582493062,7,8
1582493104,132,1
1582494964,12,7
1582496891,319,158
1582497723,158,99
1582498894,1,8
1582499643,149,66
1582500735,11,7
1582501218,94,109
1582502652,108,0
1582502850,55,43
1582504586,8,5
1582504924,75,98
1582506503,5,4
1582506603,53,45
1582508415,7,3
1582509365,100,95
1582510344,12,5
1582510505,31,50
1582511283,25,1
1582512258,8,3
1582512603,29,105
1582514171,8,7
1582515004,64,104
1582516111,29,21
1582516564,20,0
1582518009,8,4
1582518855,66,130
1582519935,8,5
1582521867,71,82
1582522924,58,102
1582523793,10,7
