DateTime,AddedIPs,RemovedIPs
1582170721,1,0
1582171321,3,0
1582171921,1,0
1582172521,4,0
1582173722,2,0
1582174921,2,0
1582176121,8,0
1582176722,1,0
1582177321,0,1
1582177921,1,0
1582178521,6,0
1582180921,4,0
1582182121,5,0
1582183321,3,0
1582183981,6,0
1582184521,12,0
1582185122,8,0
1582185721,1,0
1582186922,11,0
1582188121,5,0
1582188721,3,0
1582189321,2,0
1582190521,6,0
1582191721,1,0
1582192118,790,280
1582192321,3,0
1582192921,10,0
1582193521,3,0
1582194721,6,0
1582195321,4,0
1582195921,4,0
1582196521,1,0
1582197121,3,0
1582197721,5,0
1582198321,8,0
1582198921,10,0
1582199521,4,0
1582200121,5,0
1582201321,6,0
1582201921,5,0
1582203121,3,0
1582203721,5,0
1582204921,10,0
1582206122,16,0
1582206721,5,0
1582207321,1,0
1582208521,3,0
1582209122,1,0
1582209722,3,0
1582212122,4,0
1582214521,4,0
1582215121,2,0
1582215721,1,0
1582216381,2,0
1582216921,1,0
1582217521,2,0
1582218122,5,0
1582219321,6,0
1582219921,2,0
1582220521,14,0
1582221121,2,0
1582221722,2,0
1582222321,1,0
1582222921,4,0
1582224121,5,0
1582225321,5,0
1582226521,3,0
1582227121,2,0
1582227721,6,0
1582228321,1,0
1582228921,5,0
1582230121,3,0
1582230721,1,0
1582231322,3,0
1582232521,2,0
1582233721,13,0
1582234921,4,0
1582235521,2,0
1582236121,5,0
1582237322,3,0
1582237922,2,0
1582237981,1,0
1582238521,3,0
1582239121,3,0
1582240921,2,1
1582242121,5,0
1582243321,8,0
1582243922,1,1
1582245121,3,0
1582246321,1,0
1582248121,4,0
1582249321,6,0
1582252922,3,0
1582254121,1,0
1582255321,3,0
1582255922,1,0
1582257721,4,0
1582258321,1,0
1582258921,7,0
1582259522,1,0
1582261321,6,1
1582261922,5,0
1582262521,8,0
1582263122,2,0
1582263722,4,0
1582264922,3,0
1582266122,1,0
1582267321,6,0
1582267921,4,0
1582268522,2,0
1582269721,3,0
1582270921,3,0
1582272121,9,0
1582273322,2,0
1582274521,4,0
1582275721,3,0
1582276322,0,1
1582276921,2,0
1582278121,0,1
1582279249,864,390
1582279922,9,0
1582281181,3,0
1582281721,1,0
1582282921,5,0
1582283521,6,0
1582284121,3,0
1582284721,1,0
1582285322,5,0
1582285921,4,0
1582286521,8,0
1582287721,11,0
1582288322,2,0
1582288921,2,0
1582290122,1,0
1582291321,6,0
1582291921,2,0
1582292521,4,0
1582293121,18,0
1582293721,3,0
1582294321,5,0
1582294921,1,0
1582295521,1,0
1582296122,2,0
1582297321,3,0
1582297921,1,0
1582299721,1,0
1582300921,5,0
1582301521,2,0
1582302122,4,0
1582303321,5,0
1582304521,6,0
1582305121,5,0
1582306921,7,0
1582307522,1,0
1582308121,4,0
1582309321,6,0
1582309921,3,0
1582310521,3,0
1582311722,6,0
1582312921,5,1
1582313521,18,0
1582314121,4,0
1582315322,2,0
1582315921,1,0
1582316521,4,0
1582317121,10,0
1582317721,6,0
1582318921,4,0
1582321322,2,0
1582322521,1,0
1582323722,7,0
1582324321,1,0
1582324921,13,0
1582325521,2,0
1582326121,8,0
1582327322,7,1
1582328521,3,0
1582329121,1,0
1582329721,1,0
1582330921,4,0
1582332121,2,0
1582333321,5,0
1582335121,1,0
1582335721,5,0
