DateTime,AddedIPs,RemovedIPs
1566782663,1,0
1566826357,1,0
1566848405,2,4
1566870009,1,0
1566913714,3,0
1566934805,3,2
1566957406,4,0
1567001327,1,0
1567021205,0,2
1567044990,1,0
1567088653,1,0
1567107610,3,4
1567132335,1,0
1567194246,4,1
1567219696,2,0
1567263372,1,0
1567280665,1,1
1567307563,2,0
1567351475,2,0
1567366805,2,3
1567438807,2,1
1567453449,2,1
1567482496,3,0
1567526189,1,0
1567539604,1,4
1567569879,3,0
1567613653,1,0
1567626487,5,4
1567657697,4,0
1567701367,3,0
1567712405,4,2
1567745050,4,0
1567788736,2,0
1567799046,1,1
1567876104,1,0
1567885204,2,4
1567919802,1,0
1567963452,6,0
1567971611,3,4
1568007160,6,0
1568051074,14,0
1568058249,3,2
1568094749,3,0
1568138438,2,0
1568145132,3,0
1568182090,2,0
1568225789,6,0
1568231048,0,1
1568269451,5,0
1568313155,4,0
1568317445,0,2
1568357754,4,0
1568401722,3,0
1568403849,1,3
1568445410,6,0
1568489081,3,0
1568490011,2,1
1568532739,3,0
1568576440,15,1
1568620345,2,0
1568662805,0,3
1568664013,1,0
1568707698,5,0
1568749447,4,4
1568751377,3,0
1568795055,3,0
1568836085,3,7
1568838733,9,0
1568882412,19,0
1568922487,8,3
1568926343,11,0
1568970023,2,0
1569008406,2,4
1569013706,4,0
1569057383,1,0
1569094804,3,5
1569101050,3,0
1569181448,2,2
1569188417,4,0
1569232109,1,0
1569267606,2,1
1569275781,3,0
1569319469,2,0
1569354247,3,2
1569363152,1,0
1569406816,3,0
1569440408,2,4
1569494169,1,0
1569527048,2,2
1569537870,3,0
1569581576,1,0
1569613206,1,3
1569625224,3,0
1569699612,5,1
1569712591,4,0
1569756266,1,0
1569786245,0,4
1569799934,3,0
1569843611,2,0
1569872409,5,4
1569887304,3,0
1569959288,4,2
1569974903,4,0
1570045208,2,4
1570062741,4,0
1570106420,3,0
1570133464,4,2
1570150093,2,0
1570193798,2,0
1570218090,1,4
1570237718,2,0
1570281625,1,0
1570303674,6,1
1570325288,3,0
1570390061,2,2
1570456580,3,0
1570476564,0,2
1570563845,3,3
1570588284,1,0
1570632146,5,0
1570650484,3,2
1570676159,3,0
1570719864,3,0
1570736405,1,2
1570763780,2,0
1570822609,3,1
1570851151,4,0
1570894870,3,0
1570908487,0,3
1570938502,1,0
1570982441,1,0
1570995605,4,0
1571026100,1,0
1571070033,2,0
1571082005,0,3
1571113686,4,0
1571157614,7,0
1571168404,2,0
1571201308,6,0
1571245257,2,0
1571255050,0,2
1571288911,3,0
1571332572,1,0
1571341205,3,1
1571376258,1,0
1571419955,10,0
1571427606,1,2
1571463607,4,0
1571507300,8,0
1571514485,4,5
1571550977,8,0
1571594676,6,0
1571600405,2,3
1571638585,2,0
1571682496,2,0
1571686805,4,1
1571726175,3,0
1571770351,3,0
1571773446,1,3
1571814027,1,0
1571857723,2,0
1571859604,3,4
1571901371,2,0
1571945052,2,0
1571946245,4,3
1571988747,6,0
1572032413,3,0
1572032885,2,3
1572119292,3,0
1572163698,4,0
1572205207,1,2
1572207372,3,0
1572251065,1,0
1572291850,2,3
1572294741,5,0
1572338429,4,0
1572378484,3,3
1572382091,2,0
1572425769,4,0
1572464406,2,2
1572469469,4,0
1572513133,3,0
1572550806,2,4
1572556850,3,0
1572600770,1,0
1572637692,4,2
1572644412,1,0
1572688338,1,0
1572724328,3,4
1572732022,5,0
1572775726,2,0
1572812948,3,3
1572819394,2,0
1572863058,1,0
1572900005,4,2
1572906738,2,0
1572950422,1,0
1572986405,1,3
1572994105,1,0
1573037769,2,0
1573072805,2,5
1573081462,1,0
1573125405,2,0
1573159205,6,3
1573212736,1,0
1573245607,5,2
1573256410,1,0
1573300097,3,0
1573332964,2,2
1573343794,5,0
1573387704,3,0
1573418645,2,4
1573431382,1,0
1573504807,3,2
1573518737,2,0
1573562413,2,0
1573591207,2,4
1573606096,8,0
1573649768,5,0
1573677849,4,4
1573693451,4,0
1573737153,7,0
1573764245,3,2
1573780821,5,0
1573824486,2,0
1573850645,4,4
1573868183,3,0
1573911866,1,0
1573937529,2,2
1573955572,6,0
1573999218,2,0
1574023207,2,1
1574042914,6,0
1574086581,3,0
1574109606,0,1
1574130251,6,0
1574173942,5,0
1574196246,2,2
1574217610,5,0
1574261547,2,0
1574282884,2,2
1574305249,4,0
1574369287,2,0
1574392574,3,0
1574436502,2,0
1574455444,1,5
1574480427,1,0
1574524098,3,0
1574542326,4,3
1574567774,5,0
1574611481,1,0
1574628244,2,1
1574655131,2,0
1574699078,6,0
1574714404,1,3
1574742739,3,0
1574786434,5,0
1574800804,3,2
1574873812,2,0
1574886999,4,2
1574917456,5,0
1574961141,3,0
1574973605,1,3
1575005057,2,0
1575048998,3,0
1575060005,3,1
1575092649,1,0
1575136334,2,0
1575146405,1,2
1575180027,3,0
1575223706,6,0
1575232806,2,1
1575267389,4,0
1575311063,2,0
1575319447,1,2
1575354734,1,0
1575398434,1,0
1575405845,2,2
1575442091,1,0
1575485770,3,0
1575492004,5,2
1575529457,3,0
1575573405,4,0
1575578406,2,6
1575617049,1,0
1575660761,1,0
1575664804,5,1
1575704423,2,0
1575748339,1,0
1575751205,0,2
1575792016,2,0
1575803767,0,24
1575835710,3,0
1575836859,2,2
1575879612,3,0
1575923537,1,0
1575924103,0,4
1575967209,2,0
1576009668,2,1
1576011137,33,0
1576055094,3,0
1576096164,5,2
1576098748,2,0
1576142419,5,0
1576182486,0,2
1576186353,2,0
1576230014,1,0
1576268892,4,2
1576273935,1,0
1576317633,2,0
1576355274,1,3
1576361301,3,0
1576404976,7,0
1576442164,1,1
1576448659,2,0
1576528218,1,1
1576536262,4,0
1576579942,2,0
1576614580,1,4
1576623612,1,0
1576667300,1,0
1576700933,4,1
1576711211,1,0
1576787350,0,1
1576798808,3,0
1576842492,2,0
1576873797,1,2
1576886177,2,0
1576929859,1,0
1576960315,2,0
1576973548,1,0
1577017219,2,0
1577046481,1,2
1577060885,4,0
1577104810,2,0
1577132916,3,2
1577148489,3,0
1577192169,1,0
1577219229,1,3
1577235854,2,0
1577279777,1,0
1577305896,3,1
1577323446,3,0
1577367133,1,0
1577392594,2,7
1577410825,1,0
1577454499,1,0
1577478569,5,2
1577498167,1,0
1577542097,2,0
1577564894,2,1
1577585788,3,0
1577629460,2,0
1577651308,0,3
1577673150,2,0
1577716823,3,0
1577737684,3,1
1577760727,1,0
1577804428,1,0
1577824068,2,0
1577848347,2,0
1577910477,1,5
1577935697,1,0
1577979625,3,0
1578001878,5,4
1578023295,2,0
1578083557,3,2
1578169686,3,1
1578241944,2,0
1578256041,1,4
1578285608,4,0
1578329298,2,0
1578342976,1,1
1578372963,1,0
1578416902,3,0
1578428952,1,3
1578460570,2,0
1578504269,2,0
1578515322,5,2
1578547942,1,0
1578591855,5,0
1578601793,2,3
1578679220,1,0
1578688304,2,2
1578766815,1,0
1578774506,3,4
1578810504,2,0
1578854180,2,0
1578860868,3,1
1578897851,1,0
1578941527,4,0
1578947331,1,2
1579028910,1,0
1579033747,2,3
1579116267,2,0
1579120051,1,4
1579203608,1,0
1579206521,2,1
1579247306,1,0
1579290981,3,0
1579293112,2,0
1579334924,1,0
1579378581,2,0
1579379327,1,1
1579422263,1,0
1579509608,1,1
1579552119,1,1
1579596969,1,0
1579638604,1,1
1579640656,2,0
1579684335,1,0
1579724866,2,2
1579728018,2,2
1579771688,2,0
1579811404,2,1
1579815375,4,0
1579859075,2,0
1579897912,0,2
1579902732,2,0
1579946434,2,0
1579984217,3,4
1579990102,3,0
1580033769,1,0
1580070491,4,3
1580077447,3,0
1580121148,14,0
1580156982,1,2
1580164827,1,0
1580208501,3,0
1580243272,2,1
1580252178,2,0
1580296107,1,0
1580329769,2,1
1580339770,7,0
1580383457,2,0
1580416058,1,2
1580427141,6,0
1580502688,2,1
1580514491,4,0
1580558166,5,0
1580588864,2,0
1580602098,3,0
1580645780,1,0
1580675304,0,1
1580689446,6,0
1580733130,2,0
1580761730,1,2
1580820504,2,0
1580848124,1,2
1580864166,1,0
1580934495,2,1
1580951768,1,0
1581020899,2,2
1581039131,3,0
1581107322,1,3
1581126503,3,0
1581170177,3,0
1581193648,1,2
1581213855,2,0
1581280040,2,0
1581301213,3,0
1581345137,1,0
1581366482,2,0
1581388808,5,0
1581432489,3,0
1581452932,1,1
1581476178,2,0
1581520104,3,0
1581539233,1,1
1581563778,4,0
1581607450,1,0
1581625640,1,0
1581712307,0,2
1581738501,5,0
1581782169,2,0
1581798506,2,0
1581826119,7,0
1581884848,0,3
1581913449,2,0
1581957134,1,0
1581971284,2,3
1582000811,2,0
1582044505,6,0
1582057679,4,2
1582088168,3,0
1582131851,3,0
1582144145,1,2
1582175533,4,0
1582230696,4,2
1582262898,2,0
1582306580,3,2
1582316928,1,2
1582350247,3,0
1582393925,2,0
1582403244,1,0
1582481304,1,0
1582489655,0,3
1582524973,1,0
1582576612,3,0
1582612337,1,0
