DateTime,AddedIPs,RemovedIPs
1541340008,467,553
1541426408,469,658
1541512808,485,734
1541599209,456,625
1541685608,445,598
1541772045,432,676
1541858419,836,610
1541944810,567,688
1542031209,451,632
1542117609,321,467
1542204035,306,487
1542290408,641,496
1542353284,236,212
1542376809,469,493
1542463223,385,453
1542549609,329,428
1542636009,361,429
1542722413,364,849
1542808821,348,574
1542895210,1083,469
1542981610,761,330
1543068009,239,325
1543154422,339,642
1543240820,253,473
1543327210,285,384
1543337528,255,230
1543413609,328,350
1543500026,420,376
1543586418,342,358
1543672834,428,351
1543759210,277,1023
1543845610,255,790
1543932009,230,254
1544018410,220,302
1544104810,286,202
1544191210,225,292
1544277610,269,317
1544364022,196,431
1544450411,198,396
1544457636,291,262
1544536810,213,445
1544623211,234,288
1544709610,258,259
1544796010,272,244
1544882410,229,222
1544968836,289,293
1545055224,208,230
1545141611,271,275
1545228011,288,212
1545314423,242,195
1545400810,186,227
1545487212,160,245
1545573623,186,263
1545660025,206,291
1545746411,214,240
1545767530,218,290
1545832812,253,267
1545919211,251,214
1546005623,608,245
1546092147,933,305
1546178412,237,297
1546264826,155,192
1546351213,186,153
1546437611,368,193
1546524023,313,217
1546610411,237,215
1546696811,224,242
1546783211,383,209
1546869623,319,491
1546957818,650,840
1547046013,546,222
1547134231,485,148
1547149209,179,193
1547222429,452,195
1547310613,357,377
1547398814,402,237
1547487011,278,194
1547575331,232,205
1547661612,80,293
1547748012,37,417
1547834412,70,606
1547920814,162,720
1548007212,236,519
1548093615,212,472
1548180018,158,505
1548266414,146,485
1548352812,97,302
1548439229,89,379
1548444732,278,192
1548525628,84,83
1548612026,121,30
1548698428,143,44
1548784822,148,146
1548871228,114,219
1548958572,113,197
1549044025,125,126
1549130412,138,173
1549216813,100,97
1549303213,247,83
1549389612,147,83
1549476014,124,121
1549562413,118,124
1549648813,157,157
1549735215,111,110
1549823431,82,130
1549824487,240,262
1549911619,143,132
1549998020,325,140
1550084433,490,95
1550170822,716,236
1550257219,679,116
1550343624,667,114
1550430012,320,121
1550516412,131,145
1550602828,146,115
1550689212,198,80
1550775613,158,136
1550862014,152,280
1550948414,150,468
1551034828,55,715
1551117616,269,217
1551121212,55,686
1551207625,52,718
1551294013,54,374
1551380412,58,138
1551466827,51,144
1551553213,138,216
1551639612,69,186
1551726013,67,138
1551812412,56,147
1551898812,70,63
1551985214,98,64
1552158027,185,146
1552244414,79,61
1552247766,275,258
1552330823,58,49
1552417213,92,113
1552503613,57,62
1552535996,507,0
1552590013,62,70
1552676413,79,59
1552762815,41,63
1552849213,37,113
1552935613,55,127
1553022014,125,89
1553108471,114,115
1553194815,91,60
1553281216,88,113
1553367612,111,63
1553454028,43,57
1553540413,42,71
1553552404,270,283
1553626845,91,35
1553713215,103,40
1553799613,105,60
1553886014,70,123
1553972414,79,116
1554058835,80,90
1554145213,97,77
1554231613,88,118
1554318014,114,49
1554404415,122,47
1554490814,100,102
1554577213,96,122
1554663616,108,110
1554750018,156,69
