DateTime,Entries,UniqueIPs
1541340008,8161,34672455
1541426408,7969,34672266
1541512808,7724,34672017
1541599209,7555,34671848
1541685608,7386,34671695
1541772045,7141,34671451
1541858419,7360,34671677
1541944810,7215,34671556
1542031209,7030,34671375
1542117609,6886,34671229
1542204035,6730,34671048
1542290408,6863,34671193
1542353284,6894,34671217
1542376809,6875,34671193
1542463223,6809,34671125
1542549609,6703,34671026
1542636009,6633,34670958
1542722413,6122,34670473
1542808821,5894,34670247
1542895210,6475,34670861
1542981610,6893,34671292
1543068009,6800,34671206
1543154422,6546,34670903
1543240820,6279,34670683
1543327210,6193,34670584
1543337528,6217,34670609
1543413609,6198,34670587
1543500026,6240,34670631
1543586418,6239,34670615
1543672834,6311,34670692
1543759210,5587,34669946
1543845610,5047,34669411
1543932009,5024,34669387
1544018410,4944,34669305
1544104810,5024,34669389
1544191210,4955,34669322
1544277610,4910,34669274
1544364022,4687,34669039
1544450411,4500,34668841
1544457636,4536,34668870
1544536810,4312,34668638
1544623211,4252,34668584
1544709610,4232,34668583
1544796010,4248,34668611
1544882410,4241,34668618
1544968836,4244,34668614
1545055224,4213,34668592
1545141611,4206,34668588
1545228011,4300,34668664
1545314423,4327,34668711
1545400810,4292,34668670
1545487212,4244,34668585
1545573623,4182,34668508
1545660025,4112,34668423
1545746411,4095,34668397
1545767530,3998,34668325
1545832812,3990,34668311
1545919211,4031,34668348
1546005623,4389,34668711
1546092147,5031,34669339
1546178412,4997,34669279
1546264826,4952,34669242
1546351213,4984,34669275
1546437611,5158,34669450
1546524023,5255,34669546
1546610411,5278,34669568
1546696811,5254,34669550
1546783211,5416,34669724
1546869623,5260,34669552
1546957818,5067,34669362
1547046013,5393,34669686
1547134231,5727,34670023
1547149209,5706,34670009
1547222429,5960,34670266
1547310613,5940,34670246
1547398814,6108,34670411
1547487011,6194,34670495
1547575331,6226,34670522
1547661612,6019,34670309
1547748012,5647,34669929
1547834412,5113,34669393
1547920814,4531,34668835
1548007212,4228,34668552
1548093615,3927,34668292
1548180018,3573,34667945
1548266414,3206,34667606
1548352812,3002,34667401
1548439229,2714,34667111
1548444732,2815,34667197
1548525628,2820,34667198
1548612026,2912,34667289
1548698428,3008,34667388
1548784822,3082,34667390
1548871228,2985,34667285
1548958572,2927,34667201
1549044025,2930,34667200
1549130412,2935,34667165
1549216813,2929,34667168
1549303213,3082,34667332
1549389612,3104,34667396
1549476014,3086,34667399
1549562413,3052,34667393
1549648813,2989,34667393
1549735215,2975,34667394
1549823431,2914,34667346
1549824487,2880,34667324
1549911619,2881,34667335
1549998020,3045,34667520
1550084433,3433,34667915
1550170822,4027,34668395
1550257219,4615,34668958
1550343624,5191,34669511
1550430012,5397,34669710
1550516412,5397,34669696
1550602828,5415,34669727
1550689212,5471,34669845
1550775613,5486,34669867
1550862014,5345,34669739
1550948414,5024,34669421
1551034828,4364,34668761
1551117616,4410,34668813
1551121212,3784,34668182
1551207625,3120,34667516
1551294013,2802,34667196
1551380412,2735,34667116
1551466827,2685,34667023
1551553213,2580,34666945
1551639612,2466,34666828
1551726013,2397,34666757
1551812412,2313,34666666
1551898812,2321,34666673
1551985214,2341,34666707
1552158027,2355,34666746
1552244414,2346,34666764
1552247766,2371,34666781
1552330823,2373,34666790
1552417213,2398,34666769
1552503613,2398,34666764
1552535996,2394,34667271
1552590013,2387,34667263
1552676413,2401,34667283
1552762815,2379,34667261
1552849213,2333,34667185
1552935613,2285,34667113
1553022014,2323,34667149
1553108471,2339,34667148
1553194815,2366,34667179
1553281216,2322,34667154
1553367612,2328,34667202
1553454028,2314,34667188
1553540413,2287,34667159
1553552404,2267,34667146
1553626845,2317,34667202
1553713215,2377,34667265
1553799613,2419,34667310
1553886014,2413,34667257
1553972414,2403,34667220
1554058835,2399,34667210
1554145213,2424,34667230
1554231613,2429,34667200
1554318014,2499,34667265
1554404415,2573,34667340
1554490814,2578,34667338
1554577213,2556,34667312
1554663616,2557,34667310
1554750018,2621,34667397
1554836413,2634,34667434
1554922815,2657,34667462
1554930263,2636,34667445
1555009217,2641,34667454
1555095614,2637,34667451
1555182025,2589,34667411
1555268440,2578,34667410
1555354815,2589,34667423
1555441214,2602,34667467
1555527614,2616,34667455
1555614014,2574,34667390
1555700413,2537,34667342
1555786813,2496,34667297
1555873213,2474,34667269
1555959614,2464,34667249
1556046022,2489,34667270
1556132414,2498,34667275
1556218813,2487,34667276
1556235607,2433,34667228
1556305213,2406,34667189
1556393414,2430,34667213
1556481614,2465,34667248
1556569815,2487,34667269
1556658014,2511,34667303
1556746213,2571,34667381
1556834413,2590,34667413
1556922614,2578,34667406
1557010813,2564,34667383
1557099013,2530,34667357
1557185831,3176,34668051
1557273765,4964,34670786
1557361814,6053,34672065
1557450013,6046,34672060
1557525846,6026,34672063
1557538214,6005,34672017
1557626413,5939,34671932
1557714616,5874,34671884
1557802823,5846,34671857
1557891014,5832,34671840
1557979214,5803,34671809
1558067413,5289,34671188
1558155614,3115,34667962
1558243815,2175,34667002
1558332014,2146,34666979
1558420214,2149,34666983
1558508414,2143,34666974
1558596614,2131,34666931
1558684828,2126,34666921
1558773013,2126,34666926
1558833129,2090,34666888
1558861214,2072,34666875
1558949482,2053,34666846
1559037615,2087,34666924
1559125816,2084,34666925
1559214015,2128,34666977
1559302228,2199,34667075
1559390414,2231,34667126
1559478614,2252,34667163
1559565030,2253,34667194
1559651415,2254,34667209
1559737815,2254,34667217
1559824214,2177,34667135
1559910622,2161,34667117
1559997014,2144,34667102
1560083415,2127,34667036
1560169814,2070,34666893
1560212646,2079,34666908
1560256215,2040,34666852
1560342614,2011,34666812
1560376768,1989,34536356
1560429016,1950,34536312
1560515414,1920,34536280
1560601814,1943,34536296
1560688215,1965,34536318
1560774615,1974,34536329
1560861015,1987,34536353
1560947415,1999,34536371
1561033816,2021,34536405
1561120214,2037,34536442
1561206614,2019,34536438
1561293015,2001,34536452
1561379414,1984,34536447
1561465815,1953,34536396
1561517526,1917,34536364
1561552214,1901,34536344
1561638614,1894,34536337
1561725014,1874,34536322
1561811415,1857,34536300
1561897814,1829,34536237
1561984214,1805,34536208
1562070615,1809,34536206
1562157015,1789,34536188
1562243414,1786,34536184
1562329815,1807,34536207
1562416215,1811,34536219
1562502616,1849,34536232
1562589016,1843,34536241
1562675415,1859,34536262
1562761814,1880,34536282
1562809217,1896,34536309
1562848216,1879,34536293
1562934617,1896,34536306
1563021018,1900,34536308
1563107414,1905,34536317
1563193815,1912,34536324
1563280215,1949,34536379
1563366630,1963,34536400
1563453016,2007,34536451
1563539415,2026,34536480
1563625815,2021,34536488
1563712215,2014,34536486
1563778359,2027,34672422
1563798615,2016,34672410
1563885015,2006,34672399
1563971414,2024,34672422
1564057815,2052,34672453
1564114087,2070,34672459
1564138816,2058,34672430
1564225218,2053,34672414
1564311617,2040,34672388
1564398015,2019,34672359
1564484415,2027,34672363
1564570821,2045,34672377
1564657216,2044,34672379
1564743616,2063,34672397
1564830017,2055,34672384
1564916417,2017,34672340
1565002816,2011,34672329
1565089216,2018,34672336
1565175618,2011,34672325
1565262016,2076,34672386
1565348418,2055,34672374
1565434816,2055,34672375
1565493618,2072,34672406
1565521216,2082,34672386
1565607616,2063,34672377
1565694020,2071,34672385
1565780418,2093,34672407
1565866816,2076,34672390
1565953217,2067,34672407
1566039615,2059,34672402
1566126016,2017,34672358
1566212416,2026,34672370
1566298816,2034,34672381
1566385217,2120,34672759
1566471616,2036,34672834
1566558015,2033,34672832
1566644415,2001,34672814
1566730815,1988,34672800
1566739931,1914,34672735
1566817216,1922,34672725
1566903616,1937,34672742
1566990016,1899,34672728
1567076436,1886,34672724
1567162831,1877,34672721
1567249224,2040,34672482
1567335616,2010,34672426
1567422016,1999,34672412
1567508417,2010,34672433
1567594816,2035,34672458
1567681216,2051,34672467
1567767616,2006,34672394
1567854016,1961,34672339
1567940417,1918,34672288
1568026816,1886,34672247
1568113217,1864,34672229
1568199618,1939,34672315
1568286018,1996,34672403
1568372417,2021,34672426
1568458822,2010,34672452
1568545220,1981,34672449
1568631616,1990,34672464
1568718021,2015,34672486
1568804418,2026,34672497
1568890821,2052,34672523
1568977216,2081,34672549
1569063616,2079,34672469
1569150016,2014,34672366
1569236421,1954,34672292
1569322818,1916,34672244
1569409217,1874,34672201
1569495617,1839,34672164
1569582016,1858,34672185
1569668418,1854,34672160
1569754817,1807,34672112
1569841215,1790,34672092
1569927617,1788,34672084
1570014024,1824,34672134
1570100416,1841,34672165
1570186817,1835,34672160
1570273216,1824,34672150
1570359617,1812,34672136
1570446019,1758,34672064
1570532418,1734,34672054
1570618819,1738,34672095
1570705217,1722,34672079
1570791617,1848,34672201
1570878018,1801,34672159
1570964417,1829,34672188
1571050819,1870,34672229
1571137217,1891,34672247
1571223616,1896,34672247
1571310016,1895,34672246
1571396417,1887,34672221
1571482816,1895,34672200
1571569217,1920,34672232
1571655617,1810,34672133
1571742016,1797,34672113
1571828417,1748,34672050
1571914817,1708,34672003
1572001216,1688,34671984
1572087617,1685,34671981
1572174017,1684,34671981
1572260416,1678,34671975
1572346820,1651,34671945
1572433221,1608,34671919
1572519627,1547,34671854
1572606024,1544,34671848
1572692416,1541,34671845
1572778816,1556,34671860
1572865217,1548,34671851
1572951616,1550,34671852
1573038017,1557,34671859
1573124417,1555,34671857
1573210816,1551,34671860
1573297217,1546,34671833
1573383617,1549,34671836
1573470017,1544,34671831
1573556418,1542,34671830
1573642818,1527,34671815
1573729219,1531,34671818
1573815617,1543,34671830
1573902017,1542,34671829
1573988416,1553,34671840
1574074817,1559,34671847
1574161217,1574,34671903
1574247616,1577,34671906
1574334018,1592,34671921
1574420418,1591,34671923
1574506818,1591,34671929
1574593219,1584,34671922
1574679618,1580,34671918
1574766018,1575,34671914
1574852418,1569,34671912
1574938818,1563,34671908
1575025217,1598,34671920
1575111618,1623,34671948
1575198017,1641,34671964
1575284418,1667,34671991
1575370819,1647,34671958
1575457217,1664,34671978
1575543619,1662,34671983
1575630017,1673,34671994
1575716419,1666,34671987
1575802818,1676,34671995
1575889218,1669,34671988
1575975618,1693,34672014
1576062020,1782,34672108
1576148418,1958,34672289
1576234823,1974,34672301
1576321222,2009,34672344
1576407618,2029,34672367
1576494019,2034,34672368
1576580418,2044,34672382
1576666818,2165,34672508
1576753217,2159,34672504
1576839617,2139,34672482
1576926018,2084,34672419
1577012419,1954,34672283
1577098818,1958,34672291
1577185219,1975,34672302
1577271618,2053,34672385
1577358017,2105,34672467
1577444418,2212,34672597
1577530818,2103,34672490
1577617223,2102,34672486
1577703623,2181,34672568
1577790017,2171,34672564
1577876418,2141,34672535
1577962822,2135,34672528
1578049219,2134,34672526
1578135617,2091,34672462
1578222018,2100,34672443
1578308417,2070,34672403
1578394818,2074,34672403
1578481219,2083,34672411
1578567619,2089,34672423
1578654018,2127,34672473
1578740418,2136,34672527
1578826818,2190,34672603
1578913219,2154,34672560
1578999619,2136,34672546
1579086018,2083,34672513
1579172420,1998,34672429
1579258819,1980,34672412
1579345218,1977,34672409
1579431618,1919,34672293
1579518018,1848,34672206
1579604420,1829,34672143
1579690819,1792,34672148
1579777220,1845,34672203
1579863620,1914,34672279
1579950020,1970,34672336
1580036418,1992,34672365
1580122820,1995,34672368
1580209220,2024,34672412
1580295619,2065,34672465
1580382019,2092,34672534
1580468424,2094,34672542
1580554819,2068,34672503
1580641219,1983,34672426
1580727623,1936,34672374
1580814019,1894,34672319
1580900420,1874,34672322
1580986819,1861,34672327
1581073219,1850,34672294
1581159619,1814,34672226
1581246019,1773,34672176
1581332419,1796,34672198
1581418819,1792,34672195
1581505219,1789,34672199
1581591620,1753,34672158
1581678020,1736,34672131
1581764421,1714,34672102
1581850819,1742,34672131
1581937219,1761,34672156
1582023619,1807,34672210
1582110019,1805,34672228
1582196466,1782,34672200
1582283046,1888,34672301
1582369219,1927,34672350
1582455619,1999,34672415
1582542019,2063,34672483
1582628420,2169,34672615
