DateTime,AddedIPs,RemovedIPs
1537793405,2048,0
1537879805,1280,32000
1537966205,2048,160768
1538052605,256,28160
1538139007,5632,30464
1538225405,3072,28672
1538311805,256,4096
1538398205,1280,2048
1538484608,2560,28416
1538571017,1536,44800
1538657404,8960,40192
1538743807,5120,36608
1538830204,9216,36864
1538916604,1024,11264
1539003026,256,0
1539089405,256,21760
1539175806,2048,60672
1539262211,2048,28672
1539348607,1024,41728
1539435013,0,28672
1539521405,1024,2048
1539607810,1280,0
1539694204,8704,28928
1539780605,1024,40704
1539867004,5120,45312
1539953406,1024,41472
1540039805,1024,19200
1540126205,4096,1024
1540212605,512,0
1540299004,0,29184
1540385412,3072,54784
1540471805,1280,41216
1540558205,0,36608
1540644607,0,29184
1540731009,1024,18176
1540817405,6400,0
1540903804,0,43776
1540990218,1024,32256
1541076606,7168,42240
1541163004,2816,43520
1541249405,1024,50688
1541335805,0,1024
1541508605,1536,24576
1541595004,0,83712
1541681410,5632,29952
1541767805,1024,29952
1541854205,0,55808
1541940606,3840,7424
1542113404,0,36864
1542199811,256,38144
1542286214,19712,41728
1542372605,0,68864
1542459004,3840,52224
1542545406,0,4864
1542631804,1536,1024
1542718215,256,33024
1542804618,256,58368
1542891005,1024,32256
1542977405,2048,39936
1543063807,2048,48384
1543150205,5376,8704
1543236605,256,1024
1543323005,1024,18176
1543409405,2048,45568
1543495805,4096,43520
1543582205,2048,26624
1543668605,1536,28416
1543755005,1024,1280
1543841405,3328,3072
1543927811,1280,40704
1544014205,70656,21504
1544100610,4864,20480
1544187005,2048,22784
1544273405,1536,38656
1544359804,4864,3584
1544446205,1024,18944
1544532605,0,24832
1544619005,512,75520
1544705406,2560,33536
1544791805,2560,68096
1544878204,4352,56832
1544964605,512,6400
1545051005,1024,0
1545137411,256,553984
1545223810,1280,29696
1545310205,256,31744
1545396605,6144,33024
1545483005,2560,42240
1545569406,2560,3584
1545655805,5120,0
1545742211,512,31232
1545828605,3840,0
1545915005,1024,6656
1546001404,1024,33024
1546087804,1024,70912
1546174205,5632,5888
1546260604,4096,0
1546347005,0,7680
1546433405,3328,2048
1546519805,2816,27648
1546606215,34304,25856
1546692604,1536,29184
1546779004,28672,5632
1546865415,12288,0
1546951806,21248,59392
1547038208,8192,35840
1547124604,6656,27392
1547211007,1536,34560
1547297404,6144,50944
1547383804,16384,7168
1547470204,3072,0
1547556611,1024,25088
1547643004,16128,31488
1547729405,256,32512
1547815804,1024,14080
1547902209,3072,28672
1547988603,3072,6144
1548075005,1280,0
1548161405,2304,22784
1548247810,6400,33024
1548334205,256,41216
1548420605,768,22528
1548507006,1536,32000
1548593404,4096,8192
1548679808,6656,0
1548766204,0,18432
1548852611,3840,21248
1548939005,2560,40704
1549025404,0,34816
1549111804,1024,30464
1549198205,1024,1024
1549284604,2048,0
1549371004,7168,47360
1549457421,0,29952
1549543811,6144,21504
1549630204,256,36608
1549716605,0,49152
1549803005,3584,6656
1549889404,1024,0
1549975804,1024,28160
1550062204,17920,32000
1550148604,0,36608
1550235004,3072,32512
1550321404,1024,30208
1550407804,1024,2048
1550494205,256,0
1550580604,1280,558336
1550667004,2048,32000
1550753404,1024,43776
1550839805,5632,48640
1550926204,512,40960
1551012604,0,3328
1551099005,5120,17408
1551185404,1280,19200
1551271804,3840,31488
1551358207,2304,46848
1551444604,2560,17664
1551531004,0,28160
1551617404,7680,11264
1551703805,1280,0
1551790204,1536,32512
1551876605,1792,26368
1551963005,256,23552
1552049404,3072,33024
1552135804,2048,36608
1552222208,1536,4096
1552308607,4096,0
1552395004,512,22784
1552481404,2048,46848
1552567804,4096,64256
1552654215,1024,36864
1552740604,1280,36864
1552827006,13568,5376
1552913410,1024,0
1552999804,0,24064
1553086209,512,40960
1553172604,6144,25856
1553259004,1024,49408
1553345404,1792,112896
1553431804,2048,5120
1553518207,8192,3072
1553604605,0,40704
1553691016,768,39680
1553777404,6400,87040
1553863804,0,47872
1553950204,3072,36864
1554036604,512,7424
1554123004,768,0
1554209404,256,37120
1554295804,2560,40448
1554382204,74752,23296
1554468604,1024,46592
1554555006,0,28928
1554641405,3584,8192
1554727804,512,0
1554814205,0,32512
1554900604,1024,27392
1554987005,4352,39168
1555073407,0,35840
1555159805,3584,41728
1555246204,7168,6144
1555332604,256,0
1555419020,0,26368
1555505405,2048,39424
1555591804,1792,35328
1555678204,3840,28672
1555764604,6144,7936
1555851004,2048,0
1555937404,256,2048
1556023804,256,41472
1556110205,1536,50944
1556196604,1024,34816
1556283004,3328,581120
1556369404,2048,33024
1556455804,2304,10496
1556542203,1280,512
1556628604,0,30208
1556715004,4864,36608
1556801404,5888,32256
1556887805,2560,24576
1556974204,256,56320
1557060604,2560,13056
1557147005,2560,0
1557233404,0,25088
1557319805,256,35840
1557406206,3840,34048
1557492605,0,41728
1557579006,2560,35584
1557665413,2304,512
1557751805,0,1024
1557838206,0,76800
1557924612,7168,43264
1558011010,6656,44800
1558097406,0,42496
1558183804,1280,33792
1558270204,4352,17920
1558356604,5888,0
1558443005,6144,16384
1558529409,1536,118272
1558615805,8192,34304
1558702205,5120,30464
1558788605,4608,36864
1558875005,1536,6656
1558961405,1792,0
1559047804,0,50176
1559134210,18688,38912
1559220604,2560,32256
1559307006,2048,12288
1559393405,0,59136
1559479805,4352,4352
1559566204,1280,0
1559652604,0,17408
1559739005,3072,37888
1559825407,8960,28672
1559911805,1280,28672
1559998204,3072,118272
1560084604,6656,6144
1560257404,0,2560
1560343805,1280,33536
1560430205,12800,44288
1560516604,3072,67584
1560603005,1024,54784
1560689406,6656,6144
1560775804,0,512
1560862205,1600,25344
1560948605,4352,86816
1561035004,3072,50688
1561121404,2368,41984
1561207804,256,48640
1561294204,1024,2048
1561467004,256,47616
1561553407,3072,29184
1561639804,6400,54784
1561726205,3072,57088
1561812604,3072,33536
1561899004,0,7168
1561985404,0,768
1562071804,7424,52480
1562158204,2304,33280
1562244605,1024,44288
1562331006,0,33024
1562417404,256,44288
1562503804,1280,5888
1562590205,1024,0
1562676605,512,38400
1562763004,1536,40192
1562849405,2304,51712
1562935804,0,42496
1563022204,4096,44288
1563108604,1280,12288
1563195004,256,0
1563281406,1024,32256
1563367804,2048,30976
1563454210,2304,55808
1563540604,0,55040
1563627004,5632,40704
1563713405,1280,3584
1563799806,256,0
1563886204,3072,49664
1563972604,3072,49152
1564059004,3328,43776
1564145404,1280,61440
1564231805,2048,46848
1564318204,1280,11008
1564404605,1024,0
1564491004,1024,41216
1564577404,4352,105728
1564663805,768,48640
1564750205,2816,41472
1564836604,1280,38656
1564923004,2048,2304
1565009404,512,0
1565095804,0,50688
1565182205,256,30976
1565268606,256,50944
1565355005,3584,53760
1565441404,1024,48128
1565527815,2816,9984
1565700605,0,34048
1565787004,1536,50432
1565873405,1024,43520
1565959805,1024,54784
1566046204,512,166400
1566132605,1536,3584
1566219004,2304,256
1566305404,0,114944
1566391804,2560,42240
1566478204,3840,44032
1566564604,4608,58112
1566651004,4608,48640
1566737404,8960,8192
1566823805,1024,1024
1566910204,0,39680
1566996603,12800,601600
1567083005,7424,56064
1567169405,1280,45824
1567255804,0,63744
1567342204,2560,4608
1567428604,256,0
1567515005,2064,44544
1567601406,6144,56320
1567687805,1536,46848
1567774205,3072,49408
1567860605,2048,46592
1567947004,5120,3328
1568033404,1024,0
1568119805,21504,52224
1568206204,4608,71168
1568292605,2560,54016
1568379004,5376,41728
1568465404,2560,59136
1568551804,512,26368
1568638204,0,512
1568724604,1024,54528
1568811004,2560,57344
1568897404,5120,47360
1568983804,512,30720
1569070204,2048,47872
1569156606,256,9472
1569329404,256,552704
1569415804,7168,39424
1569502207,2048,37632
1569588605,1024,39680
1569675005,4864,53504
1569761406,3584,14848
1569934212,1280,38144
1570020604,1024,38656
1570107004,4608,27648
1570193404,0,59392
1570279804,3584,50176
1570366204,3328,29952
1570539004,202752,33280
1570625404,1280,18688
1570711804,4096,29184
1570798205,2560,35840
1570884605,3584,38456
1570971004,2560,3584
1571143804,1024,24576
1571230204,2048,28672
1571316603,3072,25600
1571403004,7168,45568
1571489404,768,36352
1571575804,1280,10240
1571748603,2304,20224
1571835004,0,37120
1571921404,1280,31488
1572007805,0,23296
1572094204,5120,27904
1572180603,3584,14592
1572353404,1024,20736
1572439804,4352,22272
1572526205,2048,34048
1572612603,1024,49408
1572699004,2048,3141888
1572785404,3072,10496
1572958204,2681344,23040
1573044616,6400,40704
1573131005,0,39424
1573217403,3072,47360
1573303804,1536,35840
1573390204,4352,12032
1573563006,1024,57088
1573649404,5120,35328
1573735804,3840,48128
1573822204,2304,44288
1573908628,0,48384
1573995012,2048,0
1574167804,2304,585472
1574254217,4096,30464
1574340606,4352,35584
1574427004,1792,26880
1574513404,2560,101888
1574599804,3584,5632
1574772605,0,301056
1574859004,0,16384
1574945404,0,3584
1575031821,0,16128
1575118203,1792,14080
1575204605,0,3328
1575291004,0,17408
1575377404,256,9216
1575463804,4864,9472
1575550204,19456,16128
1575636604,768,18432
1575723004,2816,13312
1575809404,0,14336
1575895804,512,0
1575982204,1024,11520
1576068604,6144,13056
1576155005,0,13824
1576241404,2304,6656
1576327814,256,12544
1576414204,1024,8960
1576587004,2048,5376
1576673404,512,55552
1576759804,61440,11264
1576846205,3328,76032
1576932605,0,21504
1577105404,1024,4096
1577191806,4096,18432
1577278204,256,12032
1577364622,6656,768
1577451004,2560,2048
1577537404,4864,13056
1577623804,4096,0
1577710204,9216,0
1577796605,51456,24576
1577883003,1024,6912
1577969404,5376,0
1578055804,4608,4608
1578142206,7936,15104
1578228604,0,13056
1578315004,13312,0
1578401405,768,14848
1578487804,1280,9984
1578574204,2048,9472
1578660605,4608,12288
1578747004,3328,16384
1578833404,512,8192
1578919804,3840,0
1579006204,23296,550144
1579092604,2048,15872
1579179004,80896,6656
1579265404,2816,17920
1579351804,14592,11520
1579438204,5120,18176
1579524604,14592,0
1579611005,1280,11776
1579697404,2048,12032
1579783804,0,3840
1579870203,10240,24576
1579956604,1792,16640
1580043004,512,6400
1580129404,256,1024
1580215804,0,2304
1580302204,25600,13824
1580388604,2048,10240
1580475004,1024,17664
1580561404,192512,11008
1580647803,27392,17920
1580734203,18176,0
1580820604,29696,10496
1580907005,5120,15104
1580993404,1280,12544
1581079804,3328,17920
1581166204,0,14848
1581252604,28160,2560
1581425403,27648,7168
1581511804,4096,7680
1581598203,8192,22528
1581684603,0,13824
1581771003,2048,9728
1581857435,9472,8192
1582030203,768,3840
1582116603,1536,12032
1582203003,512,13056
1582289403,2560,15360
1582375803,1536,18432
1582462203,7168,18432
1582548603,1024,0
