DateTime,Entries,UniqueIPs
1537872764,1309,1309
1537959867,1309,1309
1538046995,1312,1312
1538134097,1295,1295
1538221231,1273,1273
1538308355,1245,1245
1538395714,1245,1245
1538483078,1246,1246
1538570435,1246,1246
1538657544,1226,1226
1538744931,1221,1221
1538832278,1217,1217
1538919384,1215,1215
1539006737,1218,1218
1539094127,1219,1219
1539181210,1220,1220
1539268351,1195,1195
1539355482,1181,1181
1539442579,1179,1179
1539529990,1180,1180
1539704421,1178,1178
1539791561,1175,1175
1539878680,1177,1177
1539965774,1173,1173
1540053196,1152,1152
1540140255,1109,1109
1540227375,1105,1105
1540314523,1104,1104
1540401654,1104,1104
1540488752,1103,1103
1540576120,1081,1081
1540663240,1079,1079
1540750350,1079,1079
1540837357,1081,1081
1540924690,1081,1081
1541011956,1079,1079
1541099191,1079,1079
1541186514,1082,1082
1541273905,1081,1081
1541361253,1098,1098
1541448389,1087,1087
1541535515,1084,1084
1541622885,1081,1081
1541710227,1059,1059
1541797604,1058,1058
1541885202,1059,1059
1541972526,1041,1041
1542059903,1040,1040
1542147021,1042,1042
1542234376,1039,1039
1542321508,1031,1031
1542408828,1027,1027
1542495982,1030,1030
1542583093,1032,1032
1542670458,1036,1036
1542758331,1036,1036
1542845561,1037,1037
1542932664,1043,1043
1543019801,1046,1046
1543106913,1042,1042
1543194271,1034,1034
1543281636,1033,1033
1543369001,1031,1031
1543456102,1030,1030
1543543461,1027,1027
1543630600,1023,1023
1543717945,1019,1019
1543805318,1001,1001
1543892923,1002,1002
1543980018,1005,1005
1544067384,1008,1008
1544154758,1007,1007
1544242125,991,991
1544329488,1004,1004
1544416816,1004,1004
1544504175,1014,1014
1544591559,1015,1015
1544678899,1026,1026
1544766257,1033,1033
1544940524,1014,1014
1545027643,1016,1016
1545114759,1016,1016
1545201856,1015,1015
1545289242,1015,1015
1545376347,1016,1016
1545463469,993,993
1545550608,976,976
1545637959,976,976
1545725324,977,977
1545812415,976,976
1545899535,978,978
1546073796,977,977
1546161165,977,977
1546248560,976,976
1546335614,980,980
1546509859,982,982
1546597250,983,983
1546684361,981,981
1546771548,985,985
1546858832,986,986
1546946045,990,990
1547033159,994,994
1547120289,1018,1018
1547207652,1021,1021
1547294791,1023,1023
1547382159,1006,1006
1547469266,987,987
1547556368,993,993
1547643495,992,992
1547730622,991,991
1547817981,996,996
1547905318,1019,1019
1547992704,1021,1021
1548167393,1024,1024
1548254554,1028,1028
1548341900,1031,1031
1548516627,1038,1038
1548603956,1043,1043
1548691097,1048,1048
1548778502,1051,1051
1548866067,1053,1053
1548953658,1062,1062
1549040773,1066,1066
1549127906,1072,1072
1549215217,1078,1078
1549302252,1086,1086
1549389378,1089,1089
1549476491,1092,1092
1549563609,1096,1096
1549737875,1100,1100
1549824966,1110,1110
1549912090,1113,1113
1549999232,1119,1119
1550086357,1128,1128
1550173473,1131,1131
1550260572,1141,1141
1550347950,1148,1148
1550435050,1150,1150
1550522170,1180,1180
1550609534,1191,1191
1550696688,1204,1204
1550783796,1205,1205
1550870924,1211,1211
1550958010,1230,1230
1551045132,1231,1231
1551132263,1264,1264
1551220131,1263,1263
1551307516,1274,1274
1551394572,1277,1277
1551481731,1313,1313
1551568821,1318,1318
1551655961,1321,1321
1551743054,1323,1323
1551830202,1328,1328
1551917328,1331,1331
1552004420,1327,1327
1552091557,1339,1339
1552178685,1345,1345
1552352921,1392,1392
1552440023,1478,1478
1552527158,1641,1641
1552614280,2090,2090
1552701376,2338,2338
1552788512,2588,2588
1552875613,2704,2704
1552962758,2830,2830
1553049848,2923,2923
1553136991,3116,3116
1553224115,4420,4420
1553311456,4864,4864
1553398571,5705,5705
1553485692,6382,6382
1553572826,6406,6406
1553659945,7139,7139
1553747052,7159,7159
1553834173,7818,7818
1553921306,8412,8412
1554008451,8560,8560
1554095789,8591,8591
1554182889,8946,8946
1554270051,9096,9096
1554357133,9599,9599
1554444527,9749,9749
1554531616,9829,9829
1554618732,9842,9842
1554705852,9865,9865
1554792989,9897,9897
1554880124,9907,9907
1554967237,9927,9927
1555054358,9956,9956
1555141498,9964,9964
1555228590,9967,9967
1555315714,9998,9998
1555402816,10007,10007
1555489948,10098,10098
1555577051,10551,10551
1555664178,10572,10572
1555751298,10850,10850
1555838430,10872,10872
1555925546,10886,10886
1556012678,10916,10916
1556099767,11001,11001
1556186889,11071,11071
1556274043,11139,11139
1556361168,11172,11172
1556448259,11202,11202
1556535380,11251,11251
