DateTime,Entries,UniqueIPs
1581662649,1308,1308
1581664568,1329,1329
1581666488,1331,1331
1581668407,1326,1326
1581670344,1332,1332
1581672249,1342,1342
1581674172,1342,1342
1581676085,1338,1338
1581678009,789,789
1581679932,769,769
1581681851,1099,1099
1581683768,1105,1105
1581685697,1109,1109
1581687636,1113,1113
1581689529,1119,1119
1581691448,1122,1122
1581693374,1122,1122
1581695288,1121,1121
1581697204,1124,1124
1581699131,1126,1126
1581701049,1124,1124
1581702982,1126,1126
1581704888,1125,1125
1581706807,1115,1115
1581708744,1108,1108
1581710909,1103,1103
1581712809,1104,1104
1581714733,1113,1113
1581716661,1102,1102
1581718566,1094,1094
1581720726,1070,1070
1581722646,1052,1052
1581724581,1043,1043
1581726488,1316,1316
1581728416,1317,1317
1581730340,1325,1325
1581732514,1333,1333
1581734409,1343,1343
1581736350,1346,1346
1581738253,1350,1350
1581740173,1354,1354
1581742105,1367,1367
1581744008,1363,1363
1581745926,1373,1373
1581747860,1372,1372
1581749767,1361,1361
1581751934,1352,1352
1581753854,1352,1352
1581755782,1348,1348
1581757699,1349,1349
1581759860,1333,1333
1581761777,1331,1331
1581763711,1309,1309
1581765606,690,690
1581767531,689,689
1581769459,1041,1041
1581771370,1042,1042
1581773288,1025,1025
1581775226,1026,1026
1581777130,1029,1029
1581779307,1026,1026
1581781209,1021,1021
1581783149,1019,1019
1581785049,1014,1014
1581786972,988,988
1581788904,987,987
1581790810,978,978
1581792726,974,974
1581794664,954,954
1581796566,950,950
1581798489,945,945
1581800423,937,937
1581802336,938,938
1581804506,931,931
1581806408,925,925
1581808351,920,920
1581810253,912,912
1581812172,1222,1222
1581814105,1217,1217
1581816005,1194,1194
1581817926,1190,1190
1581819924,1224,1224
1581821766,1227,1227
1581823699,1230,1230
1581825613,1232,1232
1581827657,1229,1229
1581829461,1206,1206
1581831369,1200,1200
1581833319,1191,1191
1581835209,1186,1186
1581837391,1165,1165
1581839293,1170,1170
1581841225,1161,1161
1581843146,1162,1162
1581845051,1158,1158
1581846981,1151,1151
1581848887,1160,1160
1581850909,628,628
1581852751,624,624
1581854653,913,913
1581856571,910,910
1581858503,906,906
1581860413,904,904
1581862331,902,902
1581864266,905,905
1581866169,904,904
1581868095,896,896
1581870020,902,902
1581871930,899,899
1581873848,920,920
1581875782,925,925
1581877686,920,920
1581879615,923,923
1581881543,928,928
1581883713,932,932
1581885609,934,934
1581887535,940,940
1581889460,943,943
1581891371,939,939
1581893288,937,937
1581895221,925,925
1581897126,915,915
1581899052,1158,1158
1581900980,1163,1163
1581902891,1157,1157
1581904841,1150,1150
1581906747,1149,1149
1581908913,1148,1148
1581910810,1143,1143
1581912733,1135,1135
1581914665,1135,1135
1581916571,1139,1139
1581918490,1138,1138
1581920419,1138,1138
1581922326,1134,1134
1581924250,1133,1133
1581926181,1133,1133
1581928089,1129,1129
1581930012,1130,1130
1581931944,1130,1130
1581934108,1129,1129
1581936009,1137,1137
1581937932,663,663
1581939860,647,647
1581941777,924,924
1581943690,928,928
1581945618,925,925
1581947552,926,926
1581949447,927,927
1581951382,933,933
1581953287,927,927
1581955243,921,921
1581957131,909,909
1581959050,917,917
1581960988,922,922
1581962898,925,925
1581964808,921,921
1581966750,919,919
1581968648,917,917
1581970567,916,916
1581972508,913,913
1581974403,909,909
1581976348,907,907
1581978250,896,896
1581980185,893,893
1581982083,885,885
1581984253,1132,1132
1581986188,1138,1138
1581988099,1133,1133
1581990009,1136,1136
1581991959,1139,1139
1581993848,1140,1140
1581995768,1145,1145
1581997706,1142,1142
1581999606,1141,1141
1582001524,1158,1158
1582003466,1191,1191
1582005366,1214,1214
1582007286,1234,1234
1582009229,1247,1247
1582011128,1253,1253
1582013296,1257,1257
1582015210,1267,1267
1582017151,1274,1274
1582019047,1286,1286
1582020968,1279,1279
1582022907,1286,1286
1582024804,730,730
1582026724,752,752
1582028665,1004,1004
1582030565,1003,1003
1582032483,1013,1013
1582034429,1021,1021
1582036327,1023,1023
1582038502,1020,1020
1582040407,1017,1017
1582042342,1019,1019
1582044245,1022,1022
1582046169,1020,1020
1582048104,1018,1018
1582050005,1021,1021
1582051924,1021,1021
1582053862,1026,1026
1582055763,1031,1031
1582057684,1054,1054
1582059620,1055,1055
1582061530,1060,1060
1582063463,1057,1057
1582065366,1051,1051
1582067545,1042,1042
1582069451,1041,1041
1582071370,1237,1237
1582073304,1222,1222
1582075206,1217,1217
1582077125,1223,1223
1582079062,1230,1230
1582080967,1227,1227
1582082885,1226,1226
1582084830,1226,1226
1582086730,1224,1224
1582088897,1222,1222
1582090810,1226,1226
1582092748,1224,1224
1582094648,1222,1222
1582096572,1222,1222
1582098503,1217,1217
1582100407,1219,1219
1582102325,1223,1223
1582104251,1224,1224
1582106166,1226,1226
1582108102,1226,1226
1582110014,594,594
1582111953,590,590
1582113851,1000,1000
1582115768,1001,1001
1582117711,1011,1011
1582119611,1009,1009
1582121533,1025,1025
1582123462,1026,1026
1582125371,1017,1017
1582127288,1009,1009
1582129289,1000,1000
1582131129,990,990
1582133044,958,958
1582134979,929,929
1582136887,920,920
1582138812,909,909
1582140745,896,896
1582142909,891,891
1582144811,885,885
1582146980,874,874
1582149138,859,859
1582151046,854,854
1582152978,832,832
1582154884,825,825
1582156833,1202,1202
1582158730,1196,1196
1582160898,1202,1202
1582162810,1211,1211
1582164744,1208,1208
1582166646,1213,1213
1582168583,1206,1206
1582170490,1195,1195
1582172419,1193,1193
1582174326,1180,1180
1582176247,1152,1152
1582178178,1122,1122
1582180085,1106,1106
1582182007,1102,1102
1582183942,1089,1089
1582186108,1075,1075
1582188010,1066,1066
1582189932,1053,1053
1582191861,1037,1037
1582193777,1036,1036
1582195690,1023,1023
1582197625,549,549
1582199532,545,545
1582201451,764,764
1582203379,766,766
1582205287,761,761
1582207215,765,765
1582209142,763,763
1582211057,758,758
1582212970,764,764
1582214903,773,773
1582216809,789,789
1582218728,805,805
1582220659,808,808
1582222581,825,825
1582224488,835,835
1582226409,834,834
1582228325,840,840
1582230261,839,839
1582232164,855,855
1582234084,861,861
1582236020,857,857
1582237931,859,859
1582240095,849,849
1582242011,840,840
1582243942,1022,1022
1582245846,1027,1027
1582247769,1035,1035
1582249707,1042,1042
1582251605,1045,1045
1582253527,1035,1035
1582255459,1042,1042
1582257367,1051,1051
1582259296,1056,1056
1582261207,1069,1069
1582263133,1088,1088
1582265064,1099,1099
1582267215,1113,1113
1582269145,1123,1123
1582271051,1127,1127
1582272969,1142,1142
1582274904,1152,1152
1582276805,1151,1151
1582278727,1159,1159
1582280661,1161,1161
1582282577,1160,1160
1582284485,679,679
1582286407,699,699
1582288331,919,919
1582290497,921,921
1582292409,923,923
1582294344,925,925
1582296257,939,939
1582298166,948,948
1582300104,951,951
1582302006,939,939
1582303926,945,945
1582305859,946,946
1582307766,943,943
