DateTime,AddedIPs,RemovedIPs
1575234727,22,1
1575249368,21,0
1575264015,20,0
1575278667,10,1
1575293551,20,2
1575308424,21,0
1575323061,25,3
1575337948,10,0
1575352571,12,0
1575367228,10,0
1575382093,19,1
1575396975,15,1
1575411611,24,0
1575426247,18,6
1575440903,15,1
1575455530,13,6
1575470185,25,2
1575484826,19,1
1575499447,23,4
1575514105,19,0
1575528731,17,0
1575543368,11,1
1575558262,16,2
1575572893,10,9
1575587542,17,2
1575602180,17,3
1575616819,13,1
1575631467,23,4
1575646102,15,0
1575660755,17,2
1575675616,12,0
1575690251,6,1
1575704885,13,0
1575719528,22,2
1575734178,14,2
1575748812,8,0
1575763706,18,0
1575778335,37,0
1575793218,22,0
1575807847,18,2
1575822488,28,1
1575837142,26,1
1575851783,33,1
1575866406,21,1
1575881049,23,0
1575895941,21,1
1575910816,20,0
1575925694,18,2
1575940575,20,2
1575955206,16,0
1575969860,11,1
1575984541,10,1
1575999133,30,1
1576014008,17,1
1576028648,15,1
1576043301,15,0
1576057933,16,0
1576072589,18,1
1576087209,19,0
1576101849,16,0
1576116736,20,0
1576131618,13,0
1576146289,17,0
1576160888,22,1
1576175536,20,0
1576190182,14,3
1576204807,18,0
1576219450,26,0
1576234371,12,1
1576248970,18,0
1576263612,19,0
1576278275,15,0
1576293146,19,0
1576307765,14,0
1576322411,15,0
1576337050,16,0
1576351698,17,1
1576366334,27,1
1576380971,17,1
1576395607,19,0
1576410257,35,0
1576425127,17,2
1576439765,21,1
1576454514,17,1
1576469046,16,2
1576483703,15,2
1576498325,17,1
1576513222,19,0
1576527861,11,2
1576542487,20,1
1576557130,20,1
1576571765,22,1
1576586408,12,1
1576601050,23,0
1576615688,21,0
1576630327,17,0
1576644976,19,2
1576659608,15,0
1576674753,16,0
1576689384,13,1
1576704022,12,1
1576718659,9,3
1576733538,17,3
1576748170,9,2
1576762824,13,0
1576777463,15,1
1576792088,14,1
1576806742,17,1
1576821365,15,4
1576836020,9,1
1576850660,13,3
1576865312,18,2
1576880171,18,0
1576894804,10,2
1576909462,3,0
1576924085,12,2
1576938735,15,0
1576953380,21,0
1576968004,10,1
1576982661,25,1
1576997286,13,1
1577011926,11,0
1577026566,15,1
1577041214,12,3
1577055856,9,3
1577070508,10,0
1577085125,11,0
1577099772,14,0
1577114426,13,0
1577129051,6,2
1577143711,12,0
1577158334,10,1
1577172976,8,1
1577187612,13,0
1577202249,15,1
1577217133,15,0
1577231770,10,0
1577246427,9,4
1577261047,15,0
1577275699,6,1
1577290569,14,0
1577305205,9,1
1577319847,10,0
1577334737,27,1
1577349608,10,1
1577364253,2,1
1577378897,11,2
1577393540,15,0
1577408164,11,2
1577422817,11,0
1577437448,11,2
1577452343,16,2
1577466976,13,0
1577481610,9,0
1577496249,9,0
1577511132,13,0
1577525764,6,1
1577540407,6,2
1577555049,15,1
1577569937,16,0
1577584825,6,3
1577599691,17,0
1577614570,6,2
1577629454,12,1
1577644340,13,0
1577658965,10,0
1577673605,19,0
1577688259,11,1
1577703127,10,1
1577718021,13,2
1577732906,17,0
1577747529,21,1
1577762169,11,1
1577777059,14,1
1577791690,15,1
1577806352,15,1
1577820966,16,4
1577835847,7,0
1577850745,7,0
1577865366,11,1
1577880270,13,1
1577894896,29,0
1577909530,20,2
1577924166,16,0
1577938815,18,2
1577953459,18,0
1577968091,21,0
1577982731,15,1
1577997381,51,2
1578012020,18,0
1578026653,18,0
1578041298,17,1
1578055925,13,0
1578070815,17,0
1578085696,13,2
1578100572,15,0
1578115205,13,0
1578129858,11,1
1578144498,15,1
1578159131,17,0
1578173766,11,1
1578188406,15,1
1578203052,17,1
1578217710,19,1
1578232328,27,1
1578246968,18,0
1578261609,21,0
1578276250,13,0
1578290888,18,1
1578305783,15,0
1578320417,25,0
1578335050,10,3
1578349936,22,0
1578364579,26,0
1578379206,12,0
1578393849,21,0
1578408498,25,0
1578423132,17,1
1578437777,26,2
1578452409,15,1
1578467543,21,0
1578482164,9,3
1578496824,26,2
1578511458,21,0
1578526329,14,2
1578540978,16,0
1578555610,15,1
1578570251,11,1
1578584899,19,0
1578599529,12,1
1578614168,16,0
1578628823,14,0
1578643716,10,0
1578658345,18,0
1578673225,15,0
1578687859,16,0
1578702490,11,2
1578717143,14,1
1578731766,17,0
1578746405,16,1
1578761053,19,0
1578775698,12,0
1578790836,6,0
1578805459,8,0
