DateTime,AddedIPs,RemovedIPs
1581732004,314,1268
1581733805,307,1082
1581735607,346,666
1581737407,274,662
1581739207,242,224
1581741008,304,265
1581742806,183,77
1581744607,127,101
1581746407,301,132
1581748207,162,139
1581750008,155,70
1581751808,329,107
1581753608,196,149
1581755408,178,68
1581757209,218,72
1581759008,325,31
1581760808,231,42
1581762607,391,61
1581764408,481,47
1581766208,499,62
1581768008,408,56
1581769809,444,48
1581771607,346,30
1581773405,298,23
1581775205,205,37
1581777005,291,56
1581778805,268,55
1581780605,228,58
1581782404,392,108
1581784204,238,211
1581786004,254,206
1581787803,220,125
1581789604,181,112
1581791403,205,154
1581793204,288,129
1581795003,507,84
1581796803,215,254
1581798603,297,115
1581800404,306,188
1581802203,355,193
1581804004,324,141
1581805804,417,242
1581807604,403,384
1581809404,299,562
1581811204,432,1019
1581813004,495,806
1581814804,298,511
1581816605,365,399
1581818404,281,267
1581820205,323,519
1581822005,273,361
1581823805,238,378
1581825605,194,765
1581827405,240,507
1581829205,196,369
1581831005,240,307
1581832805,193,487
1581834604,267,295
1581836405,214,161
1581838206,187,451
1581840005,322,432
1581841805,206,355
1581843605,210,395
1581845405,160,516
1581847205,293,521
1581849005,242,566
1581850804,351,274
1581852605,431,126
1581854405,296,106
1581856205,317,271
1581858004,345,102
1581859804,329,122
1581861604,263,163
1581863405,3331,438
1581865204,412,112
1581867004,401,106
1581868804,359,196
1581870605,343,86
1581872404,286,67
1581874205,360,111
1581876004,304,127
1581877804,323,133
1581879604,375,213
1581881404,370,206
1581883204,519,155
1581885004,473,706
1581886804,284,168
1581888603,273,225
1581890404,474,220
1581892204,512,324
1581894003,321,698
1581895804,476,497
1581897604,441,647
1581899403,366,446
1581901203,407,2310
1581903004,269,601
1581904804,247,218
1581906604,404,361
1581908404,240,162
1581910204,233,192
1581912004,228,565
1581913804,178,280
1581915604,296,260
1581917404,238,205
1581919204,208,226
1581921004,166,140
1581922804,181,216
1581924604,418,207
1581926404,165,394
1581928204,200,385
1581930003,335,320
1581931804,305,261
1581933603,358,279
1581935403,500,378
1581937204,273,401
1581939003,387,328
1581940804,220,362
1581942603,401,304
1581944403,307,337
1581946203,378,283
1581948004,219,192
1581949804,322,290
1581951603,422,240
1581953403,217,149
1581955204,293,197
1581957004,188,158
1581958804,395,236
1581960604,315,192
1581962404,228,322
1581964204,448,292
1581966004,257,587
1581967804,194,493
1581969604,288,374
1581971404,529,730
1581973203,875,1389
1581975005,891,1265
1581976805,900,649
1581978605,766,597
1581980404,767,684
1581982204,925,452
1581984006,896,618
1581985805,741,818
1581987605,723,472
1581989407,903,1051
1581991206,549,945
1581993007,606,675
1581994807,510,1679
1581996606,524,1847
1581998408,583,1069
1582000207,526,736
1582002008,449,853
1582003808,387,492
1582005608,434,230
1582007407,370,237
1582009208,419,436
1582011009,432,454
1582012808,456,216
1582014608,466,519
1582016408,484,415
1582018209,529,306
1582020010,601,568
1582021808,486,291
1582023608,525,253
1582025409,507,340
1582027208,450,160
1582029008,376,242
1582030808,422,348
1582032608,370,86
1582034409,559,148
1582036207,394,418
1582038007,491,298
1582039807,406,620
1582041607,424,475
1582043407,419,640
1582045207,467,598
1582047008,346,354
1582048808,569,400
1582050608,409,375
1582052407,416,1231
1582054207,422,671
1582056007,472,489
1582057806,392,596
1582059607,425,596
1582061406,422,177
1582063207,367,232
1582065007,419,277
1582066807,407,312
1582068607,543,900
1582070408,344,758
1582072208,363,648
1582074008,445,228
1582075806,400,257
1582077607,371,141
1582079409,424,347
1582081207,381,190
1582083006,355,315
1582084807,366,222
1582086607,393,199
1582088407,460,255
1582090207,276,120
1582092006,361,250
1582093806,340,89
1582095605,396,304
1582097405,454,425
1582099205,377,264
1582101005,430,293
1582102805,396,334
1582104605,449,134
1582106404,767,318
1582108205,469,207
1582110004,718,194
1582111805,445,101
1582113605,422,61
1582115404,434,170
1582117204,613,78
1582119005,395,105
1582120804,532,366
1582122604,484,417
1582124404,379,476
1582126203,399,285
1582128004,342,343
1582129804,504,841
1582131604,302,486
1582133404,386,230
1582135204,515,343
1582137004,347,262
1582138804,309,570
1582140604,323,765
1582142404,332,97
1582144204,468,228
1582146004,502,602
1582147805,565,583
1582149605,1173,633
1582151404,925,1239
1582153204,814,661
1582155004,614,1053
1582156805,814,1035
1582158605,766,987
1582160405,706,558
1582162204,627,407
1582164004,629,478
1582165805,550,658
1582167604,531,342
1582169405,428,255
1582171205,462,431
1582173005,402,470
1582174805,420,2005
1582176605,378,460
1582178405,554,491
1582180204,362,245
1582182005,381,460
1582183805,466,576
1582185605,590,749
1582187405,664,942
1582189205,523,846
1582191005,542,858
1582192805,400,499
1582194606,775,369
1582196405,821,667
1582198205,743,610
1582200005,859,463
1582201805,749,459
1582203606,771,635
1582205405,611,347
1582207205,326,481
1582209005,393,509
1582210804,394,276
1582212605,561,765
1582214407,541,1211
1582216207,489,796
1582218007,565,605
1582219807,458,761
1582221607,546,802
1582223406,525,614
1582225207,633,332
1582227008,485,383
1582228806,465,969
1582230608,555,1075
1582232407,501,671
1582234206,587,223
1582236009,497,276
1582237806,631,341
1582239607,525,316
1582241407,1628,969
1582243207,792,719
1582245007,692,1179
1582246807,483,578
1582248607,621,473
1582250407,551,483
1582252207,457,253
1582254008,478,182
1582255808,588,349
1582257607,552,864
1582259407,493,459
1582261206,420,436
1582263007,447,805
1582264807,443,1132
1582266607,603,1060
1582268406,451,508
1582270207,555,319
1582272007,471,417
1582273808,499,391
1582275607,482,429
1582277406,648,557
1582279207,625,721
1582281007,762,733
1582282808,631,602
1582284607,558,325
1582286406,676,311
1582288206,554,260
1582290005,677,324
1582291805,598,225
1582293605,618,298
1582295406,636,242
1582297206,603,214
1582299005,599,784
1582300805,670,860
1582302605,566,320
1582304405,564,298
1582306205,639,481
1582308005,653,666
1582309805,567,604
1582311605,745,371
1582313404,630,303
1582315205,562,512
1582317006,683,597
1582318804,553,498
1582320605,2629,1676
1582322405,1239,1069
1582324207,795,1237
1582326005,1166,445
1582327806,1029,908
1582329606,777,988
1582331405,796,715
1582333204,712,531
1582335005,747,1259
1582336806,637,1539
1582338606,628,1568
1582340407,631,2403
1582342209,642,2874
1582344008,632,1617
1582345809,741,1046
1582347608,582,1916
1582349408,659,581
1582351210,631,657
1582353009,631,181
1582354810,551,291
1582356612,1011,1088
1582358410,788,665
1582360210,725,260
1582362010,631,840
1582363811,952,978
1582365610,1232,1357
1582367411,1008,542
1582369210,1400,336
1582371011,1118,967
1582372812,750,333
1582374611,568,319
1582376412,654,392
1582378213,742,411
1582380010,673,229
1582381810,593,368
1582383610,537,380
1582385411,578,684
1582387211,575,902
1582389011,630,1037
1582390810,626,570
1582392609,555,471
1582394409,753,695
1582396209,590,923
1582398011,548,995
1582399810,758,907
1582401610,643,870
1582403409,511,400
1582405208,531,332
1582407009,509,418
1582408808,898,809
1582410607,1100,577
1582412408,728,324
1582414208,607,304
1582416020,616,421
1582417808,587,284
1582419607,635,340
1582421408,764,278
1582423208,718,1186
1582425008,532,1513
1582426809,511,1147
1582428608,474,653
1582430408,493,994
1582432207,561,1104
1582434008,584,679
1582435808,415,592
1582437607,399,534
1582439407,459,417
1582441208,407,606
1582443007,690,203
1582444807,631,82
1582446606,658,64
1582448405,814,141
1582450206,852,231
1582452005,844,210
1582453805,713,99
1582455605,732,63
1582457405,798,172
1582459206,819,111
1582461005,713,28
1582462805,724,57
1582464605,742,71
1582466405,1093,211
1582468205,680,370
1582470004,1052,293
1582471804,871,258
1582473604,676,342
1582475405,1031,394
1582477204,568,574
1582479004,621,336
1582480804,932,372
1582482604,656,375
1582484404,620,440
1582486204,794,446
1582488005,1025,611
1582489805,881,391
1582491604,652,748
1582493405,664,664
1582495204,1065,725
1582497005,777,2242
1582498805,686,4188
1582500605,682,2685
1582502404,1535,2481
1582504205,739,1410
1582506005,644,971
1582507805,733,743
1582509605,577,2212
1582511405,731,1995
1582513207,491,1300
1582515006,781,655
1582516807,866,346
1582518608,929,973
1582520407,969,1835
1582522207,1492,1326
1582524007,715,888
1582525807,699,623
1582527608,576,458
1582529407,852,373
1582531207,774,1008
1582533008,1125,785
1582534807,1289,679
1582536608,1032,2076
1582538410,1084,1412
1582540210,1553,2989
1582542008,1620,2739
1582543810,1087,1656
1582545610,1275,1785
1582547411,1190,873
1582549210,1374,1489
1582551010,1005,110
1582552810,1283,374
1582554612,1259,517
1582556411,1253,223
1582558211,1371,1493
1582560010,1037,287
1582561811,964,372
1582563612,721,1347
1582565411,907,1300
1582567211,1029,2192
1582569011,1397,799
1582570811,1087,542
1582572611,894,1230
1582574412,802,1328
1582576211,762,1336
1582578012,1134,841
1582579811,963,541
1582581612,806,934
1582583412,1009,1208
1582585211,616,725
1582587011,924,400
1582588811,669,324
1582590609,942,443
1582592409,811,183
1582594209,1044,121
1582596008,844,218
1582597810,831,239
1582599611,917,250
1582601410,827,392
1582603208,900,457
1582605009,841,509
1582606808,1596,639
1582608608,1155,746
1582610409,1186,783
1582612207,808,203
1582614007,948,211
1582615808,1279,601
1582617608,1234,545
1582619406,1168,646
1582621206,983,440
1582623005,934,1691
1582624807,1144,3956
1582626607,1246,2425
1582628407,1026,1614
1582630207,853,1400
