DateTime,Entries,UniqueIPs
1581732004,3443,3443
1581733805,2668,2668
1581735607,2348,2348
1581737407,1960,1960
1581739207,1978,1978
1581741008,2017,2017
1581742806,2123,2123
1581744607,2149,2149
1581746407,2318,2318
1581748207,2341,2341
1581750008,2426,2426
1581751808,2648,2648
1581753608,2695,2695
1581755408,2805,2805
1581757209,2951,2951
1581759008,3245,3245
1581760808,3434,3434
1581762607,3764,3764
1581764408,4198,4198
1581766208,4635,4635
1581768008,4987,4987
1581769809,5383,5383
1581771607,5699,5699
1581773405,5974,5974
1581775205,6142,6142
1581777005,6377,6377
1581778805,6590,6590
1581780605,6760,6760
1581782404,7044,7044
1581784204,7071,7071
1581786004,7119,7119
1581787803,7214,7214
1581789604,7283,7283
1581791403,7334,7334
1581793204,7493,7493
1581795003,7916,7916
1581796803,7877,7877
1581798603,8059,8059
1581800404,8177,8177
1581802203,8339,8339
1581804004,8522,8522
1581805804,8697,8697
1581807604,8716,8716
1581809404,8453,8453
1581811204,7866,7866
1581813004,7555,7555
1581814804,7342,7342
1581816605,7308,7308
1581818404,7322,7322
1581820205,7126,7126
1581822005,7038,7038
1581823805,6898,6898
1581825605,6327,6327
1581827405,6060,6060
1581829205,5887,5887
1581831005,5820,5820
1581832805,5526,5526
1581834604,5498,5498
1581836405,5551,5551
1581838206,5287,5287
1581840005,5177,5177
1581841805,5028,5028
1581843605,4843,4843
1581845405,4487,4487
1581847205,4259,4259
1581849005,3935,3935
1581850804,4012,4012
1581852605,4317,4317
1581854405,4507,4507
1581856205,4553,4553
1581858004,4796,4796
1581859804,5003,5003
1581861604,5103,5103
1581863405,7996,7996
1581865204,8296,8296
1581867004,8591,8591
1581868804,8754,8754
1581870605,9011,9011
1581872404,9230,9230
1581874205,9479,9479
1581876004,9656,9656
1581877804,9846,9846
1581879604,10008,10008
1581881404,10172,10172
1581883204,10536,10536
1581885004,10303,10303
1581886804,10419,10419
1581888603,10467,10467
1581890404,10721,10721
1581892204,10909,10909
1581894003,10532,10532
1581895804,10511,10511
1581897604,10305,10305
1581899403,10225,10225
1581901203,8322,8322
1581903004,7990,7990
1581904804,8019,8019
1581906604,8062,8062
1581908404,8140,8140
1581910204,8181,8181
1581912004,7844,7844
1581913804,7742,7742
1581915604,7778,7778
1581917404,7811,7811
1581919204,7793,7793
1581921004,7819,7819
1581922804,7784,7784
1581924604,7995,7995
1581926404,7766,7766
1581928204,7581,7581
1581930003,7596,7596
1581931804,7640,7640
1581933603,7719,7719
1581935403,7841,7841
1581937204,7713,7713
1581939003,7772,7772
1581940804,7630,7630
1581942603,7727,7727
1581944403,7697,7697
1581946203,7792,7792
1581948004,7819,7819
1581949804,7851,7851
1581951603,8033,8033
1581953403,8101,8101
1581955204,8197,8197
1581957004,8227,8227
1581958804,8386,8386
1581960604,8509,8509
1581962404,8415,8415
1581964204,8571,8571
1581966004,8241,8241
1581967804,7942,7942
1581969604,7856,7856
1581971404,7655,7655
1581973203,7141,7141
1581975005,6767,6767
1581976805,7018,7018
1581978605,7187,7187
1581980404,7270,7270
1581982204,7743,7743
1581984006,8021,8021
1581985805,7944,7944
1581987605,8195,8195
1581989407,8047,8047
1581991206,7651,7651
1581993007,7582,7582
1581994807,6413,6413
1581996606,5090,5090
1581998408,4604,4604
1582000207,4394,4394
1582002008,3990,3990
1582003808,3885,3885
1582005608,4089,4089
1582007407,4222,4222
1582009208,4205,4205
1582011009,4183,4183
1582012808,4423,4423
1582014608,4370,4370
1582016408,4439,4439
1582018209,4662,4662
1582020010,4695,4695
1582021808,4890,4890
1582023608,5162,5162
1582025409,5329,5329
1582027208,5619,5619
1582029008,5753,5753
1582030808,5827,5827
1582032608,6111,6111
1582034409,6522,6522
1582036207,6498,6498
1582038007,6691,6691
1582039807,6477,6477
1582041607,6426,6426
1582043407,6205,6205
1582045207,6074,6074
1582047008,6066,6066
1582048808,6235,6235
1582050608,6269,6269
1582052407,5454,5454
1582054207,5205,5205
1582056007,5188,5188
1582057806,4984,4984
1582059607,4813,4813
1582061406,5058,5058
1582063207,5193,5193
1582065007,5335,5335
1582066807,5430,5430
1582068607,5073,5073
1582070408,4659,4659
1582072208,4374,4374
1582074008,4591,4591
1582075806,4734,4734
1582077607,4964,4964
1582079409,5041,5041
1582081207,5232,5232
1582083006,5272,5272
1582084807,5416,5416
1582086607,5610,5610
1582088407,5815,5815
1582090207,5971,5971
1582092006,6082,6082
1582093806,6333,6333
1582095605,6425,6425
1582097405,6454,6454
1582099205,6567,6567
1582101005,6704,6704
1582102805,6766,6766
1582104605,7081,7081
1582106404,7530,7530
1582108205,7792,7792
1582110004,8316,8316
1582111805,8660,8660
1582113605,9021,9021
1582115404,9285,9285
1582117204,9820,9820
1582119005,10110,10110
1582120804,10276,10276
1582122604,10343,10343
1582124404,10246,10246
1582126203,10360,10360
1582128004,10359,10359
1582129804,10022,10022
1582131604,9838,9838
1582133404,9994,9994
1582135204,10166,10166
1582137004,10251,10251
1582138804,9990,9990
1582140604,9548,9548
1582142404,9783,9783
1582144204,10023,10023
1582146004,9923,9923
1582147805,9905,9905
1582149605,10445,10445
1582151404,10131,10131
1582153204,10284,10284
1582155004,9845,9845
1582156805,9624,9624
1582158605,9403,9403
1582160405,9551,9551
1582162204,9771,9771
1582164004,9922,9922
1582165805,9814,9814
1582167604,10003,10003
1582169405,10176,10176
1582171205,10207,10207
1582173005,10139,10139
1582174805,8554,8554
1582176605,8472,8472
1582178405,8535,8535
1582180204,8652,8652
1582182005,8573,8573
1582183805,8463,8463
1582185605,8304,8304
1582187405,8026,8026
1582189205,7703,7703
1582191005,7387,7387
1582192805,7288,7288
1582194606,7694,7694
1582196405,7848,7848
1582198205,7981,7981
1582200005,8377,8377
1582201805,8667,8667
1582203606,8803,8803
1582205405,9067,9067
1582207205,8912,8912
1582209005,8796,8796
1582210804,8914,8914
1582212605,8710,8710
1582214407,8040,8040
1582216207,7733,7733
1582218007,7693,7693
1582219807,7390,7390
1582221607,7134,7134
1582223406,7045,7045
1582225207,7346,7346
1582227008,7448,7448
1582228806,6944,6944
1582230608,6424,6424
1582232407,6254,6254
1582234206,6618,6618
1582236009,6839,6839
1582237806,7129,7129
1582239607,7338,7338
1582241407,7997,7997
1582243207,8070,8070
1582245007,7583,7583
1582246807,7488,7488
1582248607,7636,7636
1582250407,7704,7704
1582252207,7908,7908
1582254008,8204,8204
1582255808,8443,8443
1582257607,8131,8131
1582259407,8165,8165
1582261206,8149,8149
1582263007,7791,7791
1582264807,7102,7102
1582266607,6645,6645
1582268406,6588,6588
1582270207,6824,6824
1582272007,6878,6878
1582273808,6986,6986
1582275607,7039,7039
1582277406,7130,7130
1582279207,7034,7034
1582281007,7063,7063
1582282808,7092,7092
1582284607,7325,7325
1582286406,7690,7690
1582288206,7984,7984
1582290005,8337,8337
1582291805,8710,8710
1582293605,9030,9030
1582295406,9424,9424
1582297206,9813,9813
1582299005,9628,9628
1582300805,9438,9438
1582302605,9684,9684
1582304405,9950,9950
1582306205,10108,10108
1582308005,10095,10095
1582309805,10058,10058
1582311605,10432,10432
1582313404,10759,10759
1582315205,10809,10809
1582317006,10895,10895
1582318804,10950,10950
1582320605,11903,11903
1582322405,12073,12073
1582324207,11631,11631
1582326005,12352,12352
1582327806,12473,12473
1582329606,12262,12262
1582331405,12343,12343
1582333204,12524,12524
1582335005,12012,12012
1582336806,11110,11110
1582338606,10170,10170
1582340407,8398,8398
1582342209,6166,6166
1582344008,5181,5181
1582345809,4876,4876
1582347608,3542,3542
1582349408,3620,3620
1582351210,3594,3594
1582353009,4044,4044
1582354810,4304,4304
1582356612,4227,4227
1582358410,4350,4350
1582360210,4815,4815
1582362010,4606,4606
1582363811,4580,4580
1582365610,4455,4455
1582367411,4921,4921
1582369210,5985,5985
1582371011,6136,6136
1582372812,6553,6553
1582374611,6802,6802
1582376412,7064,7064
1582378213,7395,7395
1582380010,7839,7839
1582381810,8064,8064
1582383610,8221,8221
1582385411,8115,8115
1582387211,7788,7788
1582389011,7381,7381
1582390810,7437,7437
1582392609,7521,7521
1582394409,7579,7579
1582396209,7246,7246
1582398011,6799,6799
1582399810,6650,6650
1582401610,6423,6423
1582403409,6534,6534
1582405208,6733,6733
1582407009,6824,6824
1582408808,6913,6913
1582410607,7436,7436
1582412408,7840,7840
1582414208,8143,8143
1582416020,8338,8338
1582417808,8641,8641
1582419607,8936,8936
1582421408,9422,9422
1582423208,8954,8954
1582425008,7973,7973
1582426809,7337,7337
1582428608,7158,7158
1582430408,6657,6657
1582432207,6114,6114
1582434008,6019,6019
1582435808,5842,5842
1582437607,5707,5707
1582439407,5749,5749
1582441208,5550,5550
1582443007,6037,6037
1582444807,6586,6586
1582446606,7180,7180
1582448405,7853,7853
1582450206,8474,8474
1582452005,9108,9108
1582453805,9722,9722
1582455605,10391,10391
1582457405,11017,11017
1582459206,11725,11725
1582461005,12410,12410
1582462805,13077,13077
1582464605,13748,13748
1582466405,14630,14630
1582468205,14940,14940
1582470004,15699,15699
1582471804,16312,16312
1582473604,16646,16646
1582475405,17283,17283
1582477204,17277,17277
1582479004,17562,17562
1582480804,18122,18122
1582482604,18403,18403
1582484404,18583,18583
1582486204,18931,18931
1582488005,19345,19345
1582489805,19835,19835
1582491604,19739,19739
1582493405,19739,19739
1582495204,20079,20079
1582497005,18614,18614
1582498805,15112,15112
1582500605,13109,13109
1582502404,12163,12163
1582504205,11492,11492
1582506005,11165,11165
1582507805,11155,11155
1582509605,9520,9520
1582511405,8256,8256
1582513207,7447,7447
1582515006,7573,7573
1582516807,8093,8093
1582518608,8049,8049
1582520407,7183,7183
1582522207,7349,7349
1582524007,7176,7176
1582525807,7252,7252
1582527608,7370,7370
1582529407,7849,7849
1582531207,7615,7615
1582533008,7955,7955
1582534807,8565,8565
1582536608,7521,7521
1582538410,7193,7193
1582540210,5757,5757
1582542008,4638,4638
1582543810,4069,4069
1582545610,3559,3559
1582547411,3876,3876
1582549210,3761,3761
1582551010,4656,4656
1582552810,5565,5565
1582554612,6307,6307
1582556411,7337,7337
1582558211,7215,7215
1582560010,7965,7965
1582561811,8557,8557
1582563612,7931,7931
1582565411,7538,7538
1582567211,6375,6375
1582569011,6973,6973
1582570811,7518,7518
1582572611,7182,7182
1582574412,6656,6656
1582576211,6082,6082
1582578012,6375,6375
1582579811,6797,6797
1582581612,6669,6669
1582583412,6470,6470
1582585211,6361,6361
1582587011,6885,6885
1582588811,7230,7230
1582590609,7729,7729
1582592409,8357,8357
1582594209,9280,9280
1582596008,9906,9906
1582597810,10498,10498
1582599611,11165,11165
1582601410,11600,11600
1582603208,12043,12043
1582605009,12375,12375
1582606808,13332,13332
1582608608,13741,13741
1582610409,14144,14144
1582612207,14749,14749
1582614007,15486,15486
1582615808,16164,16164
1582617608,16853,16853
1582619406,17375,17375
1582621206,17918,17918
1582623005,17161,17161
1582624807,14349,14349
1582626607,13170,13170
1582628407,12582,12582
1582630207,12035,12035
