DateTime,Entries,UniqueIPs
1539738734,50,50
1539823932,77,77
1539909848,77,77
1539995536,70,71
1540084330,47,50
1540169052,73,76
1540257608,49,50
1540342828,75,76
1540429209,77,80
1540514408,71,74
1540600327,75,78
1540689615,47,50
1540774821,72,75
1540860972,72,76
1540946888,69,72
1541032808,75,78
1541118733,76,76
1541205133,72,75
1541294166,49,50
1541380097,79,80
1541465049,73,76
1541551345,74,77
1541640489,50,50
1541725690,80,83
1541810888,71,74
1541896809,77,80
1541986807,49,50
1542071529,77,78
1542156730,81,81
1542243129,77,80
1542329769,48,50
1542418575,49,50
1542503527,70,72
1542588491,72,73
1542678009,49,50
1542762976,76,77
1542849851,49,50
1542935767,75,77
1543021215,73,77
1543110249,49,50
1543194731,75,76
1543280651,78,79
1543369930,46,50
1543456580,49,50
1543541765,76,78
1543627450,72,73
1543712176,77,77
1543800968,50,50
1543886649,74,77
1543972813,70,73
1544059933,50,50
1544146089,72,72
1544231050,73,73
1544320818,50,50
1544406729,71,71
1544492651,77,77
1544576883,77,77
1544663532,50,50
1544750407,50,50
1544836571,79,79
1544922978,50,50
1545011764,50,50
1545097931,54,54
1545183135,58,58
1545268810,84,84
1545354255,73,75
1545443766,48,50
1545528968,74,76
1545615133,75,75
1545700809,80,80
1545787214,50,50
1545876257,50,50
1545961689,77,77
1546047132,79,79
1546132570,74,74
1546221856,50,50
1546307055,70,70
1546322416,50,50
1546392249,69,69
1546477696,79,79
1546566487,45,50
1546652891,47,50
1546738326,74,78
1546824251,72,73
1546909930,76,77
1546975935,50,50
1546999214,78,78
1547083932,79,79
1547171048,50,50
1547257930,48,50
1547345049,48,50
1547431691,50,50
1547517371,71,71
1547604059,50,50
1547690172,76,76
1547776572,73,73
1547863217,49,50
1547948651,72,73
1548034564,69,70
1548120490,72,73
1548205933,80,81
1548293049,48,50
1548379206,69,72
1548465614,50,50
1548554419,50,50
1548640333,78,78
1548725528,72,72
1548811691,78,78
1548900967,50,50
1548986648,73,73
1549072823,73,73
1549158728,64,64
1549244409,61,61
1549329853,70,70
1549416251,77,77
1549505766,50,50
1549590731,70,71
1549675693,80,81
1549764258,50,50
1549848731,77,77
1549937526,50,50
1550022489,75,75
1550111288,49,50
1550196252,74,75
1550280969,74,76
1550370489,48,50
1550454965,66,69
1550543289,49,50
1550628247,76,79
1550713926,73,78
1550800328,46,50
1550885298,72,76
1550973851,48,50
1551058806,73,76
1551144728,75,77
1551234264,49,50
1551319452,79,81
1551405366,77,81
1551490564,78,80
1551577452,50,50
1551666733,49,50
1551752650,75,78
1551837370,75,78
1551922566,77,79
1552010888,47,50
1552095850,80,83
1552184419,50,50
1552269129,79,79
1552357688,50,50
1552442165,79,80
1552531230,50,50
1552616164,73,76
1552702093,70,73
1552787289,80,80
1552876086,49,50
1552962488,50,50
1553047215,80,80
1553135765,50,50
