DateTime,AddedIPs,RemovedIPs
1539564492,12,15
1539649937,17,0
1539738734,20,34
1539823932,21,17
1539909848,20,0
1539995536,18,46
1540084330,17,16
1540169052,16,0
1540257608,14,30
1540342828,10,0
1540429209,23,40
1540514408,16,0
1540600327,19,14
1540689615,16,33
1540774821,17,18
1540860972,16,0
1540946888,13,19
1541032808,22,15
1541118733,21,18
1541205133,13,35
1541294166,18,0
1541380097,19,29
1541465049,14,0
1541551345,24,14
1541640489,21,37
1541725690,21,19
1541810888,18,14
1541896809,27,0
1541986807,17,42
1542071529,21,17
1542156730,26,23
1542243129,21,0
1542329769,23,25
1542418575,21,37
1542503527,16,29
1542588491,17,0
1542678009,15,45
1542762976,19,23
1542849851,16,23
1542935767,19,18
1543021215,17,0
1543110249,17,34
1543194731,20,17
1543280651,21,0
1543369930,15,29
1543456580,15,18
1543541765,23,18
1543627450,15,15
1543712176,26,0
1543800968,16,41
1543886649,16,23
1543972813,17,0
1544059933,18,14
1544146089,19,21
1544231050,18,21
1544320818,21,35
1544406729,15,20
1544492651,23,18
1544576883,22,0
1544663532,18,20
1544750407,19,14
1544836571,26,39
1544922978,4,0
1545011764,3,41
1545097931,3,22
1545183135,7,24
1545268810,24,18
1545354255,21,0
1545443766,19,27
1545528968,21,2
1545615133,18,0
1545700809,20,3
1545787214,21,7
1545876257,17,47
1545961689,21,12
1546047132,19,0
1546132570,18,16
1546221856,18,36
1546307055,15,21
1546392249,16,21
1546477696,26,0
1546566487,28,20
1546652891,17,43
1546738326,20,20
1546824251,17,0
1546909930,23,18
1546975935,0,16
1546999214,21,23
1547083932,21,25
1547171048,21,0
1547257930,22,40
1547345049,17,18
1547431691,17,19
1547517371,17,0
1547604059,17,43
1547690172,22,21
1547776572,16,24
1547863217,16,20
1547948651,15,0
1548034564,16,14
1548120490,11,14
1548205933,26,20
1548293049,22,16
1548379206,11,18
1548465614,29,15
1548554419,16,27
1548640333,25,18
1548725528,16,17
1548811691,20,27
1548900967,15,19
1548986648,18,22
1549072823,15,20
1549158728,9,0
1549244409,11,20
1549329853,11,16
1549416251,21,20
1549505766,11,19
1549590731,12,19
1549675693,23,16
1549764258,19,13
1549848731,17,0
1549937526,15,35
1550022489,20,10
1550111288,23,11
1550196252,17,21
1550280969,22,22
1550370489,12,19
1550454965,16,22
1550543289,23,19
1550628247,16,20
1550713926,19,0
1550800328,18,19
1550885298,12,16
1550973851,15,14
1551058806,16,11
1551144728,17,16
1551234264,18,35
1551319452,22,17
1551405366,18,20
1551490564,19,13
1551577452,12,0
1551666733,17,25
1551752650,17,21
1551837370,20,0
1551922566,21,19
1552010888,25,45
1552095850,19,17
1552184419,20,16
1552269129,16,0
1552357688,14,36
1552442165,18,0
1552531230,15,38
1552616164,19,18
1552702093,15,18
1552787289,21,0
1552876086,12,43
1552962488,16,14
1553047215,19,20
1553135765,22,0
1553220970,18,29
1553306425,8,0
1553395210,3,31
1553479688,7,0
1553568247,0,40
1553652974,21,20
1553820004,26,24
1553827693,15,10
1553912405,17,3
1554000729,10,7
1554086406,14,1
1554171610,14,0
1554257293,26,18
1554345622,18,18
1554430803,15,22
1554516495,21,10
1554604806,12,11
1554689289,22,15
1554778087,25,32
1554862804,17,22
1554949208,20,0
1555035368,22,21
1555123447,16,28
1555207928,12,0
1555296487,16,45
1555381688,18,0
1555467851,17,40
1555556648,18,19
1555642094,21,23
1555726570,24,0
1555812736,1,28
1555901285,4,0
1555986485,20,20
1556071699,17,14
1556160730,17,21
1556247132,15,39
1556331612,9,3
1556419930,11,4
1556504406,20,0
1556590567,24,27
1556676253,24,19
1556766248,18,34
1556851691,9,0
1556936164,19,11
1557024490,10,11
1557109451,12,39
1557198019,22,24
1557282488,30,15
1557367454,28,0
1557455764,21,13
1557540255,18,19
1557627136,16,11
1557716425,12,30
1557800890,25,0
1557885846,22,23
1557974166,25,54
1558058660,23,0
1558148134,29,38
1558232883,16,17
1558321693,18,22
1558406651,25,18
1558491611,24,26
1558577048,24,0
1558665604,24,38
1558750571,25,0
1558838897,11,36
1558923606,16,0
1559011447,17,25
1559096409,19,26
1559185460,10,43
1559271632,27,26
1559356329,17,17
1559444894,13,11
1559529607,12,21
1559614812,21,0
1559703615,12,33
1559788806,16,0
1559873286,18,21
1559961853,18,33
1560047050,17,0
1560135850,15,34
1560220324,18,12
1560306023,21,0
1560394574,18,33
1560479777,16,17
1560564969,21,0
1560653533,19,32
1560738246,15,0
1560826814,20,35
1560912253,16,21
1560996970,16,0
1561085525,20,40
1561170495,14,22
1561259292,18,19
1561343768,12,20
1561432092,25,14
1561516811,29,0
1561605129,9,41
1561690090,3,0
1561775290,24,14
1561864088,16,15
1561948569,14,35
1562034251,20,0
1562123046,8,34
1562209468,21,0
1562296089,12,35
1562381288,23,18
1562466250,11,0
1562554832,15,30
1562639528,19,9
1562728577,15,24
1562814029,25,0
1562898729,18,14
1562987529,21,26
1563072251,13,16
1563160567,20,21
1563246494,20,12
1563331207,13,0
1563419767,15,43
1563504249,25,22
1563593050,23,10
1563678248,18,18
1563762965,17,0
1563851770,21,35
1563936733,20,20
1564022652,21,0
1564111451,19,38
1564196650,12,0
1564281370,14,21
1564370408,23,32
1564455375,26,0
1564543459,18,43
1564628648,14,23
1564713848,22,0
1564802648,14,30
1564888329,11,17
1564973046,15,0
1565062562,21,51
1565147288,20,0
1565232007,19,13
1565321047,19,33
1565406014,18,0
1565494808,8,25
1565580010,8,22
1565664742,15,0
1565753300,8,43
1565838506,9,22
1565923935,12,0
1566012734,12,27
1566097446,4,0
1566183133,6,12
1566272409,6,19
1566358805,11,10
1566444008,19,9
1566530186,19,11
1566615849,10,0
1566701052,8,8
1566790567,18,12
1566875528,17,0
1566960966,22,9
1567049765,19,38
1567136405,25,12
1567222813,18,6
1567308015,22,18
1567393930,16,0
1567482488,19,39
1567567930,18,22
1567653851,21,0
1567738812,15,17
1567825224,21,18
1567914491,15,35
1567999931,11,16
1568086089,15,0
1568171535,22,22
1568260328,25,38
1568346488,13,18
1568430029,15,18
1568516426,10,0
1568606183,11,31
1568692567,18,18
1568777767,18,20
1568862743,17,0
1568948164,18,16
1569037926,15,27
1569123610,20,10
1569208812,16,0
1569295932,14,14
1569382088,17,17
1569468010,14,36
1569553209,19,21
1569642971,12,13
1569728655,16,18
1569813620,14,16
1569898810,21,0
1569988327,12,36
1570074246,13,17
1570160287,15,14
1570245370,13,0
1570334231,18,34
1570419848,13,21
1570505530,19,14
1570591574,24,0
1570677254,21,12
1570766650,18,29
1570851605,17,13
