DateTime,AddedIPs,RemovedIPs
1539475455,46,35
1539560655,39,0
1539649938,39,61
1539734896,38,32
1539820092,34,0
1539906016,33,33
1539995537,43,70
1540080490,41,0
1540165207,27,39
1540253768,36,74
1540338982,38,0
1540425368,37,79
1540510575,40,0
1540600328,39,69
1540685776,42,39
1540770970,36,0
1540856897,37,81
1540943050,44,40
1541028977,46,0
1541118734,45,65
1541205134,45,42
1541290331,43,0
1541376020,45,43
1541461207,40,80
1541551346,40,41
1541636650,42,39
1541721854,41,41
1541807049,43,0
1541896810,42,84
1541982793,42,41
1542067692,42,45
1542152890,44,41
1542239306,43,0
1542325928,42,32
1542414737,48,79
1542499684,42,39
1542584651,43,0
1542674184,42,72
1542759130,46,36
1542846025,45,33
1542931933,44,37
1543017131,39,0
1543106407,40,80
1543190893,37,0
1543276815,45,81
1543365856,46,40
1543452731,40,43
1543537931,40,40
1543623608,42,48
1543708332,40,0
1543797133,44,45
1543882813,37,87
1543968976,42,47
1544056087,41,39
1544142254,41,0
1544227217,43,42
1544313132,38,41
1544402890,36,86
1544488819,42,44
1544573052,39,0
1544659451,40,35
1544746576,41,82
1544832729,49,46
1544919128,50,41
1545007933,49,45
1545093850,46,45
1545179289,45,42
1545264731,44,0
1545350433,45,44
1545439934,42,80
1545525130,40,42
1545611052,40,42
1545696967,38,0
1545783375,37,88
1545872167,37,43
1545957857,38,43
1546043284,35,0
1546128745,30,44
1546218042,35,86
1546303209,40,45
1546388405,39,0
1546473638,37,43
1546562648,29,81
1546648809,34,42
1546734491,34,40
1546820414,41,42
1546906090,38,42
1546995369,36,47
1547082013,34,43
1547168418,38,45
1547254568,33,44
1547338580,32,45
1547424733,36,47
1547511604,41,48
1547598251,32,0
1547683472,41,49
1547773213,34,95
1547859365,34,33
1547944806,36,35
1548030732,32,0
1548116647,35,32
1548202092,40,26
1548289206,39,63
1548375374,38,0
1548461533,36,31
1548550568,38,60
1548636495,39,32
1548721689,35,32
1548807850,37,0
1548893295,37,33
1548982830,32,75
1549068969,33,36
1549154891,31,29
1549240568,37,0
1549326014,34,37
1549412411,30,38
1549498114,37,40
1549586886,37,36
1549671849,38,31
1549760425,27,72
1549844888,30,0
1549929861,31,34
1550018652,25,69
1550103612,34,36
1550192431,30,37
1550277132,37,37
1550362810,32,0
1550451125,29,38
1550535609,36,32
1550624417,29,77
1550710091,31,30
1550796496,26,36
1550881447,30,38
1550970006,32,43
1551054966,28,33
1551140890,30,0
1551226331,24,35
1551315621,29,62
1551401531,36,32
1551486725,30,34
1551573611,30,0
1551658813,32,30
1551746408,35,29
1551831368,27,30
1551917302,31,38
1552006334,32,67
1552091049,37,32
1552179365,38,36
1552264087,31,37
1552352895,36,26
1552437847,35,31
1552522570,33,26
1552611368,30,29
1552696085,32,30
1552781064,29,0
1552870329,31,67
1552955288,31,32
1553040260,38,0
1553128809,41,70
1553213776,48,0
1553302566,46,63
1553387530,43,0
1553475847,45,61
1553560564,43,0
1553645047,41,31
1553820005,36,84
1553908570,37,29
1553993050,33,0
1554078729,34,74
1554167768,44,24
1554253469,45,34
1554337933,40,0
1554426984,41,73
1554512652,40,33
1554597126,34,0
1554685451,32,76
1554770421,39,0
1554858970,38,73
1554945370,29,38
1555031529,29,40
1555116006,40,36
1555204091,39,40
1555288808,28,38
1555377853,30,29
1555464009,37,42
1555548972,40,34
1555634168,36,42
1555722733,43,39
1555808653,45,42
1555893606,33,0
1555982651,34,88
1556067856,33,45
1556152812,30,46
1556239473,43,39
1556327771,31,0
1556412251,36,43
1556500568,34,0
1556586726,37,80
1556672430,32,41
1556758567,30,0
1556844009,38,38
1556932326,32,81
1557016805,31,0
1557105607,37,65
1557189951,26,37
1557278650,28,42
1557363365,32,32
1557451929,35,32
1557536433,34,0
1557627137,43,77
1557708731,32,32
1557797052,37,27
1557882029,38,32
1557970339,37,39
1558054831,37,0
1558140247,38,30
1558229052,37,57
1558313767,34,0
1558402808,43,82
1558487771,41,47
1558573210,37,0
1558661768,40,55
1558746734,39,28
1558835063,39,37
1558919770,36,0
1559007609,43,74
1559092568,36,0
1559177770,33,37
1559263943,28,37
1559352488,40,64
1559436971,44,36
1559525767,37,32
1559610971,39,36
1559695931,39,0
1559784967,31,59
1559869446,37,0
1559958009,40,69
1560043207,41,0
1560128165,39,35
1560216486,33,40
1560302180,40,65
1560390733,35,41
1560475930,37,40
1560561130,39,0
1560649448,38,73
1560734407,33,33
1560822969,38,35
1560908405,39,36
1560993133,43,0
1561081684,43,71
1561166656,37,39
1561251369,37,0
1561339934,43,75
1561424440,41,0
1561512971,43,75
1561597452,46,0
1561686248,49,83
1561771453,41,33
1561856428,44,34
1561944736,42,35
1562030411,36,43
1562119210,37,38
1562205628,34,38
1562290088,41,43
1562374816,33,0
1562463850,39,77
1562548328,41,0
1562634744,36,43
1562720648,31,81
1562810168,39,40
1562894888,43,41
1562979852,41,0
1563068406,37,72
1563152892,33,0
1563238827,41,38
1563327368,41,85
1563412087,29,0
1563500410,31,83
1563585371,40,46
1563674430,40,39
1563759135,42,34
1563843852,38,34
1563932894,45,45
1564020020,44,38
1564105932,36,41
1564192829,38,47
1564277531,41,0
1564362490,38,47
1564451530,43,78
1564535871,36,0
1564624825,36,69
1564710020,43,0
1564794968,42,35
1564880417,30,34
1564969207,44,70
1565054884,40,0
1565143451,31,73
1565228165,42,38
1565313366,42,35
1565402169,35,38
1565487133,41,41
1565572326,41,37
1565660890,35,41
1565745609,37,36
1565834653,32,37
1565919848,35,37
1566005051,32,33
1566093613,34,32
1566179050,42,39
1566264745,33,0
1566351147,37,80
1566436334,29,40
1566522497,34,0
1566612162,35,85
1566697209,27,0
1566782892,33,36
1566867847,29,40
1566957134,25,81
1567042089,41,0
1567128732,30,66
1567215134,35,0
1567300091,32,41
1567386252,42,41
1567474809,35,67
1567560248,45,0
1567646168,40,39
1567734969,37,40
1567821368,26,69
1567906807,30,42
1567992250,28,0
1568078186,28,31
1568167451,33,80
1568252652,36,0
1568338813,37,65
1568425940,30,0
1568512571,37,66
1568598248,30,29
1568684889,37,0
1568770087,34,36
1568855048,33,40
1568944330,35,77
1569030251,40,29
1569115688,34,30
1569201128,34,0
1569288010,36,34
1569374409,30,33
1569460334,29,71
1569549368,24,27
1569635293,29,44
1569720965,32,38
1569805930,26,0
1569894970,37,64
1569980650,39,40
1570066567,34,0
1570152247,29,37
1570237691,39,44
1570326497,40,39
1570412182,24,37
1570497870,29,24
1570583771,37,30
1570669692,37,29
1570758968,33,21
1570843932,32,31
1570929669,35,34
1571015055,29,36
1571104569,33,32
1571190489,31,67
1571275930,30,0
1571361632,27,39
1571450420,27,71
1571535848,26,0
1571621531,32,32
1571707448,28,35
1571793847,36,72
1571882891,44,35
1571968090,28,27
1572054250,25,27
1572139937,30,0
1572226814,29,24
1572313935,20,66
1572398898,39,29
1572484097,16,0
1572573851,35,57
1572659529,41,31
1572744730,34,32
1572830418,37,30
1572917767,40,0
1573003449,26,33
1573088655,29,27
1573177207,39,58
1573262892,39,27
1573349053,37,0
1573434254,30,21
1573523303,43,56
1573608979,34,28
1573693691,40,0
1573783466,40,60
1573868406,41,32
1573953850,35,30
1574039290,41,0
1574128809,34,66
1574214010,38,36
1574299214,37,0
1574388018,32,75
1574473932,25,0
1574558887,31,40
1574643848,32,30
1574733846,34,54
1574819288,41,32
1574904965,37,0
1574990682,28,35
1575076817,29,91
1575165846,27,0
1575251768,34,66
1575337454,43,37
1575423610,37,39
1575509533,38,0
1575594970,36,39
1575683529,28,54
1575769687,33,35
1575855138,26,41
1575940571,35,0
1576027212,33,73
1576115768,35,32
1576201215,35,33
1576286646,28,41
1576372331,34,0
1576461125,26,69
1576547046,40,33
1576632245,30,36
1576720816,36,37
1576806250,39,42
1576892405,33,37
1576977604,34,0
1577066646,32,64
1577151366,20,37
1577236807,36,37
1577325850,32,31
1577410567,34,0
1577496008,37,43
1577581446,30,29
1577671451,38,56
1577756406,27,0
1577841845,32,25
1577857205,0,36
1577927532,24,0
1578016327,34,77
1578102006,29,38
1578187447,23,38
1578272649,23,0
1578361696,40,55
1578447126,30,0
1578532325,30,28
1578621371,37,62
1578706804,29,0
1578792010,29,28
1578878165,39,27
1578964335,30,60
1579053610,36,24
1579139291,25,36
1579225447,30,31
1579311134,35,0
1579396090,35,31
1579484647,40,73
1579569848,34,35
1579658168,40,0
1579742886,35,34
1579831688,40,60
1579916168,34,0
1580001127,32,32
1580089685,26,75
1580174406,37,35
1580263210,38,0
1580348165,34,37
1580432890,32,29
1580521448,22,63
1580606650,38,0
1580695210,30,67
1580780165,39,26
1580868731,26,26
1580953685,30,0
1581038405,32,39
1581126967,35,58
1581211448,28,0
1581300007,30,57
1581385206,21,34
1581470165,32,0
1581558966,29,72
1581644166,26,0
1581732965,23,58
1581817686,30,23
1581902888,21,0
1581991448,34,68
