DateTime,AddedIPs,RemovedIPs
1559964950,25,16
1560008083,25,19
1560051278,16,12
1560094479,27,29
1560137681,18,28
1560180939,31,27
1560224149,19,16
1560267344,35,30
1560310546,21,21
1560353753,23,20
1560396939,19,14
1560440142,16,31
1560483337,37,19
1560526493,13,32
1560569750,37,7
1560634560,31,30
1560677746,25,25
1560720946,32,9
1560764164,24,21
1560807343,27,24
1560850540,19,16
1560893746,24,27
1560936946,24,18
1560980147,32,20
1561023347,18,21
1561066546,24,25
1561109753,11,22
1561152950,38,38
1561196146,16,20
1561239342,26,29
1561282535,18,14
1561325734,36,29
1561368936,13,10
1561412135,33,33
1561455334,18,38
1561498534,33,23
1561541736,13,25
1561584938,31,25
1561628146,23,27
1561671338,16,21
1561714545,0,21
1561757741,11,24
1561800949,0,26
1561844151,8,754
1561887334,2,8
1561930543,15,7
1561973751,1,1
1562016944,32,10
1562060142,0,1
1562103345,21,10
1562146540,8,3
1562189740,27,16
1562232936,9,8
1562276146,22,32
1562319330,1,4
1562362526,6,20
1562405728,1,0
1562448927,2,7
1562492131,0,3
1562535335,0,17
1562578532,0,6
1562621730,4,32
1562708128,27,16
1562751327,1,8
1562794537,38,11
1562837737,2,3
1562880937,13,31
1562924141,1,1
1562967334,16,5
1563010538,0,2
1563053741,20,3
1563096946,2,0
1563140138,17,7
1563183337,0,6
1563226533,7,2
1563269732,0,5
1563312947,10,18
1563356143,7,3
1563399337,14,40
1563442539,3,3
1563485731,11,10
1563528937,1,6
1563572141,8,17
1563615339,3,1
1563680138,7,15
1563723345,10,19
1563766542,0,4
1563809743,11,3
1563852952,0,7
1563896149,0,7
1563939336,1,8
1563982536,28,16
1564025738,1,6
1564068916,22,16
1564112139,2,1
1564155343,6,21
1564198534,1,6
1564241744,13,62
1564284936,0,7
1564328134,38,20
1564371325,3,3
1564414526,7,18
1564457730,1,0
1564500937,10,3
1564544130,2,2
1564587338,15,13
1564630537,497,1
1564673740,19,13
1564716934,0,11
1564760146,22,10
1564803342,0,35
1564846547,11,66
1564889733,1,0
1564932938,12,108
1564998644,7,3
1565041837,26,53
1565085042,2,2
1565128241,30,73
1565171452,0,1
1565214662,63,25
1565257859,1,1
1565301068,8,26
1565344256,0,8
1565387443,35,25
1565430655,0,3
1565473849,14,33
1565517047,1,2
1565560260,16,61
1565603446,0,2
1565646645,18,32
1565689843,3,3
1565733053,24,23
1565776252,0,2
1565819449,16,18
1565862645,1,2
1565905847,66,11
1565992249,20,28
1566035450,1,2
1566078640,19,36
1566121845,1,1
1566165038,21,32
1566208244,1,0
1566251449,80,51
1566337850,76,16
1566381055,1,0
1566424265,25,25
1566467451,1,1
1566510651,22,44
1566553857,1,2
1566597059,39,63
1566640262,0,2
1566683454,29,38
1566726648,1,2
1566769854,10,31
1566813055,1,2
1566856260,16,70
1566899454,0,3
1566942661,94,38
1566985857,0,2
1567029064,24,12
1567072260,1,1
1567115455,15,25
1567201851,29,19
1567288249,21,15
1567331452,0,2
1567374648,14,22
1567417850,0,2
1567461044,73,14
1567547458,19,85
1567590652,1,5
1567633851,19,38
1567677042,0,3
1567720239,32,50
1567763436,0,1
1567796737,54,35
1567839925,0,1
1567883128,16,29
1567926329,1,2
1567969533,17,34
1568055876,27,40
1568099077,1,1
1568142276,25,37
1568185475,0,13
1568228677,16,40
1568271876,1,7
1568315078,15,22
1568359175,1,1
1568402374,13,21
1568445571,0,9
1568488773,15,26
1568531973,0,3
1568575171,26,37
1568618374,0,1
1568661576,59,23
1568704776,3,3
1568747900,19,34
1568791101,3,5
1568834377,23,22
1568877575,3,3
1568920778,19,56
1568963976,0,3
1569007177,19,39
1569050375,2,3
1569092678,63,25
1569135882,2,2
1569179076,67,33
1569222274,0,5
1569265483,48,11
1569308678,0,9
1569351881,38,40
1569395078,1,3
1569438203,23,64
1569481402,1,11
1569524679,19,56
1569567882,2,1
1569611074,23,43
1569654274,3,5
1569697473,19,21
1569782082,15,11
1569825280,4,4
1569868480,25,22
1569911681,3,1
1569954881,3,23
1569998089,32,3
1570041278,6,19
1570080884,5,2
1570124077,44,4
1570167280,1,13
1570210494,34,7
1570253679,1,4
1570295982,57,34
1570339185,2,1
1570382382,66,26
1570468786,50,48
1570511088,3,0
1570553419,8,38
1570596585,38,9
1570639788,17,78
1570682989,7,0
1570726190,12,2
1570769391,6,42
1570812589,30,43
1570855787,2,27
1570898992,13,41
1570942187,2,0
1570985390,7,16
1571028588,2,0
1571071791,12,10
1571114995,2,0
1571158188,16,5
1571201388,2,12
1571244589,7,12
1571287789,6,20
1571353488,7,28
1571396702,1,1
1571439884,10,29
1571526286,5,3
1571569516,1,1
1571612689,4,10
1571699092,12,9
1571764787,9,7
1571851189,8,5
1571894391,0,8
1571937585,12,5
1571980789,1,2
1572023997,6,7
1572067191,6,0
1572110382,4,6
1572153586,16,3
1572196791,13,8
1572240890,4,2
1572284109,13,9
1572327294,5,1
1572370494,19,3
1572413694,5,0
1572456011,85,7
1572499200,28,0
1572542398,11,5
1572585601,3,2
1572628808,14,1
1572672004,11,4
1572715199,8,3
1572758400,4,0
1572801611,2,100
1572844799,3,0
1572888004,2,121
1572974401,1,66
1573017606,262,0
1573060804,4,86
1573103997,2,7
1573147197,27,4
