DateTime,AddedIPs,RemovedIPs
1582163522,31,33
1582165321,27,0
1582165921,26,31
1582166521,37,0
1582167721,28,34
1582168921,28,20
1582169521,30,54
1582170721,17,0
1582171321,23,7
1582172521,25,0
1582173722,24,60
1582174921,28,13
1582176121,24,27
1582177321,29,56
1582177921,20,0
1582178521,39,45
1582179721,17,31
1582180921,28,64
1582181521,20,0
1582182721,19,19
1582183921,26,14
1582184521,28,0
1582185122,36,27
1582185721,24,22
1582186922,38,0
1582187521,28,25
1582188721,27,17
1582189321,14,0
1582190521,34,56
1582191121,25,58
1582192321,31,27
1582192921,32,24
1582194121,18,42
1582194721,29,0
1582195321,23,0
1582195921,15,32
1582196521,30,64
1582198321,22,27
1582198921,26,19
1582199521,29,0
1582200121,28,14
1582201321,25,56
1582201921,25,0
1582202521,24,31
1582203721,22,47
1582204321,28,64
1582204921,24,13
1582206122,32,34
1582207321,25,0
1582207921,35,49
1582209122,22,58
1582209722,18,0
1582210922,18,39
1582212122,13,28
1582213322,10,22
1582214521,22,20
1582215121,18,17
1582216321,25,42
1582216921,29,0
1582217521,33,38
1582218122,16,24
1582219321,29,14
1582220521,29,86
1582221121,24,0
1582221722,39,4
1582222321,23,0
1582222921,31,24
1582224121,24,28
1582225321,26,26
1582225921,22,37
1582226521,31,51
1582227721,35,0
1582228921,32,33
1582230121,19,24
1582231322,20,20
1582232521,27,7
1582233121,37,70
1582234321,37,22
1582234921,29,0
1582236121,25,53
1582237322,24,57
1582237922,28,52
1582238521,31,28
1582239121,7,29
1582240321,30,57
1582240921,23,24
1582242121,22,0
1582243321,24,56
1582243922,33,34
1582244521,38,0
1582245721,30,15
1582246921,18,0
1582248121,23,62
1582249321,27,0
1582250521,31,46
1582251721,19,31
1582252922,33,38
1582254121,29,48
1582255321,24,34
1582256521,27,0
1582257721,39,46
1582258321,18,0
1582258921,34,56
1582259522,23,0
1582260122,29,0
1582261321,30,57
1582261922,32,0
1582262521,27,0
1582263122,36,36
1582263722,31,0
1582264922,23,47
1582266122,11,34
1582266721,31,0
1582267921,29,26
1582268522,30,40
1582269721,16,29
1582270921,26,51
1582272121,31,27
1582273322,25,62
1582274521,32,0
1582275721,29,88
1582276921,37,0
1582277521,23,30
1582278722,32,44
1582279922,27,25
1582281122,34,40
1582282321,24,77
1582282921,22,0
1582283521,32,0
1582284121,30,42
1582285322,29,27
1582286521,27,72
1582287721,34,18
1582288921,22,62
1582290122,18,35
1582291321,34,32
1582291921,29,36
1582293121,23,26
1582293721,35,31
1582294321,24,0
1582294921,31,0
1582295521,28,32
1582296122,11,30
1582297321,26,17
1582297921,27,0
1582298521,12,0
1582299121,27,15
1582300321,25,0
1582300921,31,31
1582301521,25,14
1582302122,37,0
1582303321,25,26
1582304521,27,60
1582305121,27,69
1582305721,31,0
1582306321,26,0
1582307522,18,45
1582308121,26,0
1582309321,26,72
1582309921,27,18
1582310521,24,0
1582311722,25,61
1582312921,27,31
1582314121,27,49
1582315322,33,0
1582315921,20,35
1582316521,25,0
1582317121,28,26
1582317721,32,0
1582318921,25,17
1582319521,23,21
1582320721,20,24
1582321322,28,62
1582322521,27,0
1582323722,21,58
1582324321,35,32
1582325521,26,9
1582326722,23,13
1582327322,24,0
1582327922,29,85
1582329121,22,0
1582329721,23,29
1582330921,32,0
1582331521,20,64
1582332121,26,28
1582332721,20,21
1582334521,29,0
1582335121,34,49
1582336321,26,0
1582336922,20,32
1582338121,27,21
1582339321,52,31
1582339921,18,0
1582341721,25,23
1582342321,33,28
1582343521,39,21
1582344121,34,0
1582345322,26,52
1582345921,34,72
1582346522,29,0
1582347721,25,26
1582348921,32,37
1582350121,22,33
1582351321,29,30
1582352522,26,26
1582353721,30,68
1582354921,29,55
1582355521,34,44
1582356721,39,0
1582357321,28,0
1582358521,14,27
1582359721,26,30
1582360921,24,59
1582362122,23,20
1582362721,30,0
1582363322,26,31
1582364521,35,0
1582365121,28,23
1582365721,30,15
1582366322,19,0
1582366922,21,28
1582367521,8,0
1582368122,31,26
1582369321,24,63
1582369921,22,23
1582370521,29,0
1582371121,21,16
1582371721,21,18
1582372322,17,0
1582372921,25,0
1582373522,31,27
1582374721,37,38
1582375921,20,26
1582376522,18,21
1582377121,24,0
1582377722,26,0
1582378921,21,58
1582380121,29,14
1582381321,28,30
1582381921,26,31
1582382521,30,22
1582383121,19,28
1582383722,30,30
1582385521,26,23
1582386121,28,0
1582387321,37,62
1582388521,28,46
1582389121,25,27
1582389722,26,24
1582390921,32,17
1582391521,24,0
1582392122,22,30
1582393321,27,57
1582394521,25,30
1582395121,26,25
1582395722,16,0
1582396322,26,52
1582396921,28,0
1582398121,28,21
1582399322,19,0
1582399921,24,30
1582400521,28,0
1582401121,9,22
1582402321,18,42
1582402921,32,0
1582403521,24,49
1582404722,30,32
1582405321,25,31
1582406521,11,0
1582407721,27,71
1582408921,21,26
1582409521,35,30
1582410722,32,0
1582411321,21,36
1582411921,37,29
1582412521,21,0
1582413721,12,47
1582414921,28,0
1582416121,24,58
1582416722,29,44
1582417921,38,0
1582418521,31,0
1582419721,28,47
1582420921,27,25
1582422121,31,57
1582423321,31,33
1582423921,19,34
1582425121,40,26
1582425721,34,0
1582426921,33,67
1582428121,23,0
1582429321,27,27
1582430522,24,108
1582431122,21,0
1582431721,4,0
1582432922,10,34
1582434122,24,68
1582435322,35,43
1582436522,16,59
1582437721,32,26
1582438921,24,20
1582440122,11,0
1582441321,25,59
1582442521,15,0
1582443721,24,34
1582444921,21,24
1582445522,21,25
1582446722,25,24
1582447921,21,24
1582449121,22,52
1582449722,36,0
1582450921,27,49
1582452121,28,24
1582453321,11,31
1582453921,18,21
1582454522,28,45
1582455122,36,34
1582455721,30,26
1582456922,28,54
1582458121,20,30
1582459321,31,94
1582460521,30,29
1582461722,31,30
