DateTime,AddedIPs,RemovedIPs
1582103521,0,5
1582104121,1,0
1582105321,2,1
1582105921,0,5
1582108921,0,2
1582110721,0,1
1582111321,0,1
1582112522,2,2
1582114921,1,0
1582116722,1,0
1582119721,1,0
1582121521,1,0
1582122121,1,0
1582123321,0,1
1582124521,1,0
1582126321,1,3
1582126921,1,1
1582128121,4,1
1582129321,1,1
1582131121,1,0
1582133521,1,0
1582136522,3,2
1582137121,1,0
1582140721,2,1
1582141321,1,0
1582141921,0,1
1582143721,4,2
1582144921,0,1
1582146721,5,0
1582147921,4,1
1582148522,4,0
1582150322,4,0
1582150921,2,1
1582152122,1,1
1582152721,1,2
1582153921,8,0
1582154522,1,1
1582155121,0,1
1582155722,3,3
1582156921,2,0
1582158121,1,1
1582158721,1,0
1582159322,0,1
1582160521,0,2
1582161722,2,0
1582162921,5,0
1582163522,2,2
1582164721,4,0
1582165921,3,0
1582167121,0,1
1582168321,6,2
1582168921,0,2
1582170121,2,1
1582170721,1,0
1582171321,1,0
1582171921,1,1
1582172521,1,0
1582173121,0,1
1582174921,1,0
1582176121,4,2
1582176722,1,0
1582177321,0,3
1582178521,1,1
1582179721,0,1
1582180921,0,3
1582182121,1,0
1582182721,0,2
1582184521,10,1
1582185122,3,3
1582185721,1,4
1582186921,5,0
1582188121,5,0
1582189321,1,0
1582190521,1,0
1582191721,0,1
1582192321,3,0
1582192921,1,0
1582193521,3,0
1582194121,0,4
1582194721,2,0
1582195321,3,0
1582196521,1,3
1582197121,3,1
1582197721,1,0
1582198921,7,2
1582199521,1,3
1582200121,1,0
1582200722,0,2
1582201321,3,0
1582201921,2,1
1582203121,3,0
1582203721,2,0
1582204921,3,0
1582206122,8,1
1582206721,6,2
1582207321,1,0
1582208521,1,0
1582209122,1,0
1582209722,1,2
1582210321,0,1
1582213322,0,1
1582213922,0,2
1582214521,3,0
1582215721,1,0
1582216921,0,1
1582217521,0,1
1582219321,1,0
1582219921,2,2
1582220521,38,0
1582221121,2,1
1582221722,1,1
1582222921,3,0
1582224121,4,0
1582225321,1,1
1582226521,4,0
1582227121,3,0
1582228321,2,1
1582228921,1,2
1582230121,3,0
1582230721,1,0
1582231322,1,0
1582232521,2,0
1582233721,5,0
1582234321,3,1
1582235521,3,1
1582236121,2,0
1582237322,0,1
1582237922,0,6
1582238521,1,1
1582239121,4,0
1582240921,0,1
1582243321,4,4
1582243922,0,4
1582245121,1,0
1582245721,1,0
1582248121,4,2
1582249321,1,1
1582250521,0,3
1582251721,1,0
1582252922,1,0
1582254121,0,1
1582255321,0,2
1582255922,1,0
1582256521,1,1
1582257721,2,0
1582258321,0,3
1582258921,2,1
1582260722,0,1
1582261321,7,4
1582261922,3,0
1582262521,3,1
1582263721,3,0
1582264921,1,2
1582267321,3,1
1582269721,0,3
1582270921,1,0
1582271521,8,2
1582273322,0,1
1582274521,1,0
1582275721,1,0
1582276322,0,3
1582276921,0,3
1582278121,0,1
1582279922,10,4
1582281122,1,0
1582281721,1,0
1582282321,1,0
1582283521,0,1
1582284121,0,1
1582284721,1,0
1582285322,6,0
1582285921,6,1
1582286521,4,0
1582287721,4,2
1582288322,3,0
1582288921,1,2
1582290122,1,3
1582291321,4,1
1582291921,2,0
1582292521,3,0
1582293121,64,1
1582293721,3,0
1582294321,1,1
1582295521,2,2
1582296122,0,1
1582297321,2,0
1582297921,1,0
1582298521,1,1
1582299721,1,1
1582300321,0,1
1582301521,3,2
1582302122,3,0
1582302722,0,1
1582303922,0,1
1582304521,4,0
1582306921,4,0
1582309321,9,1
1582309921,3,1
1582311722,8,3
1582312921,0,2
1582313521,65,0
1582314121,3,3
1582315321,1,0
1582315921,1,0
1582316521,0,2
1582317121,9,0
1582317721,1,1
1582318921,3,1
1582319521,0,1
1582322521,2,0
1582323722,7,6
1582324321,2,0
1582324921,9,2
1582325521,2,0
1582326121,3,3
1582326722,0,2
1582328521,2,2
1582329721,0,1
1582330921,5,0
1582332121,2,1
1582333321,4,0
1582334521,2,1
1582335121,1,1
1582335721,4,1
1582336922,1,1
1582337522,1,0
1582339321,2,2
1582340522,1,1
1582341721,5,1
1582342921,11,0
1582344121,5,1
1582345322,5,1
1582346522,7,20
1582347721,20,0
1582348921,6,9
1582350121,4,0
1582351321,4,0
1582352522,3,1
1582353721,1,7
1582354921,2,2
1582358521,12,2
1582360321,3,2
1582360921,0,1
1582362122,2,11
1582363921,0,1
1582365121,1,2
1582365721,1,0
1582366322,2,0
1582366921,0,1
1582367521,4,1
1582368122,1,0
1582368722,3,0
1582369321,0,1
1582370521,0,1
1582371121,1,0
1582373522,0,2
1582374721,1,2
1582375921,2,0
1582377121,0,3
1582377722,2,0
1582378921,0,1
1582380121,2,0
1582381321,0,1
1582382521,4,3
1582383121,1,0
1582383722,1,0
1582384922,1,2
1582385521,0,7
1582386121,0,1
1582387321,0,2
1582387922,1,0
1582388521,4,1
1582389722,1,0
1582390321,2,1
1582391521,1,0
1582392722,0,1
1582393321,3,0
1582394521,22,4
1582396322,13,6
1582396921,1,0
1582398121,4,0
1582398721,2,3
1582399322,1,0
1582399921,4,1
1582401121,3,6
1582402321,2,0
1582402921,1,0
