DateTime,AddedIPs,RemovedIPs
1582200121,9,9
1582200722,2,2
1582201321,23,23
1582201921,24,24
1582202521,5,5
1582203121,12,12
1582203721,6,6
1582204921,9,9
1582205522,15,15
1582206122,30,30
1582206721,30,30
1582207321,29,29
1582207921,9,9
1582208521,12,12
1582209122,22,22
1582209722,39,39
1582210321,39,39
1582211521,46,46
1582212122,8,8
1582213322,25,25
1582213922,8,8
1582214521,12,12
1582215121,11,11
1582215721,15,15
1582216921,15,15
1582217521,14,14
1582218122,6,6
1582219321,21,21
1582219921,18,18
1582220521,69,70
1582221121,34,33
1582221722,42,42
1582222321,33,33
1582222921,26,26
1582224121,56,56
1582225321,38,38
1582226521,43,43
1582227121,62,62
1582228321,54,54
1582228921,21,21
1582230121,15,15
1582230721,5,5
1582231322,10,10
1582232521,16,16
1582233721,31,31
1582234321,45,45
1582235521,38,38
1582236121,11,11
1582237322,5,5
1582237922,11,11
1582238521,3,3
1582239121,9,9
1582240321,8,8
1582240921,8,8
1582242121,8,8
1582243321,18,18
1582243922,7,7
1582245121,11,11
1582245721,2,2
1582246321,27,27
1582246921,4,4
1582248121,15,15
1582248722,6,6
1582249321,6,6
1582250521,10,10
1582251721,7,7
1582252922,14,14
1582254121,18,18
1582255321,8,8
1582255922,22,22
1582256521,7,7
1582257721,38,38
1582258321,8,8
1582258921,37,37
1582259522,21,21
1582260722,14,14
1582261321,11,11
1582261922,5,5
1582262521,22,22
1582263721,10,10
1582264921,14,14
1582266122,14,14
1582267321,32,32
1582268522,9,9
1582269721,30,30
1582270921,8,8
1582271521,31,31
1582273322,16,16
1582274521,10,10
1582275721,15,15
1582276322,13,13
1582276921,9,9
1582278121,33,33
1582279922,55,55
1582281122,11,11
1582281721,11,11
1582282321,5,5
1582282921,5,5
1582283521,12,12
1582284121,3,3
1582284721,11,11
1582285322,6,6
1582285921,7,7
1582286521,6,6
1582287721,18,18
1582288322,19,19
1582288921,12,12
1582290122,14,14
1582291321,9,9
1582291921,29,29
1582292521,19,19
1582293121,98,98
1582293721,31,31
1582294321,26,26
1582294921,20,20
1582295521,51,51
1582296122,39,39
1582297321,54,54
1582297921,14,14
1582298521,25,25
1582299721,31,31
1582300321,27,27
1582301521,66,66
1582302122,33,33
1582302722,33,33
1582303922,33,33
1582304521,51,51
1582305121,10,10
1582306321,24,24
1582306921,61,61
1582308121,50,50
1582309321,77,77
1582309921,60,60
1582310521,28,28
1582311722,49,49
1582312921,27,27
1582313521,100,100
1582314121,60,60
1582315321,68,68
1582315921,47,47
1582316521,28,28
1582317121,38,38
1582317721,39,39
1582318921,79,79
1582319521,29,29
1582320121,30,30
1582321322,22,22
1582322521,53,53
1582323722,50,50
1582324321,9,9
1582324921,65,65
1582325521,13,13
1582326121,36,36
1582326722,52,52
1582327321,20,20
1582328521,86,86
1582329721,84,84
1582330921,28,28
1582332121,39,39
1582333321,69,69
1582334521,18,18
1582335121,19,19
1582335721,61,61
1582336922,28,28
1582337522,20,20
1582338721,28,28
1582339321,49,49
1582340522,82,82
1582341721,77,77
1582342921,65,65
1582344121,62,62
1582345322,20,20
1582346522,90,90
1582347721,92,92
1582348921,87,87
1582350121,73,73
1582351321,89,89
1582352522,72,72
1582353721,63,63
1582354921,15,15
1582356121,37,37
1582357321,29,29
1582358521,56,56
1582359121,38,38
1582360321,82,82
1582360921,32,32
1582362122,61,61
1582362721,27,27
1582363921,63,63
1582365121,72,72
1582365721,23,23
1582366322,41,41
1582366921,36,36
1582367521,21,21
1582368122,59,59
1582368722,59,59
1582369321,11,11
1582369921,8,8
1582370521,14,14
1582371121,57,57
1582371721,25,25
1582372322,30,30
1582373522,62,62
1582374121,20,20
1582374721,9,9
1582375321,19,19
1582375921,28,28
1582376522,6,6
1582377121,24,24
1582377722,36,36
1582378321,8,8
1582378921,27,27
1582380121,66,66
1582380721,11,11
1582381321,12,12
1582382521,50,50
1582383121,47,47
1582383722,32,32
1582384922,72,72
1582385521,11,11
1582386121,10,10
1582387321,49,49
1582387922,44,44
1582388521,32,32
1582389121,15,15
1582389722,47,47
1582390321,60,60
1582391521,61,61
1582392122,9,9
1582392722,15,15
1582393321,38,38
1582394521,86,86
1582395121,23,23
1582396322,96,96
1582396921,9,9
1582398121,88,88
1582398721,56,56
1582399322,53,53
1582399921,57,57
1582401121,77,77
1582402321,94,94
1582402921,64,64
1582403521,30,30
1582404122,59,59
1582404721,40,40
1582405321,41,41
1582405921,63,63
1582407122,92,92
1582407721,19,19
1582408921,97,97
1582410121,88,88
1582410722,53,53
1582411321,58,58
1582412521,97,97
1582413721,76,76
1582414921,39,39
1582416121,91,91
1582416722,12,12
1582417921,13,13
1582418521,19,19
1582419721,57,57
1582420921,91,91
1582422121,65,65
1582423321,56,56
1582423921,81,81
1582425121,80,80
1582425721,8,8
1582426921,98,98
1582428121,59,59
1582428721,70,70
1582429321,34,34
1582430522,24,24
1582431122,49,49
1582431721,16,16
1582432922,91,91
1582434122,70,70
1582435322,97,97
1582435922,47,47
1582437121,93,93
1582437721,58,58
1582438321,71,71
1582438921,52,52
1582439522,56,56
1582440721,94,94
1582441321,12,12
1582442521,88,88
1582443721,58,58
1582444921,59,59
1582446122,72,72
1582446722,32,32
1582447921,23,23
1582448521,27,27
1582449722,75,75
1582450921,93,93
1582452121,48,48
1582452721,50,50
1582453921,44,44
1582455122,47,47
1582455721,4,4
1582456322,27,27
1582456922,8,8
1582458121,26,26
1582458721,15,15
1582459321,9,9
1582460521,29,29
1582461122,14,14
1582461722,20,20
1582462921,23,23
1582464121,29,29
1582464721,4,4
1582465921,9,9
1582466521,40,40
1582467721,12,12
1582468321,18,18
1582468921,12,12
1582469521,23,23
1582470721,86,86
1582471321,26,26
1582471922,39,39
1582472521,27,27
1582473722,49,49
1582474321,5,5
1582474921,4,4
1582475521,13,13
1582476122,48,48
1582477321,60,60
1582477921,10,10
1582478521,44,44
1582479122,16,16
1582479721,34,34
1582480321,31,31
1582481521,86,86
1582482121,39,39
1582482722,23,23
1582483321,71,71
1582484521,64,64
1582485121,22,22
1582485722,45,45
1582486321,9,9
1582486921,18,18
1582488121,92,92
1582488721,35,35
1582489921,50,50
1582490522,27,27
1582491121,71,71
1582492322,65,65
1582492921,23,23
1582494121,23,23
1582495321,92,92
1582495921,66,66
1582496522,40,40
1582497121,60,60
1582497721,29,29
1582498921,98,98
1582500121,87,87
1582501321,45,45
1582501921,69,69
1582503121,64,64
1582503721,13,13
1582504921,96,96
1582505521,19,19
1582506121,51,51
1582507321,93,93
1582507921,64,64
1582508521,55,55
1582509721,77,77
1582510921,67,67
1582511521,79,79
1582512121,33,33
1582513321,94,94
1582514521,94,94
1582515121,61,61
1582515721,22,22
1582516321,59,59
1582517521,86,86
1582518121,14,14
1582519321,99,99
1582519921,47,47
1582520521,16,16
1582521721,98,98
1582522921,19,19
1582524121,79,79
1582525321,96,96
1582526521,67,67
1582527721,97,97
1582528922,93,93
1582529521,43,43
1582530122,31,31
1582531322,37,37
1582532521,37,37
1582533721,64,64
1582534921,47,47
1582535521,27,27
1582536721,42,42
1582537921,74,74
1582538521,35,35
1582539721,64,64
1582540321,6,6
1582540921,24,24
1582541521,4,4
1582542121,39,39
1582542721,51,51
1582543921,92,92
1582545121,73,73
1582545721,54,54
1582546322,37,37
1582547521,73,73
1582548121,34,34
1582549321,72,72
1582549921,12,12
1582550521,48,48
1582551122,7,7
1582551722,13,13
1582552921,85,85
1582553522,14,14
1582554121,10,10
1582554721,53,53
1582555322,54,54
1582556521,92,92
1582557121,44,44
1582557721,35,35
1582558922,99,99
1582560121,54,54
1582561322,83,83
1582562522,97,97
1582563721,58,58
1582564921,89,89
1582565521,76,76
1582566122,23,23
1582567321,90,90
1582568521,90,90
1582569121,56,56
1582569722,47,47
1582570921,67,67
1582572121,66,66
1582573321,80,80
1582573921,39,39
1582574521,17,17
1582575121,69,69
1582575721,59,59
1582576922,86,86
1582577521,64,64
1582578121,54,54
1582579321,65,65
1582580522,46,46
1582581121,14,14
1582582322,37,37
1582583521,40,40
1582584121,20,20
1582585321,63,63
1582586521,87,87
1582587121,37,37
1582587721,46,46
1582588321,56,56
1582588921,53,53
1582589521,52,52
1582590121,69,69
1582590721,56,56
1582591321,14,14
1582592522,76,76
1582593121,12,12
1582593722,7,7
1582594922,23,23
1582595521,47,47
1582596721,75,75
1582597322,15,15
1582598521,32,32
1582599722,56,56
1582600921,42,42
1582602122,87,87
1582602721,67,67
1582603921,87,87
1582604521,57,57
1582605721,91,91
1582606921,55,55
1582608121,39,39
1582608721,9,9
1582609321,9,9
1582610521,66,66
1582611721,69,69
1582612921,35,35
1582614121,48,48
1582615321,67,67
1582615922,16,16
1582616521,9,9
1582617721,35,35
1582618921,72,72
1582619521,22,22
1582620722,92,92
1582621921,57,57
1582622521,61,61
1582623121,49,49
1582623722,34,34
1582624921,23,23
1582625521,58,58
1582626722,19,19
1582627321,29,29
1582627921,70,70
1582628521,15,15
1582629721,34,34
