DateTime,Entries,UniqueIPs
1580412602,7576,7576
1580419802,7861,7861
1580427002,8108,8108
1580434202,5018,5018
1580437801,5167,5167
1580441402,5291,5291
1580445002,5401,5401
1580449502,5552,5552
1580453101,5686,5686
1580460302,5955,5955
1580463902,6106,6106
1580467502,6238,6238
1580471102,6379,6379
1580474702,6561,6561
1580478302,6720,6720
1580485501,7069,7069
1580489101,7183,7183
1580496301,7416,7416
1580499902,7502,7502
1580504402,7595,7595
1580508002,7681,7681
1580511602,7804,7804
1580515202,4418,4418
1580518803,4519,4519
1580522402,4687,4687
1580529602,4977,4977
1580536802,5187,5187
1580544002,5418,5418
1580547602,5537,5537
1580552102,5728,5728
1580555701,5880,5880
1580559302,6027,6027
1580562902,6180,6180
1580570102,6451,6451
1580577302,6747,6747
1580580902,6851,6851
1580584502,6936,6936
1580588102,7051,7051
1580595302,7256,7256
1580598902,7379,7379
1580606101,4455,4455
1580609702,4587,4587
1580613301,4718,4718
1580617802,4860,4860
1580621402,4969,4969
1580628601,5169,5169
1580632202,5271,5271
1580635802,5365,5365
1580639401,5444,5444
1580643001,5553,5553
1580646602,5644,5644
1580651102,5806,5806
1580654701,5921,5921
1580658301,6060,6060
1580665502,6275,6275
1580669102,6418,6418
1580672702,6524,6524
1580676302,6636,6636
1580679902,6721,6721
1580687101,6942,6942
1580691602,4104,4104
1580695202,4243,4243
1580698802,4363,4363
1580702402,4473,4473
1580706002,4600,4600
1580709602,4746,4746
1580713202,4900,4900
1580720402,5152,5152
1580724002,5308,5308
1580727603,5459,5459
1580732102,5650,5650
1580739302,5909,5909
1580742902,6123,6123
1580746501,6278,6278
1580750102,6460,6460
1580753702,6585,6585
1580760902,6838,6838
1580764502,7144,7144
1580768102,7250,7250
1580772601,7413,7413
1580776202,4919,4919
1580783402,5257,5257
1580787002,5358,5358
1580790602,5483,5483
1580794202,5589,5589
1580797802,5720,5720
1580801402,5848,5848
1580805901,6028,6028
1580809501,6178,6178
1580816701,6449,6449
1580821202,6607,6607
1580824801,6744,6744
1580828402,6920,6920
1580832002,7058,7058
1580835602,7225,7225
1580839202,7476,7476
1580842802,7596,7596
1580846402,7714,7714
1580850002,7851,7851
1580853602,7956,7956
1580857202,8098,8098
1580861702,4910,4910
1580865302,5023,5023
1580872502,5286,5286
1580876102,5392,5392
1580879702,5492,5492
1580883302,5612,5612
1580886901,5727,5727
1580890502,5839,5839
1580895002,5975,5975
1580898602,6097,6097
1580902202,6240,6240
1580905802,6356,6356
1580913002,6664,6664
1580916601,6821,6821
1580920201,6946,6946
1580923802,7125,7125
1580927402,7254,7254
1580931002,7386,7386
1580934602,7512,7512
1580938202,7612,7612
1580941801,7750,7750
1580945401,7852,7852
1580949902,4535,4535
1580953502,4669,4669
1580957101,4805,4805
1580960701,4955,4955
1580964301,5071,5071
1580971502,5335,5335
1580975101,5475,5475
1580978702,5613,5613
1580982301,5747,5747
1580985902,5902,5902
1580989502,6088,6088
1580993101,6274,6274
1580996702,6449,6449
1581003901,6761,6761
1581007501,6909,6909
1581012002,7126,7126
1581015602,7247,7247
1581019202,7375,7375
1581022802,7492,7492
1581026401,7620,7620
1581030002,7741,7741
1581033602,4808,4808
1581037202,4959,4959
1581040802,5102,5102
1581044402,5270,5270
1581048001,5398,5398
1581051602,5515,5515
1581056101,5686,5686
1581059702,5835,5835
1581063302,5966,5966
1581066902,6165,6165
1581074102,6491,6491
1581077702,6636,6636
1581084902,6959,6959
1581089402,7118,7118
1581093002,7229,7229
1581096601,7353,7353
1581100202,7474,7474
1581103802,7575,7575
1581111002,7789,7789
1581118202,7991,7991
1581121802,4845,4845
1581125402,4933,4933
1581129002,5059,5059
1581132602,5170,5170
1581136201,5288,5288
1581143402,5466,5466
1581147901,5583,5583
1581151501,5693,5693
1581155102,5801,5801
1581158702,5925,5925
1581162302,6035,6035
1581165902,6149,6149
1581169502,6275,6275
1581176701,6529,6529
1581180301,6632,6632
1581187501,6870,6870
1581192002,6981,6981
1581195602,7080,7080
1581196501,7099,7099
1581200102,7184,7184
1581204601,7288,7288
1581208202,3967,3967
1581211801,4073,4073
1581219001,4310,4310
1581222601,4433,4433
1581226202,4553,4553
1581229802,4662,4662
1581233402,4766,4766
1581237001,4857,4857
1581241502,4998,4998
1581245102,5091,5091
1581248702,5191,5191
1581252302,5298,5298
1581255902,5384,5384
1581259502,5477,5477
1581266701,5689,5689
