DateTime,AddedIPs,RemovedIPs
1539777010,1815,2492
1539863409,2162,3164
1539949809,2391,2801
1540036210,1719,2422
1540122609,1626,999
1540209010,2010,1965
1540295410,2192,1481
1540381810,2071,1247
1540468210,1834,1792
1540554609,2029,1330
1540641010,1430,1349
1540727409,1440,1202
1540813809,1570,1964
1540900210,1687,2363
1540986611,2162,2680
1541073009,1837,1936
1541159410,1632,2269
1541245811,1468,1418
1541332209,1476,1556
1541418609,1970,1585
1541505010,2008,1752
1541591410,1768,1740
1541677811,2627,1634
1541764209,2135,1725
1541850610,1801,1393
1541937010,1732,1406
1542023410,1738,1974
1542109811,2169,1569
1542196209,2444,1562
1542282610,2454,1600
1542369011,1854,1934
1542455410,1577,1510
1542541810,1408,1212
1542628210,2079,2524
1542714610,2469,1753
1542801010,1923,1418
1542887410,2282,2007
1542973810,1618,1798
1543060209,1695,1441
1543146611,1514,1034
1543233010,1662,1434
1543319411,2187,1506
1543405810,1901,1586
1543492209,1796,1586
1543578610,1642,1802
1543665011,1995,1543
1543751411,1783,1261
1543837810,1852,2418
1543924210,1928,2493
1544010611,1946,1833
1544097011,1935,2015
1544183410,2004,1688
1544269811,1403,1695
1544356210,1078,1446
1544442611,1190,2222
1544529010,1450,1799
1544615411,1506,1913
1544701811,1944,1494
1544788210,1606,2126
1544874610,1627,2004
1544961010,1706,1934
1545047410,2385,2014
1545133810,2415,2118
1545220210,2120,2346
1545306610,1534,2396
1545393010,1459,1728
1545479411,1342,1793
1545565810,1213,1218
1545652210,1243,1917
1545738610,1086,2171
1545825010,1151,2022
1545911410,1701,1520
1545997809,2003,1650
1546127409,2864,1369
1546213809,1163,1366
1546300208,1674,2106
1546386609,1494,1720
1546473009,2004,1570
1546559409,1872,1617
1546645808,2402,2802
1546732208,2154,2487
1546818609,1580,1342
1546905009,1625,2023
1546991409,1328,1705
1547077809,1491,1679
1547164209,1713,2183
1547250610,2109,1540
1547337009,2055,1415
1547423409,1689,1225
1547509809,1935,1593
1547596209,2059,1675
1547682609,1885,1674
1547769009,2528,1974
1547855410,2105,1993
1547941809,1901,1511
1548028209,2004,1598
1548114609,2258,1866
1548201009,2410,2251
1548287409,2486,1852
1548373809,2496,2572
1548460209,2460,1386
1548546609,2160,1533
1548633010,2329,1105
1548719409,2759,1671
1548805810,2239,2289
1548892209,1418,1938
1548978610,1456,1483
1549065010,1641,1413
1549151410,1438,1421
1549237810,1243,1775
1549324210,2452,2404
1549410610,1903,1686
1549497009,2246,1892
1549583410,2194,2320
1549669809,1651,1997
1549756210,1941,1334
1549842610,1691,1459
1549929010,1637,1816
1550015410,2042,2476
1550101810,1515,2373
1550188210,1992,2277
1550274609,1594,1504
1550361010,1740,1516
1550447409,1596,1335
1550533809,1614,2685
1550620210,1329,2266
1550706610,1687,1818
1550793009,1653,2092
1550879410,1823,1650
1550965809,1305,1534
1551052210,1245,1473
1551138610,1839,1940
1551225010,1695,2256
1551311411,1330,1664
1551397810,2046,1747
1551484210,1604,1637
1551570610,1852,1792
1551657011,1332,2064
1551743410,2060,2046
1551829810,2009,1891
1551916210,1991,2197
1552002611,2033,1981
1552089011,1483,1553
1552175411,1663,1180
1552261811,1614,1055
1552348210,2158,1354
1552434610,1788,1366
1552521010,1861,1542
1552607410,1882,2119
1552693810,1679,1469
1552780210,1151,1544
1552866610,1460,1853
1552953009,1818,2217
1553039409,1654,2572
1553125810,1698,1906
1553212209,1375,1768
1553298609,1727,1278
1553385010,1643,1287
1553471410,1696,1078
1553557810,1760,1359
1553644210,1901,1054
1553730609,1499,1347
1553817010,1855,1893
1553903410,1700,1721
1553989810,1245,1863
1554076210,780,1095
1554162610,1509,1592
1554249009,1284,1448
1554335409,1207,1920
1554421810,1355,1967
1554508210,1260,2380
1554594610,1200,2307
1554681010,1007,1706
1554767410,1375,1685
1554853809,1407,1434
1554940210,1378,1734
1555026610,1416,1648
1555113009,1243,1972
1555199409,1557,1981
1555285810,1056,1800
1555372210,1455,1979
1555458609,1373,2219
1555545009,1391,2118
1555631409,1584,2529
1555717809,1178,2149
1555804208,1250,1901
1555890608,930,2198
1555977009,1198,2190
1556063410,1924,2167
1556149810,1564,2518
1556236210,1520,2598
1556322609,1431,2507
1556409010,1094,2151
1556495409,990,2431
1556581809,1223,3046
1556668209,1300,2821
1556754608,1451,2981
1556841008,1511,938
1556927409,1591,790
1557013809,1327,1364
1557100209,1322,1268
1557186609,1586,2336
1557273008,1320,2000
1557359408,1475,2250
1557445809,1463,2317
1557532209,1436,1858
1557618609,1232,2289
1557701409,931,1895
1557784208,1460,1871
1557867009,1690,1925
1557949809,1344,1367
1558032608,1384,2032
1558119008,1219,1633
1558205409,1254,1700
1558288208,881,1769
1558374608,1367,1746
1558457409,1645,1575
1558543809,1522,1868
1558630209,1348,1667
1558713008,1169,1696
1558799408,1261,1233
1558885809,1049,1285
1558968608,1798,1928
1559051408,1625,1747
1559134209,1461,1351
1559220609,1465,2072
1559307009,1445,1689
1559393408,1368,1922
1559479808,1099,1478
1559566209,1188,2140
1559652609,1330,2126
1559739008,1131,2140
1559825409,1256,2151
1559911809,1450,1706
1559994609,1311,1646
1560077409,1075,1647
1560163808,1253,2300
1560250209,1393,1796
1560336608,1383,1963
1560423009,1348,2166
1560509409,1443,1791
1560595808,1415,1363
1560682208,1044,1500
1560768609,1228,1785
1560855008,1437,1667
1560941409,1498,1787
1561027808,1322,1418
1561114208,1273,1649
1561200608,1019,1648
1561287007,878,1854
1561373409,1093,2005
1561459808,1671,1994
1561546208,1264,1603
1561632608,1384,2106
1561719008,1387,1981
1561805408,1448,1136
1561891808,1071,853
1561978208,1331,1574
1562064608,1587,1312
1562151008,1831,1322
1562237408,1282,1344
1562323807,1254,1408
1562406608,1106,1232
1562493008,1040,1028
1562579408,1139,1324
1562662207,1385,1489
1562748608,1380,1475
1562835008,1293,1472
1562921408,1713,1402
1563004209,1421,1591
