DateTime,AddedIPs,RemovedIPs
1539518416,1247,1384
1539604815,1596,1546
1539691216,1700,2673
1539777617,1826,2649
1539864016,2154,3085
1539950415,2394,2629
1540036815,1728,1461
1540123216,1622,1428
1540209615,2025,1924
1540296016,2195,1259
1540382416,2056,1663
1540468816,1850,1448
1540555216,2021,1359
1540641615,1430,1240
1540728015,1437,1579
1540814415,1567,2139
1540900816,1694,2660
1540987215,2163,2389
1541073616,1849,2031
1541160016,1618,1728
1541246417,1472,1474
1541332815,1475,1660
1541419217,1980,1530
1541505616,2011,1897
1541592015,1754,1655
1541678418,2641,1656
1541764816,2194,1509
1541851217,1728,1425
1541937615,1735,1897
1542024016,1747,1593
1542110415,2207,1506
1542196815,2409,1648
1542283215,2460,1795
1542369615,1847,1697
1542456015,1587,1346
1542542416,1397,2289
1542628816,2077,1788
1542715216,2478,1545
1542801616,1931,1346
1542888017,2271,2298
1542974415,1646,1676
1543060816,1678,1067
1543147216,1533,1360
1543233616,1636,1419
1543320017,2193,1463
1543406414,1907,1730
1543492816,1792,1685
1543579215,1653,1529
1543665616,1989,1528
1543752017,1780,1755
1543838415,1879,2155
1543924816,1912,2589
1544011216,1943,1871
1544097616,1936,1737
1544184018,1999,1802
1544270415,1404,1577
1544356816,1076,1850
1544443216,1194,1945
1544529617,1457,1890
1544616015,1513,1750
1544702415,1940,1997
1544788816,1608,1911
1544875215,1628,1619
1544961616,1707,2402
1545048016,2394,1728
1545134416,2413,2552
1545220816,2114,2348
1545307216,1534,2131
1545393615,1466,1780
1545480015,1334,1328
1545566415,1206,1435
1545652816,1253,2189
1545739215,1087,2303
1545825616,1146,1512
1545912015,1710,1614
1545998416,2011,1489
1546084817,1885,1338
1546214416,2128,2852
1546300815,1685,1720
1546387216,1493,1572
1546473616,2010,1622
1546560016,1866,2807
1546646416,2419,2488
1546732816,2161,1342
1546819216,1570,2024
1546905616,1620,1705
1546992016,1329,1682
1547078416,1495,2187
1547164816,1722,1542
1547251219,2115,1416
1547337615,2049,1225
1547424016,1693,1596
1547510416,1942,1620
1547596816,2053,1728
1547683216,1898,1980
1547769616,2523,1998
1547856016,2110,1512
1547942416,1898,1601
1548028816,2010,1869
1548115215,2260,2253
1548201617,2412,1855
1548288016,2496,2575
1548374416,2503,1386
1548460816,2445,1534
1548547215,2168,1106
1548633616,2334,1674
1548720016,2754,2291
1548806416,2253,1939
1548892815,1401,1484
1548979216,1468,1421
1549065616,1639,1426
1549152016,1444,1778
1549238417,1250,2410
1549324817,2454,1688
1549411216,1905,1894
1549497616,2253,2322
1549584016,2192,2002
1549670416,1658,1334
1549756816,1936,1462
1549843216,1696,1816
1549929616,1641,2477
1550016016,2044,2376
1550102416,1510,2280
1550188816,2000,1505
1550275216,1591,1423
1550361615,1746,1429
1550448016,1592,2689
1550534416,1616,2267
1550620816,1329,1816
1550707215,1693,2091
1550793616,1655,1666
1550880016,1830,1534
1550966416,1305,1473
1551052816,1243,1940
1551139216,1848,2257
1551225617,1689,1665
1551312018,1334,1749
1551398416,2046,1637
1551484817,1603,1794
1551571217,1867,2066
1551657616,1321,2047
1551744017,2066,1896
1551830418,2016,2199
1551916817,1987,1982
1552003217,2038,1555
1552089618,1484,1180
1552176017,1670,1054
1552262416,1605,1357
1552348816,2164,1367
1552435216,1785,1544
1552521617,1865,2120
1552608017,1885,1471
1552694416,1675,1545
