DateTime,Entries,UniqueIPs
1539518416,197358,197358
1539604815,197408,197408
1539691216,196435,196435
1539777617,195612,195612
1539864016,194681,194681
1539950415,194446,194446
1540036815,194713,194713
1540123216,194907,194907
1540209615,195008,195008
1540296016,195944,195944
1540382416,196337,196337
1540468816,196739,196739
1540555216,197401,197401
1540641615,197591,197591
1540728015,197449,197449
1540814415,196877,196877
1540900816,195911,195911
1540987215,195685,195685
1541073616,195503,195503
1541160016,195393,195393
1541246417,195391,195391
1541332815,195206,195206
1541419217,195656,195656
1541505616,195770,195770
1541592015,195869,195869
1541678418,196854,196854
1541764816,197539,197539
1541851217,197842,197842
1541937615,197680,197680
1542024016,197834,197834
1542110415,198535,198535
1542196815,199296,199296
1542283215,199961,199961
1542369615,200111,200111
1542456015,200352,200352
1542542416,199460,199460
1542628816,199749,199749
1542715216,200682,200682
1542801616,201267,201267
1542888017,201240,201240
1542974415,201210,201210
1543060816,201821,201821
1543147216,201994,201994
1543233616,202211,202211
1543320017,202941,202941
1543406414,203118,203118
1543492816,203225,203225
1543579215,203349,203349
1543665616,203810,203810
1543752017,203835,203835
1543838415,203559,203559
1543924816,202882,202882
1544011216,202954,202954
1544097616,203153,203153
1544184018,203350,203350
1544270415,203177,203177
1544356816,202403,202403
1544443216,201652,201652
1544529617,201219,201219
1544616015,200982,200982
1544702415,200925,200925
1544788816,200622,200622
1544875215,200631,200631
1544961616,199936,199936
1545048016,200602,200602
1545134416,200463,200463
1545220816,200229,200229
1545307216,199632,199632
1545393615,199318,199318
1545480015,199324,199324
1545566415,199095,199095
1545652816,198159,198159
1545739215,196943,196943
1545825616,196577,196577
1545912015,196673,196673
1545998416,197195,197195
1546084817,197742,197742
1546214416,197018,197018
1546300815,196983,196983
1546387216,196904,196904
1546473616,197292,197292
1546560016,196351,196351
1546646416,196282,196282
1546732816,197101,197101
1546819216,196647,196647
1546905616,196562,196562
1546992016,196209,196209
1547078416,195517,195517
1547164816,195697,195697
1547251219,196396,196396
1547337615,197220,197220
1547424016,197317,197317
1547510416,197639,197639
1547596816,197964,197964
1547683216,197882,197882
1547769616,198407,198407
1547856016,199005,199005
1547942416,199302,199302
1548028816,199443,199443
1548115215,199450,199450
1548201617,200007,200007
1548288016,199928,199928
1548374416,201045,201045
1548460816,201956,201956
1548547215,203018,203018
1548633616,203678,203678
1548720016,204141,204141
1548806416,204455,204455
1548892815,204372,204372
1548979216,204419,204419
1549065616,204632,204632
1549152016,204298,204298
1549238417,203138,203138
1549324817,203904,203904
1549411216,203915,203915
1549497616,203846,203846
1549584016,204036,204036
1549670416,204360,204360
1549756816,204834,204834
1549843216,204714,204714
1549929616,203878,203878
1550016016,203546,203546
1550102416,202776,202776
1550188816,203271,203271
1550275216,203439,203439
1550361615,203756,203756
1550448016,202659,202659
1550534416,202008,202008
1550620816,201521,201521
1550707215,201123,201123
1550793616,201112,201112
1550880016,201408,201408
1550966416,201240,201240
1551052816,200543,200543
1551139216,200134,200134
1551225617,200158,200158
1551312018,199743,199743
1551398416,200152,200152
1551484817,199961,199961
1551571217,199762,199762
1551657616,199036,199036
1551744017,199206,199206
1551830418,199023,199023
1551916817,199028,199028
1552003217,199511,199511
1552089618,199815,199815
1552176017,200431,200431
1552262416,200679,200679
1552348816,201476,201476
1552435216,201717,201717
1552521617,201462,201462
1552608017,201876,201876
1552694416,202006,202006
1552780817,201302,201302
1552867217,200550,200550
1552953617,199796,199796
1553040017,199541,199541
1553126416,199484,199484
1553212816,199588,199588
1553299216,200010,200010
1553385618,200568,200568
1553472018,200919,200919
1553558417,201614,201614
1553644818,202187,202187
1553731217,201778,201778
1553817616,201922,201922
1553904016,201755,201755
1553990417,201894,201894
1554076817,201079,201079
1554163216,201144,201144
1554249616,200512,200512
1554336017,199752,199752
1554422416,198734,198734
1554508817,197682,197682
1554595215,197170,197170
1554681616,196498,196498
1554768015,196434,196434
1554854416,196106,196106
1554940817,195834,195834
1555027217,195278,195278
1555113616,194552,194552
1555200016,194299,194299
1555286415,193381,193381
1555372817,192614,192614
1555459217,191874,191874
1555545616,190735,190735
