DateTime,AddedIPs,RemovedIPs
1577268335,0,8
1577275507,13,0
1577304307,0,1
1577315106,1,0
1577325904,0,1
1577333105,0,1
1577336704,0,1
1577354704,4,14
1577369103,0,1
1577376303,0,1
1577383499,1,0
1577390703,0,4
1577441103,5,3
1577448299,0,5
1577459100,1,0
1577477098,1,1
1577484300,0,1
1577527504,9,2
1577541903,0,1
1577567100,0,2
1577599501,1,0
1577613904,7,5
1577675094,1,0
1577700297,7,9
1577707491,0,1
1577750692,0,1
1577761493,0,1
1577783112,0,3
1577786694,7,7
1577801091,0,1
1577804692,0,1
1577855092,1,0
1577873095,15,9
1577880295,0,4
1577887495,0,1
1577919893,0,1
1577959496,6,7
1577977493,1,0
1577984693,1,0
1577988292,0,1
1577995487,0,1
1578013489,0,5
1578020689,0,1
1578045891,6,8
1578063890,0,1
1578081886,0,1
1578132292,8,12
1578135887,1,0
1578150288,0,1
1578193489,0,1
1578204283,0,2
1578218689,8,12
1578240283,0,1
1578261881,0,1
1578294282,0,1
1578305086,12,9
1578312279,1,0
1578341081,0,1
1578377077,0,3
1578384299,0,1
1578391480,12,8
1578398678,0,1
1578402281,0,1
1578409478,0,1
1578452675,0,1
1578459876,0,1
1578477880,9,16
1578481475,0,1
1578492274,0,1
1578521079,0,1
1578535477,0,1
1578539078,0,1
1578542676,0,2
1578564274,8,24
1578575074,0,1
1578582273,0,4
1578589473,0,1
1578596678,0,1
1578607627,2,1
1578632676,0,1
1578636276,0,1
1578643516,0,1
1578650675,9,5
1578654276,0,2
1578661475,0,1
1578672274,0,3
1578675875,2,2
1578679472,0,1
1578683072,1,0
1578697469,0,1
1578701078,0,2
1578708276,0,1
1578711877,0,1
1578715478,0,3
1578719076,0,5
1578722680,0,2
1578737081,4,6
1578740680,0,1
1578762279,0,2
1578769483,0,2
1578780283,0,4
1578823488,9,7
1578841486,0,2
1578852287,0,2
1578863085,0,2
1578884689,0,2
1578888299,0,3
1578891884,0,4
1578895483,0,5
1578906312,0,1
1578909889,9,4
1578917087,0,1
1578924288,0,1
1578927887,0,3
1578935086,1,2
1578938687,0,5
1578942288,1,1
1578960293,2,1
1578963889,1,0
1578974689,0,1
1578978291,0,4
1578989105,0,4
1578992704,0,1
1578996286,4,8
1578999886,0,1
1579003486,0,7
1579007085,0,8
1579014288,7,1
1579021484,0,2
1579025085,0,5
1579028683,0,1
1579032287,1,0
1579043085,1,7
1579057487,0,1
1579061087,0,2
1579071886,0,5
1579075505,0,3
1579079104,0,1
1579082679,9,4
1579097083,0,1
1579100685,2,3
1579107886,3,0
1579111485,1,2
1579115085,0,3
1579118687,0,1
1579125886,0,1
1579129488,1,0
1579140287,0,1
1579147486,1,0
1579154687,0,5
1579158288,0,1
1579161931,0,3
1579169089,3,10
1579172692,2,3
1579183489,1,5
1579187086,0,3
1579194296,0,7
1579197887,0,1
1579201491,0,5
1579205091,0,64
1579208691,3,2
1579212285,0,1
1579215891,0,2
1579223089,2,1
1579230292,1,0
1579248319,1,0
1579255494,7,9
1579259089,1,2
1579269893,0,5
1579273494,1,1
1579277096,0,1
1579280697,0,4
1579284299,0,1
1579291496,0,2
1579295097,0,5
1579298697,3,0
1579302297,2,13
1579327500,1,0
1579338321,1,0
1579341900,7,6
1579345501,7,0
1579352701,4,0
1579359902,2,0
1579363502,1,0
1579367104,2,0
1579381503,1,0
1579388706,1,0
1579395906,0,1
1579399506,1,0
1579403105,3,0
1579406708,4,0
1579413911,2,0
1579424731,1,0
1579428309,66,8
1579446308,1,0
1579449913,0,2
1579460712,1,0
1579485914,1,0
1579489516,2,0
1579507546,1,0
1579514721,17,11
1579529121,3,0
1579532724,2,0
1579536323,4,1
1579543521,1,0
1579547118,1,0
1579550725,1,0
1579554322,1,0
1579572324,1,0
1579601132,14,1
1579604728,3,0
1579619127,3,0
1579626329,2,0
1579640729,1,0
1579651533,3,0
1579655130,1,0
1579662331,1,0
1579676734,1,0
1579687533,4,13
1579691129,1,0
1579694727,1,0
1579705526,1,0
1579716329,0,1
1579723528,1,0
1579730727,1,0
1579734331,1,0
1579745128,1,0
1579752330,1,0
1579755932,1,0
1579773929,7,22
1579788326,1,0
1579809926,1,0
1579820732,1,0
1579831532,1,0
1579838736,1,0
1579860336,6,5
1579896335,1,0
1579925136,1,0
1579939581,2,0
1579946739,6,8
1579971936,1,0
1579975538,1,0
1580025976,1,0
1580029556,1,0
1580033136,7,61
1580076338,3,0
1580079933,1,0
1580083538,1,0
1580101537,1,0
1580119537,5,12
1580159137,1,0
1580180741,1,0
1580187939,1,0
1580205945,7,8
1580209544,2,0
1580231146,0,2
1580249144,1,0
1580270745,1,0
1580277950,1,0
1580292343,5,1
1580328342,0,1
1580331948,1,0
1580357145,0,1
1580364353,1,0
1580378748,8,10
1580461568,1,0
