DateTime,Entries,UniqueIPs
1577268335,1506,1506
1577275507,1519,1519
1577304307,1518,1518
1577315106,1519,1519
1577325904,1518,1518
1577333105,1517,1517
1577336704,1516,1516
1577354704,1506,1506
1577369103,1505,1505
1577376303,1504,1504
1577383499,1505,1505
1577390703,1501,1501
1577441103,1503,1503
1577448299,1498,1498
1577459100,1499,1499
1577477098,1499,1499
1577484300,1498,1498
1577527504,1505,1505
1577541903,1504,1504
1577567100,1502,1502
1577599501,1503,1503
1577613904,1505,1505
1577675094,1506,1506
1577700297,1504,1504
1577707491,1503,1503
1577750692,1502,1502
1577761493,1501,1501
1577783112,1498,1498
1577786694,1498,1498
1577801091,1497,1497
1577804692,1496,1496
1577855092,1497,1497
1577873095,1503,1503
1577880295,1499,1499
1577887495,1498,1498
1577919893,1497,1497
1577959496,1496,1496
1577977493,1497,1497
1577984693,1498,1498
1577988292,1497,1497
1577995487,1496,1496
1578013489,1491,1491
1578020689,1490,1490
1578045891,1488,1488
1578063890,1487,1487
1578081886,1486,1486
1578132292,1482,1482
1578135887,1483,1483
1578150288,1482,1482
1578193489,1481,1481
1578204283,1479,1479
1578218689,1475,1475
1578240283,1474,1474
1578261881,1473,1473
1578294282,1472,1472
1578305086,1475,1475
1578312279,1476,1476
1578341081,1475,1475
1578377077,1472,1472
1578384299,1471,1471
1578391480,1475,1475
1578398678,1474,1474
1578402281,1473,1473
1578409478,1472,1472
1578452675,1471,1471
1578459876,1470,1470
1578477880,1463,1463
1578481475,1462,1462
1578492274,1461,1461
1578521079,1460,1460
1578535477,1459,1459
1578539078,1458,1458
1578542676,1456,1456
1578564274,1440,1440
1578575074,1439,1439
1578582273,1435,1435
1578589473,1434,1434
1578596678,1433,1433
1578607627,1434,1434
1578632676,1433,1433
1578636276,1432,1432
1578643516,1431,1431
1578650675,1435,1435
1578654276,1433,1433
1578661475,1432,1432
1578672274,1429,1429
1578675875,1429,1429
1578679472,1428,1428
1578683072,1429,1429
1578697469,1428,1428
1578701078,1426,1426
1578708276,1425,1425
1578711877,1424,1424
1578715478,1421,1421
1578719076,1416,1416
1578722680,1414,1414
1578737081,1412,1412
1578740680,1411,1411
1578762279,1409,1409
1578769483,1407,1407
1578780283,1403,1403
1578823488,1405,1405
1578841486,1403,1403
1578852287,1401,1401
1578863085,1399,1399
1578884689,1397,1397
1578888299,1394,1394
1578891884,1390,1390
1578895483,1385,1385
1578906312,1384,1384
1578909889,1389,1389
1578917087,1388,1388
1578924288,1387,1387
1578927887,1384,1384
1578935086,1383,1383
1578938687,1378,1378
1578942288,1378,1378
1578960293,1379,1379
1578963889,1380,1380
1578974689,1379,1379
1578978291,1375,1375
1578989105,1371,1371
1578992704,1370,1370
1578996286,1366,1366
1578999886,1365,1365
1579003486,1358,1358
1579007085,1350,1350
1579014288,1356,1356
1579021484,1354,1354
1579025085,1349,1349
1579028683,1348,1348
1579032287,1349,1349
1579043085,1343,1343
1579057487,1342,1342
1579061087,1340,1340
1579071886,1335,1335
1579075505,1332,1332
1579079104,1331,1331
1579082679,1336,1336
1579097083,1335,1335
1579100685,1334,1334
1579107886,1337,1337
1579111485,1336,1336
1579115085,1333,1333
1579118687,1332,1332
1579125886,1331,1331
1579129488,1332,1332
1579140287,1331,1331
1579147486,1332,1332
1579154687,1327,1327
1579158288,1326,1326
1579161931,1323,1323
1579169089,1316,1316
1579172692,1315,1315
1579183489,1311,1311
1579187086,1308,1308
1579194296,1301,1301
1579197887,1300,1300
1579201491,1295,1295
