DateTime,AddedIPs,RemovedIPs
1579446196,0,1
1579453395,0,1
1579460595,3,0
1579467795,1,0
1579471395,3,1
1579474936,0,1
1579482195,0,1
1579489396,1,1
1579492996,1,0
1579496596,0,3
1579503736,11,1
1579507396,1,0
1579518137,1,3
1579521796,1,0
1579528996,0,1
1579539797,4,4
1579543397,0,1
1579550537,0,1
1579561427,1,0
1579565026,1,0
1579579366,1,2
1579586626,17,1
1579590166,0,2
1579604566,1,2
1579611766,0,2
1579626227,0,1
1579633427,0,1
1579637234,1,2
1579640593,1,1
1579644194,2,0
1579647794,1,1
1579654933,0,1
1579661653,0,1
1579669393,1,0
1579672993,1,0
1579680193,0,1
1579690993,1,1
1579694534,0,3
1579708994,0,1
1579712594,1,2
1579723394,1,0
1579730534,0,1
1579734194,0,1
1579748594,1,0
1579752194,0,2
1579755794,1,0
1579762994,0,1
1579766534,0,1
1579773734,0,2
1579777395,0,1
1579784595,0,1
1579791735,1,1
1579806195,0,1
1579815255,0,2
1579820596,0,1
1579827736,0,2
1579834997,0,1
1579842136,0,1
1579845797,0,1
1579849396,3,0
1579852936,3,0
1579856596,0,1
1579863796,0,2
1579881738,1,3
1579885337,2,0
1579888997,0,1
1579892596,3,0
1579896198,3,0
1579899796,0,1
1579910597,0,1
1579914137,1,2
1579917737,1,0
1579924938,0,1
1579928538,0,2
1579932197,0,3
1579939398,0,1
1579942997,1,0
1579957397,2,1
1579960999,1,0
1579975397,2,1
1579982537,3,4
1579989797,0,1
1579993337,1,0
1579996998,3,1
1580004139,0,1
1580014998,0,1
1580018538,0,1
1580022198,0,3
1580025738,2,1
1580032999,0,1
1580036599,1,1
1580047398,1,1
1580050999,0,1
1580054539,1,0
1580058199,1,0
1580061798,1,0
1580065398,0,1
1580068999,0,1
1580072599,1,0
1580076199,0,1
1580079799,0,2
1580090599,1,2
1580097800,0,1
1580101400,0,1
1580104999,1,0
1580108599,0,4
1580115739,0,1
1580137399,0,2
1580144541,0,1
1580148199,1,0
1580151740,1,2
1580155399,2,1
1580162600,1,2
1580166141,41,0
1580169801,1,1
1580180600,2,1
1580194940,0,3
1580198601,1,2
1580202140,1,1
1580209401,0,1
1580216540,0,2
1580223801,1,1
1580231001,0,2
1580238202,1,0
1580241741,1,1
1580245761,0,1
1580250802,1,0
1580256141,1,2
1580259742,1,0
1580263401,2,2
1580266941,1,0
1580270541,1,0
1580274201,0,2
1580277741,0,1
1580285001,1,1
1580288601,1,2
1580292201,0,1
1580295741,0,2
1580303001,0,3
1580313802,0,4
1580321002,0,2
1580324602,4,1
1580331802,8,2
1580335402,12,0
1580339002,1,2
1580342722,0,1
1580348302,0,1
1580349802,0,1
1580357002,4,1
1580360542,1,2
1580364143,0,1
1580367803,0,9
1580371409,0,2
1580375002,1,0
1580382203,1,1
1580385804,0,3
1580392943,0,1
1580403803,0,1
1580414604,2,0
1580418144,2,0
1580421743,0,2
1580425404,2,0
1580428943,1,0
1580432544,0,1
1580447004,0,1
1580454203,0,3
1580457744,0,1
1580472265,1,2
1580475804,1,0
1580479344,2,0
1580486545,0,2
1580493745,0,2
1580497405,0,2
1580508144,0,1
1580515464,1,1
1580523746,0,1
1580526205,1,0
1580529744,1,0
1580533404,0,3
1580536945,0,2
1580540605,2,0
1580551405,2,0
1580558605,0,2
1580565805,1,0
1580569406,1,1
1580583746,1,2
1580587405,1,2
1580594606,2,1
1580601806,1,1
1580612546,1,1
1580619746,18,6
1580626946,1,3
1580634206,0,4
1580655806,2,8
1580659406,0,1
1580666546,9,0
1580670146,2,0
1580673806,0,1
1580680946,0,1
1580688146,3,3
1580691747,2,3
1580699007,0,1
1580705127,0,2
1580713348,1,1
1580717007,0,1
1580720548,0,3
1580727808,0,2
1580742207,0,1
1580753008,0,1
1580756607,1,0
1580763809,0,1
1580767409,0,4
1580770948,1,0
1580774608,0,1
1580781808,0,1
1580785348,0,5
1580788948,1,0
1580792609,1,4
1580799749,1,2
1580803409,1,4
1580810548,0,1
1580814209,1,0
1580817809,0,1
1580828549,0,1
1580835809,2,1
1580839409,1,0
1580843009,1,0
1580850213,4,1
1580851252,1,0
1580857431,0,3
1580860971,1,0
1580864572,2,0
1580875372,0,3
1580878972,21,0
1580886172,1,1
1580889772,0,3
1580896972,1,0
1580900572,1,1
1580904232,1,0
1580911372,0,1
1580914972,1,0
1580918572,0,1
1580922172,0,1
1580925772,1,0
1580932972,0,1
1580943773,0,5
1580947436,0,4
1580950974,2,1
1580958173,0,1
1580961774,0,6
1580968973,0,4
1580972573,1,17
1580976174,0,2
1580983373,2,1
1580986974,2,0
1580994233,0,2
1580997773,0,1
1581001373,4,0
1581004973,0,2
1581008574,1,0
1581012173,0,149
1581015774,3,33
1581019373,1,0
1581026634,2,0
1581033774,1,2
1581040975,2,0
1581051774,0,2
1581055374,1,1
1581058974,1,0
1581062574,0,2
1581066174,0,1
1581080634,0,1
1581087774,0,1
1581094974,1,0
1581098575,0,1
1581102175,1,0
1581105775,2,0
1581112975,1,0
1581116575,0,1
1581120175,1,0
1581123775,0,1
1581134575,0,4
1581138175,1,1
1581145375,1,0
1581152576,1,0
1581156175,1,0
1581159776,1,1
1581170576,0,1
1581174176,1,0
1581177776,0,1
1581181436,0,1
1581184976,5,0
1581188576,4,0
1581192176,0,2
1581202976,1,0
1581206576,1,1
1581210176,2,0
1581213776,0,2
1581224576,1,1
1581231776,2,1
1581242576,1,0
1581249776,1,0
1581264177,0,1
1581267777,1,0
1581271377,2,1
1581274977,1,0
1581278577,2,4
1581282177,1,1
1581289377,1,3
1581292977,1,62
1581303777,0,2
1581307377,0,1
1581314577,1,1
1581318177,1,0
1581328978,0,1
1581332578,1,0
1581350578,2,1
1581357778,0,1
1581361378,1,0
1581364978,0,1
1581379378,0,1
1581390178,0,1
1581393778,58,0
1581400978,0,1
1581411779,2,1
1581415379,0,1
1581418980,7,1
1581422579,1,1
1581426179,0,1
1581429779,1,0
1581444179,1,0
1581454982,1,2
1581462179,0,2
1581465779,1,0
1581469381,0,1
1581487380,1,0
1581505381,0,2
1581512580,0,1
1581530580,2,2
1581537781,0,1
1581544981,1,0
1581548580,1,0
1581555780,1,0
1581562980,1,1
1581570181,0,1
1581577381,1,0
1581580981,0,1
1581602581,0,2
1581606181,0,2
1581616981,1,1
1581620581,0,1
