DateTime,Entries,UniqueIPs
1579446196,1367,1768
1579453395,1366,1767
1579460595,1369,1770
1579467795,1370,1771
1579471395,1372,1773
1579474936,1371,1772
1579482195,1370,1771
1579489396,1370,1771
1579492996,1371,1772
1579496596,1368,1769
1579503736,1372,1779
1579507396,1373,1780
1579518137,1371,1778
1579521796,1372,1779
1579528996,1371,1778
1579539797,1371,1778
1579543397,1370,1777
1579550537,1369,1776
1579561427,1370,1777
1579565026,1371,1778
1579579366,1370,1777
1579586626,1384,1793
1579590166,1382,1791
1579604566,1381,1790
1579611766,1379,1788
1579626227,1378,1787
1579633427,1377,1786
1579637234,1376,1785
1579640593,1376,1785
1579644194,1378,1787
1579647794,1378,1787
1579654933,1377,1786
1579661653,1376,1785
1579669393,1377,1786
1579672993,1378,1787
1579680193,1377,1786
1579690993,1377,1786
1579694534,1374,1783
1579708994,1373,1782
1579712594,1372,1781
1579723394,1373,1782
1579730534,1372,1781
1579734194,1371,1780
1579748594,1372,1781
1579752194,1370,1779
1579755794,1371,1780
1579762994,1370,1779
1579766534,1369,1778
1579773734,1368,1776
1579777395,1367,1775
1579784595,1366,1774
1579791735,1366,1774
1579806195,1365,1773
1579815255,1363,1771
1579820596,1362,1770
1579827736,1360,1768
1579834997,1359,1767
1579842136,1358,1766
1579845797,1357,1765
1579849396,1360,1768
1579852936,1363,1771
1579856596,1362,1770
1579863796,1360,1768
1579881738,1358,1766
1579885337,1360,1768
1579888997,1359,1767
1579892596,1362,1770
1579896198,1365,1773
1579899796,1364,1772
1579910597,1363,1771
1579914137,1362,1770
1579917737,1363,1771
1579924938,1362,1770
1579928538,1360,1768
1579932197,1357,1765
1579939398,1356,1764
1579942997,1357,1765
1579957397,1358,1766
1579960999,1359,1767
1579975397,1360,1768
1579982537,1359,1767
1579989797,1358,1766
1579993337,1359,1767
1579996998,1361,1769
1580004139,1360,1768
1580014998,1359,1767
1580018538,1358,1766
1580022198,1355,1763
1580025738,1356,1764
1580032999,1355,1763
1580036599,1355,1763
1580047398,1355,1763
1580050999,1354,1762
1580054539,1355,1763
1580058199,1356,1764
1580061798,1357,1765
1580065398,1356,1764
1580068999,1355,1763
1580072599,1356,1764
1580076199,1355,1763
1580079799,1353,1761
1580090599,1352,1760
1580097800,1351,1759
1580101400,1350,1758
1580104999,1351,1759
1580108599,1347,1755
1580115739,1346,1754
1580137399,1344,1752
1580144541,1343,1751
1580148199,1344,1752
1580151740,1343,1751
1580155399,1344,1752
1580162600,1343,1751
1580166141,1371,1792
1580169801,1371,1792
1580180600,1372,1793
1580194940,1369,1790
1580198601,1368,1789
1580202140,1368,1789
1580209401,1367,1788
1580216540,1366,1786
1580223801,1366,1786
1580231001,1365,1784
1580238202,1366,1785
1580241741,1366,1785
1580245761,1365,1784
1580250802,1366,1785
1580256141,1365,1784
1580259742,1366,1785
1580263401,1366,1785
1580266941,1367,1786
1580270541,1368,1787
1580274201,1366,1785
1580277741,1365,1784
1580285001,1365,1784
1580288601,1364,1783
1580292201,1363,1782
1580295741,1362,1780
1580303001,1360,1777
1580313802,1356,1773
1580321002,1354,1771
1580324602,1352,1774
1580331802,1356,1780
1580335402,1356,1792
1580339002,1355,1791
1580342722,1354,1790
1580348302,1353,1789
1580349802,1352,1788
1580357002,1354,1791
1580360542,1351,1790
1580364143,1350,1789
1580367803,1343,1780
1580371409,1341,1778
1580375002,1342,1779
1580382203,1342,1779
1580385804,1339,1776
1580392943,1338,1775
1580403803,1337,1774
1580414604,1339,1776
1580418144,1340,1778
1580421743,1338,1776
1580425404,1339,1778
1580428943,1340,1779
1580432544,1339,1778
1580447004,1338,1777
1580454203,1335,1774
1580457744,1334,1773
1580472265,1333,1772
1580475804,1334,1773
1580479344,1336,1775
1580486545,1334,1773
1580493745,1332,1771
1580497405,1330,1769
1580508144,1329,1768
1580515464,1329,1768
1580523746,1328,1767
1580526205,1329,1768
1580529744,1330,1769
1580533404,1327,1766
1580536945,1325,1764
1580540605,1327,1766
1580551405,1329,1768
1580558605,1327,1766
1580565805,1328,1767
1580569406,1328,1767
1580583746,1327,1766
1580587405,1326,1765
1580594606,1327,1766
1580601806,1327,1766
1580612546,1327,1766
1580619746,1339,1778
1580626946,1337,1776
1580634206,1334,1772
1580655806,1328,1766
1580659406,1327,1765
1580666546,1318,1774
1580670146,1318,1776
1580673806,1317,1775
1580680946,1316,1774
1580688146,1316,1774
1580691747,1312,1773
1580699007,1311,1772
1580705127,1309,1770
1580713348,1309,1770
1580717007,1308,1769
1580720548,1305,1766
1580727808,1303,1764
1580742207,1302,1763
1580753008,1301,1762
1580756607,1302,1763
1580763809,1301,1762
1580767409,1298,1758
1580770948,1299,1759
1580774608,1298,1758
1580781808,1297,1757
1580785348,1293,1752
1580788948,1294,1753
1580792609,1291,1750
1580799749,1290,1749
1580803409,1287,1746
1580810548,1286,1745
1580814209,1287,1746
1580817809,1286,1745
1580828549,1285,1744
1580835809,1286,1745
1580839409,1287,1746
1580843009,1288,1747
1580850213,1291,1750
1580851252,1292,1751
1580857431,1289,1748
1580860971,1290,1749
1580864572,1292,1751
1580875372,1289,1748
1580878972,1296,1769
1580886172,1296,1769
1580889772,1293,1766
1580896972,1294,1767
1580900572,1294,1767
1580904232,1295,1768
1580911372,1294,1767
1580914972,1295,1768
1580918572,1294,1767
1580922172,1293,1766
1580925772,1294,1767
1580932972,1293,1766
1580943773,1288,1761
1580947436,1284,1757
1580950974,1285,1758
1580958173,1284,1757
1580961774,1278,1751
1580968973,1274,1747
1580972573,1258,1731
1580976174,1256,1729
1580983373,1257,1730
1580986974,1259,1732
1580994233,1258,1730
1580997773,1257,1729
1581001373,1260,1733
1581004973,1258,1731
1581008574,1259,1732
1581012173,1252,1583
1581015774,1237,1553
1581019373,1238,1554
1581026634,1240,1556
1581033774,1239,1555
1581040975,1241,1557
1581051774,1239,1555
1581055374,1239,1555
1581058974,1240,1556
1581062574,1238,1554
1581066174,1237,1553
1581080634,1236,1552
1581087774,1235,1551
1581094974,1236,1552
1581098575,1235,1551
1581102175,1236,1552
1581105775,1238,1554
1581112975,1239,1555
1581116575,1238,1554
1581120175,1239,1555
1581123775,1238,1554
1581134575,1235,1550
1581138175,1235,1550
1581145375,1236,1551
1581152576,1237,1552
1581156175,1238,1553
1581159776,1238,1553
1581170576,1237,1552
1581174176,1238,1553
1581177776,1237,1552
1581181436,1236,1551
1581184976,1240,1556
1581188576,1244,1560
1581192176,1242,1558
1581202976,1243,1559
1581206576,1243,1559
1581210176,1245,1561
1581213776,1243,1559
1581224576,1243,1559
1581231776,1244,1560
1581242576,1245,1561
1581249776,1246,1562
1581264177,1245,1561
1581267777,1246,1562
1581271377,1247,1563
1581274977,1248,1564
1581278577,1246,1562
1581282177,1246,1562
1581289377,1249,1560
1581292977,1240,1499
1581303777,1238,1497
1581307377,1237,1496
1581314577,1237,1496
1581318177,1238,1497
1581328978,1237,1496
1581332578,1238,1497
1581350578,1239,1498
1581357778,1238,1497
1581361378,1239,1498
1581364978,1238,1497
1581379378,1237,1496
1581390178,1236,1495
1581393778,1294,1553
1581400978,1293,1552
1581411779,1294,1553
1581415379,1293,1552
1581418980,1299,1558
1581422579,1299,1558
1581426179,1298,1557
1581429779,1299,1558
1581444179,1300,1559
1581454982,1299,1558
1581462179,1297,1556
1581465779,1298,1557
1581469381,1297,1556
1581487380,1298,1557
1581505381,1296,1555
1581512580,1295,1554
1581530580,1295,1554
1581537781,1294,1553
1581544981,1295,1554
1581548580,1296,1555
1581555780,1297,1556
1581562980,1297,1556
1581570181,1296,1555
1581577381,1297,1556
1581580981,1296,1555
1581602581,1294,1553
1581606181,1292,1551
1581616981,1292,1551
1581620581,1291,1550
1581631381,1290,1549
1581634982,1291,1550
1581638582,1289,1548
1581642182,1291,1550
1581652982,1289,1548
1581656582,1290,1549
1581660182,1288,1547
1581666662,1285,1544
1581681782,1285,1544
1581699783,1274,1529
1581703382,1274,1529
1581706983,1275,1530
1581710584,1275,1530
1581724984,1273,1528
1581732184,1269,1524
1581735783,1268,1523
1581742984,1267,1522
1581746584,1267,1522
1581750184,1270,1525
1581753784,1271,1526
1581764585,1272,1527
1581771784,1274,1529
1581778984,1274,1529
1581789724,1275,1530
1581793385,1275,1530
1581796984,1271,1526
1581800524,1272,1527
1581804185,1272,1527
1581807785,1276,1579
1581811385,1278,1699
1581814984,1272,1717
1581818585,1273,1718
1581822185,1277,1738
1581825724,1267,1728
1581836585,1268,1729
1581843784,1267,1728
1581847385,1266,1784
1581850985,1267,1785
1581858186,1268,1786
1581861786,1266,1784
1581872525,1265,1783
1581879786,1266,1784
1581886985,1268,1786
1581897786,1269,1787
1581904986,1269,1787
1581908585,1269,1787
1581919387,1269,1787
1581930186,1268,1786
1581937386,1269,1787
1581948187,1270,1788
1581951787,1269,1787
1581969788,1270,1788
1581973386,1269,1787
1581976986,1268,1786
1581980587,1269,1787
1581991387,1270,1788
1581994986,1269,1787
1582005787,1268,1786
1582009388,1266,1784
1582023788,1265,1783
1582034528,1267,1785
1582048928,1268,1786
1582052587,1269,1787
1582056188,1270,1788
1582081388,1269,1787
1582088588,1270,1788
1582092128,1270,1788
1582102988,1271,1789
1582106588,1272,1790
1582113728,1272,1790
1582117329,1269,1787
1582124528,1268,1786
1582128190,1266,1784
1582135388,1262,1780
1582138988,1263,1781
1582146188,1265,1783
1582149788,1264,1782
1582156989,1265,1783
1582164189,1264,1783
1582167789,1265,1785
1582171389,1264,1784
1582189329,1263,1783
1582192989,1263,1783
1582196589,1266,1786
1582200189,1267,1787
1582210989,1268,1788
1582214589,1267,1787
1582218189,1266,1786
1582221789,1267,1787
1582228990,1269,1789
1582236190,1269,1789
1582239790,1268,1788
1582243390,1267,1787
1582250590,1268,1788
1582257790,1267,1786
1582261390,1257,1766
1582261930,1258,1767
1582282991,1259,1768
1582311731,1257,1766
1582322593,1261,1770
1582326191,1262,1771
1582329792,1263,1772
1582333392,1264,1773
1582340591,1263,1772
1582358531,1262,1771
1582369393,1263,1772
1582372991,1264,1773
1582383793,1263,1772
1582387333,1263,1772
1582390992,1264,1773
1582398192,1265,1774
1582401732,1264,1773
1582408993,1267,1786
1582412532,1268,1787
1582416134,1270,1789
1582430592,1272,1791
1582437793,1262,1780
1582441393,1259,1777
1582444992,1260,1778
1582448593,1261,1779
1582455792,1264,1782
1582459393,1265,1783
1582462993,1264,1782
1582466593,1265,1783
1582470194,1262,1780
1582477334,1252,1770
1582488193,1253,1771
1582491793,1254,1772
1582498994,1255,1773
1582502595,1257,1775
1582506194,1257,1775
1582509794,1257,1775
1582520593,1258,1776
1582527795,1260,1778
1582531395,1261,1779
1582534994,1261,1779
1582542195,1262,1780
1582545795,1262,1780
1582549394,1265,1783
1582552994,1266,1784
1582578194,1265,1783
1582588934,1265,1783
1582596194,1265,1783
1582603395,1267,1785
1582606996,1266,1784
1582610596,1267,1785
1582614194,1267,1785
1582624995,1266,1784
1582628595,1267,1785
