DateTime,Entries,UniqueIPs
1580011399,966,966
1580014998,965,965
1580025738,966,966
1580029398,965,965
1580036599,964,964
1580047398,964,964
1580054539,965,965
1580058199,960,960
1580061798,959,959
1580065398,958,958
1580072599,958,958
1580079799,962,962
1580083399,963,963
1580090599,962,962
1580094139,963,963
1580104999,964,964
1580108599,965,965
1580112199,967,967
1580126599,966,966
1580137399,967,967
1580140999,969,969
1580148199,969,969
1580151740,969,969
1580155399,970,970
1580162600,971,971
1580166141,1012,1012
1580169801,1012,1012
1580180600,1014,1014
1580187740,1013,1013
1580191401,1011,1011
1580198601,1011,1011
1580202140,1011,1011
1580223801,1011,1011
1580227340,1012,1012
1580231001,1010,1010
1580238202,1010,1010
1580241741,1010,1010
1580245761,1006,1006
1580249361,999,999
1580250802,1001,1001
1580252601,999,999
1580256141,1008,1008
1580259742,1011,1011
1580263401,1013,1013
1580266941,1013,1013
1580270541,1011,1011
1580274201,1010,1010
1580281401,1009,1009
1580285001,1010,1010
1580288601,1010,1010
1580303001,1018,1018
1580321002,1017,1017
1580324602,1019,1019
1580331802,1027,1027
1580335402,1040,1040
1580339002,1041,1041
1580342722,1039,1039
1580348302,1038,1038
1580349802,1039,1039
1580353342,1040,1040
1580357002,1042,1042
1580360542,1043,1043
1580367803,1044,1044
1580375002,1044,1044
1580378602,1045,1045
1580382203,1046,1046
1580392943,1045,1045
1580400203,1038,1038
1580403803,1036,1036
1580414604,1036,1036
1580418144,1039,1039
1580421743,1020,1020
1580425404,1022,1022
1580428943,1022,1022
1580436203,1038,1038
1580439804,1037,1037
1580447004,1036,1036
1580450545,1035,1035
1580457744,1034,1034
1580472265,1034,1034
1580475804,1033,1033
1580479344,1034,1034
1580483004,1035,1035
1580493745,1034,1034
1580504545,1033,1033
1580508144,1032,1032
1580515464,1032,1032
1580523746,1028,1028
1580526205,1037,1037
1580529744,1036,1036
1580533404,1037,1037
1580536945,1036,1036
1580540605,1038,1038
1580551405,1038,1038
1580555005,1037,1037
1580562146,1038,1038
1580565805,1036,1036
1580569406,1036,1036
1580573005,1037,1037
1580583746,1036,1036
1580587405,1035,1035
1580591065,1034,1034
1580594606,1035,1035
1580598145,1035,1035
1580601806,1034,1034
1580612546,1032,1032
1580619746,1049,1049
1580623346,1048,1048
1580626946,1048,1048
1580634206,1044,1044
1580637806,1042,1042
1580648606,1040,1040
1580655806,1038,1038
1580659406,1036,1036
1580662946,1037,1037
1580666546,1045,1045
1580670146,1050,1050
1580688146,1050,1050
1580691747,1050,1050
1580699007,1049,1049
1580702607,1051,1051
1580713348,1051,1051
1580717007,1052,1052
1580724147,1051,1051
1580731407,1048,1048
1580745808,1046,1046
1580749349,1045,1045
1580756607,1043,1043
1580770948,1044,1044
1580774608,1041,1041
1580781808,1039,1039
1580785348,1041,1041
1580788948,1040,1040
1580792609,1021,1021
1580796148,1032,1032
1580799749,1027,1027
1580803409,1029,1029
1580806948,1028,1028
1580810548,1025,1025
1580814209,1024,1024
1580817809,1023,1023
1580821410,1025,1025
1580825009,1023,1023
1580828549,1022,1022
1580832209,1005,1005
1580835809,985,985
1580839409,984,984
1580843009,984,984
1580850213,990,990
1580851252,991,991
1580857431,992,992
1580860971,993,993
1580864572,995,995
1580868171,994,994
1580871772,993,993
1580875372,992,992
1580878972,1012,1012
1580886172,1012,1012
1580893372,1010,1010
1580896972,1010,1010
1580900572,1012,1012
1580904232,1011,1011
1580911372,1010,1010
1580914972,1009,1009
1580922172,1007,1007
1580925772,1008,1008
1580929373,1009,1009
1580932972,1008,1008
1580936633,1007,1007
1580940173,1006,1006
1580943773,1006,1006
1580947436,1003,1003
1580950974,1004,1004
1580954633,1003,1003
1580958173,1002,1002
1580961774,999,999
1580965433,998,998
1580968973,999,999
1580972573,998,998
1580983373,998,998
1580986974,998,998
1580990574,999,999
1580994233,998,998
1580997773,997,997
1581001373,996,996
1581008574,997,997
1581012173,998,998
1581015774,1001,1001
1581019373,1001,1001
1581026634,1001,1001
1581033774,1002,1002
1581040975,1003,1003
1581044634,1003,1003
1581048174,1003,1003
1581051774,1002,1002
1581055374,1003,1003
1581058974,1003,1003
1581066174,1007,1007
1581069774,1005,1005
1581073374,1006,1006
1581080634,1004,1004
1581087774,1002,1002
1581094974,1002,1002
1581098575,1001,1001
1581102175,1001,1001
1581105775,1001,1001
1581112975,1001,1001
1581116575,1002,1002
1581120175,1001,1001
1581138175,999,999
1581141775,1000,1000
1581145375,1000,1000
1581148975,999,999
1581152576,1000,1000
1581156175,999,999
1581159776,999,999
1581170576,999,999
1581174176,998,998
1581177776,997,997
1581181436,996,996
1581184976,1000,1000
1581188576,1004,1004
1581199376,1003,1003
1581202976,1004,1004
1581206576,1005,1005
1581210176,1005,1005
1581213776,1004,1004
1581220976,1003,1003
1581224576,1004,1004
1581228176,1002,1002
1581231776,1003,1003
1581242576,1002,1002
1581246176,1001,1001
1581249776,1001,1001
1581256977,1001,1001
1581264177,1000,1000
1581267777,1000,1000
1581271377,1000,1000
1581274977,1000,1000
1581278577,1000,1000
1581282177,999,999
1581285777,998,998
1581289377,999,999
1581292977,999,999
1581296577,1012,1012
1581300177,1013,1013
1581307377,1014,1014
1581310977,1015,1015
1581314577,1016,1016
1581318177,1016,1016
1581321777,1017,1017
1581332578,1016,1016
1581336178,1014,1014
1581350578,1016,1016
1581354178,1016,1016
1581357778,1016,1016
1581361378,1016,1016
1581364978,1014,1014
1581372178,1012,1012
1581375778,1011,1011
1581382978,1010,1010
1581393778,1067,1067
1581397379,1065,1065
1581400978,1064,1064
1581408179,1063,1063
1581411779,1065,1065
1581418980,1073,1073
1581422579,1075,1075
1581426179,1075,1075
1581429779,1076,1076
1581433380,1076,1076
1581440580,1076,1076
1581444179,1077,1077
1581447779,1076,1076
1581451388,1077,1077
1581454982,1078,1078
1581458579,1077,1077
1581462179,1076,1076
1581465779,1076,1076
1581483780,1077,1077
1581487380,1078,1078
1581494580,1079,1079
1581498180,1081,1081
1581501780,1080,1080
1581505381,1080,1080
1581508981,1080,1080
1581512580,1080,1080
1581519780,1079,1079
