DateTime,AddedIPs,RemovedIPs
1531056781,0,1
1531071181,22,0
1531078382,5,0
1531085581,2,1
1531096382,1,0
1531107181,1,0
1531114381,17,0
1531128781,2,1
1531132381,0,1
1531146782,2,1
1531157582,1,0
1531161182,0,1
1531171981,1,0
1531182781,2,0
1531197181,2,0
1531211582,5,0
1531222381,4,0
1531247581,8,0
1531258382,1,0
1531269182,2,0
1531287181,0,1
1531294381,1,0
1531297981,0,2
1531305181,0,1
1531312381,0,1
1531315982,1,1
1531326781,2,0
1531337581,1,0
1531348381,1,0
1531359181,0,1
1531369982,0,1
1531391581,0,2
1531395182,1,0
1531405982,1,0
1531434781,1,0
1531456382,2,0
1531467181,1,0
1531477981,1,1
1531499581,1,0
1531503181,0,1
1531506781,2,0
1531517582,1,0
1531524781,1,0
1531557181,0,1
1531571582,0,1
1531585982,0,1
1531614781,1,0
1531643581,1,0
1531654382,1,2
1531661582,1,0
1531665181,0,1
1531679581,1,0
1531686781,0,1
1531697581,0,1
1531715581,0,1
1531737181,0,2
1531740782,1,0
1531762381,0,2
1531791181,0,1
1531794782,2,0
1531805582,0,2
1531816382,1,1
1531819981,0,1
1531837981,3,0
1531845181,0,2
1531848781,1,0
1531906382,0,1
1531909981,0,1
1531927981,1,0
1531931581,0,1
1531935181,0,1
1531945981,0,1
1531978381,0,2
1531996381,0,1
1532014381,0,1
1532035981,0,2
1532064781,0,1
1532071981,0,1
1532082781,0,1
1532086382,0,1
1532107982,1,2
1532115182,3,0
1532129581,0,1
1532151181,0,2
1532161982,0,1
1532165582,0,1
1532179981,2,0
1532183582,0,1
1532194381,0,2
1532197981,5,0
1532205181,3,0
1532215981,0,1
1532226781,0,2
1532233982,0,1
1532237582,2,1
1532244783,2,0
1532248381,0,1
1532255582,1,2
1532313181,0,1
1532323982,2,0
1532327582,0,1
1532331182,0,1
1532338381,0,1
1532352781,0,1
1532363581,0,1
1532377981,2,0
1532410382,0,1
1532421181,0,1
1532442781,0,1
1532446381,0,1
1532464382,0,2
1532467981,0,1
1532485982,0,1
1532500381,0,1
1532507581,1,2
1532518381,0,2
1532536381,0,1
1532543582,0,1
1532550782,0,1
1532565181,1,0
1532568781,0,1
1532572382,3,0
1532575982,0,1
1532579581,0,2
1532583181,0,1
1532601181,0,2
1532604781,0,1
1532608381,5,0
1532611981,0,1
1532615581,0,2
1532622781,0,1
1532640781,1,0
1532662382,1,0
1532665981,0,1
1532676781,1,0
1532687581,0,3
1532691181,0,1
1532694781,0,1
1532701981,1,1
1532709181,0,1
1532712781,0,1
1532719982,0,2
1532723581,0,1
1532727182,0,1
1532737981,0,3
1532748781,0,1
1532752381,0,2
1532781182,1,0
1532784781,0,1
1532788382,1,0
1532795581,1,1
1532802782,1,0
1532809981,0,3
1532824381,1,2
1532831582,2,0
1532838781,0,1
1532849581,0,2
1532867581,0,1
1532871182,0,5
1532878381,1,0
1532881981,1,1
1532914382,0,1
1532925182,2,0
1532932381,2,0
1532939581,2,0
1532943182,0,1
1532961181,0,1
1532964781,0,1
1532982782,1,0
1532993582,0,1
1532997181,0,2
1533004381,0,2
1533015181,0,2
1533018782,0,0
1580212826,57,342
1580216425,14,0
1580220026,17,0
1580223025,6,0
1580226625,6,0
1580232781,5,0
1580236381,3,0
1580239981,4,0
1580243581,2,0
1580247181,2,0
1580250781,6,0
1580254381,3,0
1580257981,5,0
1580261581,6,0
1580265181,1,0
1580268782,9,0
1580272382,2,0
1580275981,3,0
1580279582,6,0
1580286782,6,0
1580293982,5,0
1580297581,1,0
1580301181,5,0
1580304781,2,0
1580311981,5,0
1580315582,5,0
1580319181,3,0
1580322781,3,0
1580326381,1,0
1580329982,1,0
1580333581,3,0
1580337181,4,0
1580340781,2,0
1580344381,1,0
1580351581,2,0
1580355181,2,0
1580362381,3,0
1580365981,2,0
1580369581,2,0
1580373181,3,0
1580376781,3,0
1580380381,3,0
1580383982,2,0
1580391181,1,0
1580394782,1,0
1580401982,1,0
1580409181,2,0
1580412782,1,0
1580416382,3,0
1580419982,5,0
1580423581,1,0
1580427181,2,0
1580430781,2,0
1580437981,3,0
1580445182,1,0
1580448781,3,0
1580455981,1,0
1580459582,2,0
1580463181,2,0
1580466782,1,0
1580473982,1,0
1580477581,2,0
1580481182,1,0
1580484782,2,0
1580491981,1,0
1580499181,1,0
1580506382,1,0
1580509982,2,0
1580513582,4,0
1580517181,1,0
1580520781,1,0
1580524382,1,0
1580531581,1,0
1580535182,1,0
1580542381,4,0
1580549581,1,0
1580553182,1,0
1580556781,1,0
