DateTime,AddedIPs,RemovedIPs
1580661182,11,11
1580664781,12,12
1580668381,12,11
1580671982,11,11
1580675581,14,12
1580679181,16,17
1580682781,13,15
1580686382,15,11
1580689981,7,7
1580693581,11,16
1580697182,13,11
1580700781,15,15
1580704382,14,12
1580707981,14,15
1580711582,20,20
1580715181,12,13
1580718782,18,17
1580722382,15,13
1580725981,13,12
1580729581,15,19
1580733181,10,11
1580736782,17,16
1580740381,19,17
1580743981,14,14
1580747581,12,12
1580751182,20,18
1580758381,16,16
1580761981,11,9
1580765581,12,14
1580772781,18,17
1580776382,13,11
1580779981,12,15
1580787182,19,22
1580790781,18,16
1580797981,14,13
1580801581,16,17
1580805181,16,16
1580808782,13,12
1580815981,16,16
1580819581,17,18
1580823182,13,15
1580826781,13,14
1580830382,11,9
1580833981,8,8
1580837582,11,9
1580841181,10,13
1580844781,4,6
1580848381,12,12
1580851981,13,12
1580855582,12,9
1580859182,15,15
1580862781,10,12
1580866381,15,13
1580869982,9,8
1580877181,21,25
1580880782,11,10
1580887981,14,13
1580891581,12,15
1580895181,18,16
1580898782,11,10
1580905981,10,12
1580909581,20,17
1580913181,10,16
1580916781,10,12
1580920381,12,10
1580923982,20,16
1580927581,14,14
1580931181,9,11
1580934781,14,13
1580938382,16,13
1580941981,13,12
1580945581,10,10
1580949181,10,9
1580952781,14,18
1580956381,12,11
1580963581,18,18
1580970781,13,13
1580974381,15,13
1580977981,16,16
1580981581,10,13
1580985181,7,8
1580988782,10,8
1580992382,14,12
1580995982,11,11
1580999581,16,18
1581006781,10,11
1581010382,11,11
1581013981,12,9
1581017581,10,14
1581021181,6,6
1581024781,6,5
1581028381,9,8
1581031981,10,10
1581035581,7,8
1581039181,12,11
1581042781,13,15
1581046382,8,8
1581049981,9,8
1581053581,10,9
1581057182,12,12
1581060781,10,13
1581067981,18,17
1581071581,12,12
1581075181,14,13
1581078781,19,17
1581082381,11,17
1581085982,11,8
1581089581,15,13
1581093181,12,14
1581096782,15,16
1581100381,16,13
1581103982,14,15
1581111181,15,15
1581114781,15,15
1581118381,15,15
1581121981,17,15
1581125581,12,15
1581129182,17,15
1581132781,11,10
1581136382,12,13
1581139981,20,19
1581143581,12,15
1581147181,11,11
1581150782,14,12
1581154381,9,10
1581157981,11,14
1581161581,16,16
1581165181,12,8
1581168782,10,14
1581172381,17,16
1581175981,11,9
1581179581,10,11
1581183181,16,13
1581186781,12,17
1581190382,10,9
1581197581,12,11
1581201181,10,9
1581204781,10,9
1581208382,7,9
1581211981,11,12
1581215581,5,6
1581219182,10,8
1581222781,9,9
1581226381,13,11
1581229981,12,13
1581233581,14,16
1581237181,15,15
1581240782,11,12
1581247981,17,13
1581251582,13,17
